"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3671232222.36581","","",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19268200757.9681","21312806753.9333","22128175964.4766","25390112483.2552","27624190170.2926","32253655015.5727","34071276751.6091","41550646689.1715","45600106834.3163","49338254429.804","57447187460.1127","60786016696.2408",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28325049899.4567","28915972725.6659","27534678750.2107","21227030172.0351","22437670786.804","25287913598.5669","28633734472.8076","31424414070.266","33926845251.3242","35526221004.3663","37427842240.3892","39901373523.5707","46114350378.4058","49504134662.1691","56394580378.8066","68832215065.051","85659329686.7964","107799338324.333","125090886185.703","129095256660.652","135110270328.307","143162091461.199","153223024813.628","161857161225.332",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9346764329.39169","6800048298.99873","6454349820.17597","7242313183.97318","8010395194.03767","9265097766.85654","10292833892.6896","9401108207.86552","10709979502.2454","11960087053.5509","13124769938.0607","14365258382.2632","15008996115.7843","16181543125.2641","17605998853.2016","19170080815.6447","21500106102.9425","22727461057.7962","25845404830.0105","27460644941.3975","27086764160.0903","28620525120.4546","28449628078.2937","29092007938.2213",
"Andean Region","ANR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1439690559379.68","1558279634410.92","1658249710951.1","1743234800820.16","1836709865916.41","1928765477064.42","2052791247787.37","2167201891753.45","2269538538953.51","2350785115810.35","2525652012703.75","2647798924007.48","2730265201260.14","2888266556042.94","3248768004836.77","3554585376328.52","3919230477241.72","4249671353357.25","4601750511764.57","4737341711002.19","5045354231198.02","5276790928576.25","5665466404283.45","5912802397238.02",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135440896602.91","141149490543.668","149197339703.003","154674370585.875","168860705696.86","183911914596.43","198129520816.089","218024681634.44","221033245483.344","230696337719.299","261543920208.396","271279283580.196","282150800966.785","313116276690.219","352474705066.541","381441990545.613","431845198389.331","457422445792.006","481243508795.973","461651054327.89","475045639017.536","503168083730.13","534313286802.283","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8576953050.33583","7825352720.12061","4658213746.56708","4349391524.78625","4681848010.652","5109297175.26512","5507765185.15506","5788047720.69244","6277944863.44287","6577732393.7236","7124096566.79338","7983741608.84397","9175361132.12646","10672759066.6546","12113157083.7807","14235119829.9781","16609232435.3613","19394263684.8991","21137472880.9145","18286194006.9891","18914708586.4564","20192628679.6198","22024940470.9244","23140969418.8538",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
