Country Name,Country Code,Year,Value
Aruba,ABW,2013,180
Andorra,AND,2013,470
Afghanistan,AFG,2013,652230
Angola,AGO,2013,1246700
Albania,ALB,2013,27400
Andean Region,ANR,,
Arab World,ARB,2013,13621401
United Arab Emirates,ARE,2013,83600
Argentina,ARG,2013,2736690
Armenia,ARM,2013,28480
American Samoa,ASM,2013,200
Antigua and Barbuda,ATG,2013,440
Australia,AUS,2013,7682300
Austria,AUT,2013,82409
Azerbaijan,AZE,2013,82658
Burundi,BDI,2013,25680
Belgium,BEL,2013,30280
Benin,BEN,2013,112760
Burkina Faso,BFA,2013,273600
Bangladesh,BGD,2013,130170
Bulgaria,BGR,2013,108560
Bahrain,BHR,2013,760
"Bahamas, The",BHS,2013,10010
Bosnia and Herzegovina,BIH,2013,51000
Belarus,BLR,2013,202910
Belize,BLZ,2013,22810
Bermuda,BMU,2013,50
Bolivia,BOL,2013,1083300
Brazil,BRA,2013,8459420
Barbados,BRB,2013,430
Brunei Darussalam,BRN,2013,5270
Bhutan,BTN,2013,38394
Botswana,BWA,2013,566730
Sub-Saharan Africa (IFC classification),CAA,,
Central African Republic,CAF,2013,622980
Canada,CAN,2013,9093510
East Asia and the Pacific (IFC classification),CEA,,
Central Europe and the Baltics,CEB,2013,1102092
Europe and Central Asia (IFC classification),CEU,,
Switzerland,CHE,2013,40000
Channel Islands,CHI,2013,190
Chile,CHL,2013,743532
China,CHN,2013,9327489.9
Cote d'Ivoire,CIV,2013,318000
Latin America and the Caribbean (IFC classification),CLA,,
Middle East and North Africa (IFC classification),CME,,
Cameroon,CMR,2013,472710
"Congo, Rep.",COG,2013,341500
Colombia,COL,2013,1109500
Comoros,COM,2013,1861
Cabo Verde,CPV,2013,4030
Costa Rica,CRI,2013,51060
South Asia (IFC classification),CSA,,
Caribbean small states,CSS,2013,404850
Cuba,CUB,2013,106440
Curacao,CUW,2013,444
Cayman Islands,CYM,2013,240
Cyprus,CYP,2013,9240
Czech Republic,CZE,2013,77240
Germany,DEU,2013,348570
Djibouti,DJI,2013,23180
Dominica,DMA,2013,750
Denmark,DNK,2013,42430
Dominican Republic,DOM,2013,48320
Algeria,DZA,2013,2381740
East Asia & Pacific (developing only),EAP,2013,15853429.9
East Asia & Pacific (all income levels),EAS,2013,24322879.9
Europe & Central Asia (developing only),ECA,2013,6336799
Europe & Central Asia (all income levels),ECS,2013,27379578
Ecuador,ECU,2013,248360
"Egypt, Arab Rep.",EGY,2013,995450
Euro area,EMU,2013,2613707
Eritrea,ERI,2013,101000
Spain,ESP,2013,498800
Estonia,EST,2013,42390
Ethiopia,ETH,2013,1000000
European Union,EUU,2013,4237681
Fragile and conflict affected situations,FCS,2013,14389168
Finland,FIN,2013,303890
Fiji,FJI,2013,18270
France,FRA,2013,547660
Faeroe Islands,FRO,2013,1396
"Micronesia, Fed. Sts.",FSM,2013,700
Gabon,GAB,2013,257670
United Kingdom,GBR,2013,241930
Georgia,GEO,2013,69490
Ghana,GHA,2013,227540
Guinea,GIN,2013,245720
"Gambia, The",GMB,2013,10120
Guinea-Bissau,GNB,2013,28120
Equatorial Guinea,GNQ,2013,28050
Greece,GRC,2013,128900
Grenada,GRD,2013,340
Greenland,GRL,2013,410450
Guatemala,GTM,2013,107160
Guam,GUM,2013,540
Guyana,GUY,2013,196850
High income,HIC,2013,51322143.4
"Hong Kong SAR, China",HKG,2013,1042
Honduras,HND,2013,111890
Heavily indebted poor countries (HIPC),HPC,2013,19752631
Croatia,HRV,2013,55960
Haiti,HTI,2013,27560
Hungary,HUN,2013,90530
Indonesia,IDN,2013,1811570
Isle of Man,IMN,2013,570
India,IND,2013,2973190
Not classified,INX,,
Ireland,IRL,2013,68890
"Iran, Islamic Rep.",IRN,2013,1628550
Iraq,IRQ,2013,434320
Iceland,ISL,2013,100250
Israel,ISR,2013,21640
Italy,ITA,2013,294140
Jamaica,JAM,2013,10830
Jordan,JOR,2013,88780
Japan,JPN,2013,364500
Kazakhstan,KAZ,2013,2699700
Kenya,KEN,2013,569140
Kyrgyz Republic,KGZ,2013,191800
Cambodia,KHM,2013,176520
Kiribati,KIR,2013,810
