Country Name,Year,Value
Afghanistan,2012.0,
Albania,2012.0,6.60741034990912
Algeria,2012.0,
Andorra,2012.0,
Angola,2012.0,
Anguilla,2012.0,
Antigua and Barbuda,2012.0,
Argentina,2012.0,183.14068964669602
Armenia,2012.0,5.09800429339632
Aruba,2012.0,
Australia,2012.0,337.6881223082944
Austria,2012.0,93.36465443973601
Azerbaijan,2012.0,40.9662726950496
Bahamas,2012.0,
Bahrain,2012.0,16.91487413577408
Bangladesh,2012.0,76.938380818152
Barbados,2012.0,
Belarus,2012.0,76.1087881354304
Belgium,2012.0,223.84080879440643
Belize,2012.0,
Benin,2012.0,9.09729022662752
Bermuda,2012.0,
Bhutan,2012.0,
Bosnia and Herzegovina,2012.0,
Botswana,2012.0,10.97612399594144
Brazil,2012.0,482.206687527488
British Virgin Islands,2012.0,
Brunei Darussalam,2012.0,
Bulgaria,2012.0,47.1973047793008
Burkina Faso,2012.0,2.166262442349616
Burundi,2012.0,
Cambodia,2012.0,12.34058773252672
Canada,2012.0,560.22903074976
Cape Verde,2012.0,
Cayman Islands,2012.0,
Central African Republic,2012.0,
Chad,2012.0,
Chile,2012.0,92.7053468396176
China,2012.0,8039.90183101664
Colombia,2012.0,89.8562948664496
Comoros,2012.0,
Congo,2012.0,
Cook Islands,2012.0,
Costa Rica,2012.0,14.04110946078416
Côte d'Ivoire,2012.0,8.693296498639361
Croatia,2012.0,28.35693525229632
Cuba,2012.0,
Cyprus,2012.0,11.79438827751648
Czech Republic,2012.0,112.732794797048
North Korea,2012.0,
Democratic Republic of the Congo,2012.0,
Denmark,2012.0,59.4803555287344
Djibouti,2012.0,
Dominica,2012.0,
Dominican Republic,2012.0,
Ecuador,2012.0,40.4421123197056
Egypt,2012.0,222.57275530512
El Salvador,2012.0,9.45453515188624
Equatorial Guinea,2012.0,
Eritrea,2012.0,
Estonia,2012.0,17.3918068521312
Ethiopia,2012.0,9.89830250330688
Faeroe Islands,2012.0,
Falkland Islands (Malvinas),2012.0,
Micronesia (Federated States of),2012.0,
Fiji,2012.0,
Finland,2012.0,82.6163236678752
France,2012.0,532.0046797222881
French Guiana,2012.0,
French Polynesia,2012.0,
Gabon,2012.0,
Gambia,2012.0,
Georgia,2012.0,9.8529573943296
Germany,2012.0,917.94012982456
Ghana,2012.0,14.16357170002688
Gibraltar,2012.0,
Greece,2012.0,78.0890274723056
Greenland,2012.0,
Grenada,2012.0,
Guadeloupe,2012.0,
Guatemala,2012.0,17.358421658076804
Guinea,2012.0,2.478243112478128
