Country Name,Country Code,Year,Value
Aruba,ABW,2011,3671232222.36581
Andorra,AND,,
Afghanistan,AFG,2013,60786016696.2408
Angola,AGO,2013,161857161225.332
Albania,ALB,2013,29092007938.2213
Andean Region,ANR,,
Arab World,ARB,2013,5912802397238.02
United Arab Emirates,ARE,2012,534313286802.283
Argentina,ARG,,
Armenia,ARM,2013,23140969418.8538
American Samoa,ASM,,
Antigua and Barbuda,ATG,2013,1887570888.30465
Australia,AUS,2013,1007352589242.69
Austria,AUT,2013,374266081280.571
Azerbaijan,AZE,2013,161393782604.655
Burundi,BDI,2013,7831427641.30563
Belgium,BEL,2013,451591111882.321
Benin,BEN,2013,18488949382.9904
Burkina Faso,BFA,2013,27671868816.979
Bangladesh,BGD,2013,400476885011.821
Bulgaria,BGR,2013,115809883700.309
Bahrain,BHR,2013,58380404345.4535
"Bahamas, The",BHS,2012,8593083606.63993
Bosnia and Herzegovina,BIH,2013,36885353722.6708
Belarus,BLR,2013,166747960640.884
Belize,BLZ,2013,2801824772.34547
Bermuda,BMU,2012,3436226452.40735
Bolivia,BOL,2013,65409789247.0016
Brazil,BRA,2013,3012197279923.74
Barbados,BRB,2012,4408669264.19176
Brunei Darussalam,BRN,2013,29979803423.9055
Bhutan,BTN,2013,5782202543.35875
Botswana,BWA,2013,31681894531.4928
Sub-Saharan Africa (IFC classification),CAA,,
Central African Republic,CAF,2013,2786447825.47912
Canada,CAN,2013,1519100913928.24
East Asia and the Pacific (IFC classification),CEA,,
Central Europe and the Baltics,CEB,2013,2341866714747.31
Europe and Central Asia (IFC classification),CEU,,
Switzerland,CHE,2013,434018235812.804
Channel Islands,CHI,,
Chile,CHL,2013,386070725071.207
China,CHN,2013,16157703598062
Cote d'Ivoire,CIV,2013,61190577808.4348
Latin America and the Caribbean (IFC classification),CLA,,
Middle East and North Africa (IFC classification),CME,,
Cameroon,CMR,2013,60331384339.9113
"Congo, Rep.",COG,2013,26094460377.5036
Colombia,COL,2013,597781351142.124
Comoros,COM,2013,1145576466.5516
Cabo Verde,CPV,2013,3199115159.14698
Costa Rica,CRI,2013,67588946381.0616
South Asia (IFC classification),CSA,,
Caribbean small states,CSS,2013,103250897596.54
Cuba,CUB,2011,211946863089.199
Curacao,CUW,,
Cayman Islands,CYM,,
Cyprus,CYP,2012,26340764093.3868
Czech Republic,CZE,2013,287701865619.585
Germany,DEU,2013,3493478821242.77
Djibouti,DJI,2013,2617056604.56808
Dominica,DMA,2013,722155434.6062
Denmark,DNK,2013,240208337675.317
Dominican Republic,DOM,2013,121680129321.811
Algeria,DZA,2013,521626285143.378
East Asia & Pacific (developing only),EAP,2013,21645114511517.5
East Asia & Pacific (all income levels),EAS,2013,30923706363418.8
Europe & Central Asia (developing only),ECA,2013,3809952766679.74
Europe & Central Asia (all income levels),ECS,2013,24763406451219.1
Ecuador,ECU,2013,164755634684.835
"Egypt, Arab Rep.",EGY,2013,909574320865.661
Euro area,EMU,2013,12361596832273
Eritrea,ERI,2013,7570530914.36717
Spain,ESP,2013,1497544704934.69
Estonia,EST,2013,33179790733.0761
Ethiopia,ETH,2013,127392920414.96
European Union,EUU,2013,17401866310300.7
Fragile and conflict affected situations,FCS,2013,1564409716399.21
Finland,FIN,2013,208060906106.381
Fiji,FJI,2013,7002937607.09224
France,FRA,2013,2436930481996.47
Faeroe Islands,FRO,,
"Micronesia, Fed. Sts.",FSM,2013,368436573.133923
Gabon,GAB,2013,32196528499.4196
United Kingdom,GBR,2013,2320914002495.52
Georgia,GEO,2013,32075114179.2045
Ghana,GHA,2013,102957702964.573
Guinea,GIN,2013,14742888044.4925
"Gambia, The",GMB,2013,3081602726.95897
Guinea-Bissau,GNB,2013,2117454226.50743
Equatorial Guinea,GNQ,2013,25526679216.1598
Greece,GRC,2013,282989808068.984
Grenada,GRD,2013,1217601783.33957
Greenland,GRL,,
Guatemala,GTM,2013,112837460597.923
Guam,GUM,,
Guyana,GUY,2013,5238241953.76244
High income,HIC,2013,52491399446220.8
"Hong Kong SAR, China",HKG,2013,382396033284.899
Honduras,HND,2013,37180295857.6671
Heavily indebted poor countries (HIPC),HPC,2013,1278093235422.01
Croatia,HRV,2013,88898836536.159
Haiti,HTI,2013,17566642896.5922
Hungary,HUN,2012,220130647782.616
Indonesia,IDN,2013,2388412772402.87
Isle of Man,IMN,,
India,IND,2013,6774440834679.72
Not classified,INX,,
Ireland,IRL,2013,198995212581.546
"Iran, Islamic Rep.",IRN,2013,1207117912495.51
Iraq,IRQ,2013,507540177551.782
Iceland,ISL,2013,12918810372.1366
Israel,ISR,2013,264029258140.149
Italy,ITA,2013,2052363677195.36
Jamaica,JAM,2013,24135583077.6806
Jordan,JOR,2013,76097504992.6862
