Country name,"Cumulative CO2 emissions from energy, 1850–2007 (million tonnes)"
Afghanistan,72.4
Albania,227.9
Algeria,2272.4
Angola,305.3
Antigua & Barbuda,16.6
Argentina,5894.8
Armenia,505.6
Australia,13108.5
Austria,4541.9
Azerbaijan,2323.7
Bahamas,139.6
Bahrain,479.1
Bangladesh,657.4
Barbados,37.5
Belarus,4382.1
Belgium,10903.3
Belize,12.4
Benin,39.3
Bhutan,7.2
Bolivia,275.6
Bosnia & Herzegovina,679.6
Botswana,87.4
Brazil,9836.6
Brunei,176.2
Bulgaria,3170.6
Burkina Faso,25.9
Burundi,8.5
Cambodia,50.7
Cameroon,180.4
Canada,25716
Cape Verde,5.5
Central African Republic,9.1
Chad,8.4
Chile,1831.9
China,105915.4
Colombia,2213.2
Comoros,2.6
Congo,75.2
"Congo, Dem. Republic",161.4
Cook Islands,1.1
Costa Rica,146.3
Cote d'Ivoire,169.9
Croatia,856.3
Cuba,1256
Cyprus,192.4
Czech Republic,10394.6
Denmark,3569.1
Djibouti,14.5
Dominica,2.5
Dominican Republic,427.4
Ecuador,652
Egypt,3546.9
El Salvador,149.3
Equatorial Guinea,45.8
Eritrea,10.7
Estonia,1177
Ethiopia,108.7
Fiji,36.9
Finland,2514.4
France,32666.6
Gabon,145.7
Gambia,7.7
Georgia,773.9
Germany,81194.5
Ghana,181.9
Greece,2859.1
Grenada,5
Guatemala,245.4
Guinea,50.3
Guinea-Bissau,7.9
Guyana,70.8
Haiti,44.4
Honduras,137.9
Hong Kong,
Hungary,4256
Iceland,95.5
India,28824.4
Indonesia,6959.5
Iran,8630.1
Iraq,2444.8
Ireland,1700.8
Israel,1553.3
Italy,19269.2
Jamaica,337.8
Japan,45629.1
Jordan,394
Kazakhstan,10564.9
Kenya,317
Kiribati,1.1
Korea (North),4052.1
Korea (South),10409.2
Kuwait,1676.1
Kyrgyzstan,631.1
Laos,23.2
Latvia,636.3
Lebanon,447.2
Lesotho,4.9
Liberia,39.7
Libya,1276.6
Lithuania,1092.5
Luxembourg,686.1
"Macedonia, FYR",399.7
Madagascar,61.4
Malawi,34.5
Malaysia,2778.4
Maldives,9.1
Mali,18.6
Malta,73.8
Mauritania,59
Mauritius,63.2
Mexico,12242.8
Moldova,888.9
Mongolia,350.7
Morocco,969.5
Mozambique,107.2
Myanmar,332.5
Namibia,36.3
Nauru,5
Nepal,55
Netherlands,9431.8
New Zealand,1370.3
Nicaragua,111.8
Niger,30.2
Nigeria,2321.1
Niue,0.1
Norway,1878
Oman,451.9
Pakistan,2644.9
Palau,2.4
Panama,173.5
Papua New Guinea,91.7
Paraguay,94.6
Peru,1137.4
Philippines,2058.7
Poland,22664.5
Portugal,1878.5
Qatar,664.3
Romania,6966.2
Russian Federation,94678.7
Rwanda,20.6
Saint Kitts & Nevis,3.1
Saint Lucia,7.9
Saint Vincent & Grenadines,3.9
Samoa,4.5
Sao Tome & Principe,2.6
Saudi Arabia,6892.5
Senegal,122.7
Serbia & Montenegro,2273
Seychelles,9.8
Sierra Leone,32.6
Singapore,1039.5
Slovakia,3122.7
Slovenia,608.8
Solomon Islands,5.4
South Africa,13133.6
Spain,11057
Sri Lanka,287.6
Sudan,229
Suriname,88.7
Swaziland,23.7
Sweden,4328.3
Switzerland,2496.3
Syria,1231.6
Taiwan,5484.4
Tajikistan,409.7
Tanzania,113.1
Thailand,3927.9
Togo,30
Tonga,3.3
Trinidad & Tobago,773
Tunisia,557.7
Turkey,5750.7
Turkmenistan,1846.5
Uganda,53
Ukraine,25431
United Arab Emirates,2109.4
United Kingdom,68763.4
United States of America,339174
Uruguay,283.9
Uzbekistan,6000.5
Vanuatu,3.1
Venezuela,4751.6
Vietnam,1639.8
Yemen,370.4
Zambia,183.9
Zimbabwe,632.7
