Coal: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,463.08688353,469.689189255,434.608778212,496.91589129,486.985973777,491.630296466,507.547289748,522.579737958,537.899137256,565.893957133,544.157806745,545.035826547,510.268675536,557.182552213,555.126602985,571.615553281,584.912209813,603.161049234,584.279409383,570.093830796,590.28383597,570.067661698,553.631288585,572.37080553,580.187972799,595.099427629,587.718494114,596.72391598,540.750051402,551.239696345,556.107531153,517.793491621,500.54601327,-0.0306611023843,0.128959134221
Canada,23.1571131878,24.5600219429,25.4612359211,33.3524420872,35.5195370904,33.011321517,33.2935890821,38.5543872492,41.0432807577,39.9613318636,41.7496877443,37.105427188,39.4409336757,41.4461897574,43.0116098115,43.7617012021,45.331591754,42.8743417355,41.2103258448,39.0820665753,39.8023571289,34.2612251629,31.8117176633,33.9100497751,35.3213675351,34.8009711122,35.6962366288,35.5916691736,33.1450283734,35.4263893999,35.4628614306,35.5300232235,36.8199061613,0.0391432158649,0.00948616676033
Mexico,1.69926913156,2.04325499188,2.5947262826,2.82700391707,2.90054456864,3.14146842457,3.48679182192,3.11304576287,3.34439189835,3.38580777682,3.07449603516,2.85568930926,3.0910241712,4.17980319098,4.12503582688,4.56651858221,4.53112162033,4.76284990924,4.86877806439,5.41468424572,4.16206386739,3.39094401452,4.39177725232,5.87678214866,6.07170399828,6.76866852966,7.30380560332,6.92213853062,6.08265075953,7.32033359606,9.36950169581,7.82679239515,8.27571848672,0.0602544769645,0.00213213055395
Total North America,487.943265849,496.29246619,462.664740416,533.095337294,525.406055436,527.783086408,544.327670652,564.24717097,582.286809912,609.241096773,588.981990524,584.996943044,552.800633383,602.808545161,602.263248623,619.943773065,634.774923187,650.798240878,630.358513292,614.590581617,634.248256966,607.719830876,589.834783501,612.157637454,621.581044332,636.669067271,630.718536346,639.237723684,579.977730535,593.986419341,600.93989428,561.150307239,545.641637918,-0.0249732751399,0.140577420592
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,2.59748496473,2.87273999304,3.04647994697,3.42611195087,3.45793505698,3.28042091966,2.95633591175,3.21640405208,2.84141999364,1.88001995087,2.06458199233,1.84044293076,1.79077994823,1.98325793713,1.99835996628,1.84223999977,2.1300500229,2.0446080637,2.08118205965,2.85543293148,2.13569995016,1.94443195462,1.75618795902,2.04346795231,2.36438994482,2.22301794812,2.25476994738,2.49895794168,1.91305795535,2.04686995223,2.08088995144,2.50122594163,2.78736618935,0.117453150451,0.00071812840179
Colombia,2.59349990487,2.87299989462,3.2824998796,4.31599984169,5.83049978614,6.98099974394,9.48349965215,10.2764996231,12.9349995255,13.305499512,13.7799994946,15.2749994397,14.1114994824,14.7354994595,16.7309993863,19.5454992831,20.9949992299,21.9374991953,21.2874992192,24.8559990883,28.5414989531,25.6619990587,32.5194988072,34.8724987209,38.3915985918,42.639998436,45.4349983335,47.7749982476,47.3248160641,48.3275848464,55.7720968823,57.8655978775,55.5723979616,-0.0369986109436,0.0143175013363
Venezuela,0.0365000009537,0.0365000009537,0.0292000007629,0.0365000009537,0.0292000007629,0.0438000011444,0.175200004578,0.781100020409,1.54030004025,1.56950004101,1.75200004578,1.8104000473,2.89080007553,3.24120008469,3.17550008297,3.05140007973,3.8617001009,4.71580012321,4.81070012569,5.7524001503,5.61370014668,5.9130001545,5.13190013409,5.91833207463,5.25235013723,5.74583015013,4.45081011629,3.59306009388,2.3958600626,1.99290005207,1.53300004005,2.27760005951,1.69908964439,-0.251956164837,0.00043774821097
Other S. & Cent. America,1.10322102094,1.02181501889,1.02221001875,1.1809360224,1.20358902431,1.42180703104,1.38559802949,1.72175403666,1.71737103748,1.70125704277,1.7132320435,1.28605403149,1.08904502594,1.02157802343,0.89880202055,0.878716019869,0.87087602067,0.823260018587,0.541315009475,0.415514007092,0.515104011297,0.365007008433,0.457612831297,0.198910003126,0.310295007765,0.615546012223,0.330552004576,0.428405006289,0.51733040875,0.354270037264,0.431505405211,0.577354522594,1.91713595591,2.32964992523,0.00049392500659
Total S. & Cent. America,6.33070589149,6.8040549075,7.38038984609,8.95954781592,10.5212238682,11.7270276958,14.000633598,15.9957577322,19.0340905969,18.4562765466,19.3098135762,20.2118964493,19.8821245321,20.9815355048,22.8036614561,25.3178553824,27.8576253744,29.5211674008,28.720696414,33.8793461772,36.8060030612,33.8844381763,39.8651997316,43.033208751,46.3186336816,51.2243925464,52.4711304017,54.2954212895,52.1510644908,52.7216248879,59.817492279,63.2217784012,61.9759897513,-0.0170193165541,0.0159673020244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,5.01781992778,5.51255992129,5.54279992089,5.52931992143,5.28067992479,6.0055799152,6.27015991181,5.82159991786,5.84257991776,5.38317593199,6.05851524074,6.56467526086,6.39195025399,6.19258524607,6.55768526058,6.55596026051,4.94619019654,5.00833519901,4.22724016798,4.41261017534,4.43866517638,4.33386017221,4.52652017987,4.38438017422,4.07859016207,4.24861516882,4.70997018716,4.76802018946,4.5022201789,4.86313519324,6.13395024374,5.52198021942,4.72437018773,-0.142098754644,0.00121717213187
Czech Republic,42.6673250729,43.1165950686,43.8195000315,44.4649301434,43.9209101236,43.8289401388,43.5858951312,42.543550694,40.7343756592,36.6624305946,33.879870559,31.4446914858,30.7696872973,28.1124071482,27.2833472866,26.9522965711,27.9229556045,26.038674708,23.0796721396,25.0003625178,25.388711524,24.319554503,24.2173745251,23.5111924078,23.5117011094,23.8258306177,23.5806651235,22.7543502982,21.0432699831,20.8100287602,21.5894882963,20.7385625572,17.9590285373,-0.131654798985,0.00462690880522
France,12.6404061788,12.1796310389,11.6119597501,11.4581976867,10.2024939871,10.1878530446,10.1334081841,9.16771880329,8.68854092658,8.09928869367,7.73396417141,7.12793309689,6.58136600256,5.65907182783,5.28771411836,5.17118809938,4.31780808568,3.60818004102,3.28408994973,2.34614996344,1.5441099748,1.13831998169,1.28138998002,0.387619990408,0.24359999299,0.202999994159,0.162399995327,0.121799996495,0.0405999988318,0.105965996951,0.0604939982593,0.0,0.0,-,-
Germany,146.255123213,146.497340709,137.784216569,139.58076008,144.761762035,139.613109551,135.298078668,134.292220008,128.380303137,117.323810716,101.956964105,93.2945397675,83.6920818597,77.8122411087,74.6335817099,69.9589113712,66.9136492491,61.2929928696,59.3713921866,56.544210206,54.1113452822,55.0015803069,54.0822453037,54.7069683114,53.2478958079,50.2767423382,51.5446428448,47.6862363669,44.3748393801,43.7105703861,44.6493439141,45.6743254513,43.0391794708,-0.055112592876,0.0110884811729
