Hydroelectricity: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,45.0227943553,45.2408412312,51.4144933976,51.6256834535,57.9328150492,57.3588992153,61.6041850372,63.0665161823,62.9526929703,69.5308975166,69.2888517706,65.5795407119,51.1059364976,64.788949366,64.7000392667,63.8100240309,60.3045890868,71.3964096776,76.6343344748,74.1247383552,64.98231169,67.1979787923,57.7929359212,51.6777952855,62.1632444278,66.937648193,66.0526612918,57.8459619958,64.1098956255,59.4545719676,71.0441976903,79.3475781483,81.471135302,73.9018917052,73.033361172,62.985148585,49.5887507925,60.4152124494,63.0384032203,61.3495684546,61.7847479639,66.1102585798,56.5710505974,58.2444312336,62.4987929711,59.4721869096,72.9919697495,63.1376495187,61.514005512,-0.0230466686189,0.0718807280064
Canada,26.502,29.149,30.123,30.846,33.54,35.146,35.532,38.768,40.465,44.788,44.132,45.896,44.93,49.102,48.111,50.349,50.925,58.358,60.205,64.771,68.737,70.316,71.582,69.605,65.7437082962,66.9308782261,69.5540100283,71.3412803877,72.9340856179,74.2106577382,75.6145029514,80.2604595075,78.9226187293,74.8927287081,78.0901893534,80.7510245232,75.0400573139,79.057256504,76.0850714229,76.5962258691,82.0926235245,80.2439553703,83.6076223611,85.1720065295,82.940950209,79.4060549378,85.2024866943,86.0211580895,88.5997502746,0.0327981077135,0.103531129658
Mexico,2.005,2.3,2.505,2.861,3.066,3.395,3.271,3.489,3.682,3.797,3.434,3.903,4.345,3.668,4.076,3.829,5.571,5.182,4.695,5.342,5.939,4.532,4.15,4.747,5.521,5.329,4.966,5.953,5.987,4.587,6.229,7.116,5.982,5.571,7.40198216953,7.48402045527,6.43420600081,5.62555776802,4.46965425171,5.67415938815,6.24776892791,6.85723175092,6.11896411278,8.80029642033,5.98383490972,8.31299774472,8.09971856858,7.07074974748,6.20992287007,-0.119338601828,0.00725645758212
Total North America,73.5297943553,76.6898412312,84.0424933976,85.3326834535,94.5388150492,95.8998992153,100.407185037,105.323516182,107.09969297,118.115897517,116.854851771,115.378540712,100.380936498,117.558949366,116.887039267,117.988024031,116.800589087,134.936409678,141.534334475,144.237738355,139.65831169,142.045978792,133.524935921,126.029795286,133.427952724,139.197526419,140.57267132,135.140242384,143.030981243,138.252229706,152.887700642,166.724037656,166.375754031,154.365620413,158.525532695,151.220193563,131.063014107,145.098026721,143.593128895,143.619953712,150.125140416,153.211445701,146.297637071,152.216734183,151.42357809,147.191239592,166.294175012,156.229557356,156.323678657,0.00334383174777,0.182668313384
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.274,0.278,0.284,0.335,0.3,0.343,0.345,0.336,0.67,1.125,1.162,1.118,1.291,1.734,2.384,3.388,3.281,3.959,4.12,4.446,4.674,4.758,4.953,3.576,3.016,4.111,3.718,4.52664400259,5.39608877845,6.39878442295,6.47420944294,5.88726565103,7.5114177481,7.37176718079,6.06577153167,7.7162081054,9.48686758978,9.39155779179,8.84918332988,8.03002190068,8.96254942053,9.82513737639,8.5230272586,8.42977450662,9.21526894962,9.19426422436,8.97130329406,8.36863452829,9.20822928109,0.10334096849,0.0107600567862
Brazil,5.425,5.934,6.207,6.496,6.952,9.008,9.776,11.471,13.103,14.863,16.361,18.766,21.155,23.253,26.384,29.174,29.595,31.939,34.282,37.703,40.368,41.284,42.005,45.058,46.324,46.782,49.287,50.545,53.2,54.929,57.463,60.147,63.137,65.964,66.311,68.891,60.625,64.747,69.1532787256,72.5883604109,76.3581029099,78.9258722904,84.6303344345,83.6213060596,88.4708331448,91.2456442051,96.9210752591,93.9815359551,87.1954142367,-0.0696650668979,0.101890124381
Chile,0.895,0.942,0.963,0.808,0.911,0.974,0.995,1.182,1.203,1.368,1.389,1.411,1.471,1.545,1.571,1.661,1.718,1.913,2.021,2.113,2.345,2.558,2.739,2.595,2.174,2.029,3.09747929583,3.92745621578,3.98787165679,3.90460243472,4.21799339277,3.86251527357,4.31550210436,3.65479476852,3.18097479296,4.54880753043,5.43309046477,5.75304339956,5.62248268996,4.91722734404,6.03154815551,7.04381208591,5.15800197927,5.66455013066,5.88080602671,5.03670993944,4.67955201521,4.56133971602,4.42313112263,-0.0276432875544,0.0051685445942
