Renewable energy -  Biofuels production,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand b/doe,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
US,27.7590702981,32.1641581305,36.470885053,42.856436809,47.8540674295,50.4051200645,36.0432428158,47.8306775826,52.1640365512,54.3907499758,60.0684014118,66.0300621925,80.0609917616,104.936149095,127.651455354,150.166685728,195.709715784,270.210162992,383.461526348,435.680463768,513.41366021,572.654472135,546.089387397,571.091956366,0.0457847552898,0.435213333281
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96756,2.10586588235,2.21969647059,2.27661176471,2.27661176471,2.27661176471,2.68019294118,3.20795294118,9.26167058824,10.0326141176,14.473625211,14.9835675344,17.5751238711,19.9785405593,20.3014940403,0.0161650186622,0.015471205282
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08796,0.0882009863014,0.0896674588235,0.258705882353,0.235058747139,0.283555783992,1.06861831426,2.76863521956,0.000814364365268
Total North America,27.7590702981,32.1641581305,36.470885053,42.856436809,47.8540674295,50.4051200645,36.0432428158,47.8306775826,52.1640365512,55.3583099758,62.1742672941,68.2497586631,82.3376035264,107.21276086,129.928067119,152.846878669,198.917668725,279.55979358,393.582341452,450.243756438,528.655933626,590.464654754,566.351483741,592.46206872,0.0461031457129,0.451498902928
,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08796,0.17592,0.17592,0.17592,0.17592,0.17592,0.584675294118,5.47003464948,12.6564459325,21.0538660313,33.2571001845,44.5383652603,45.7216471593,37.8253105102,-0.172704553306,0.0288256195628
Brazil,112.924285681,124.702276427,114.183987479,110.582659952,124.37074527,123.350291842,140.282548092,150.986694512,135.801886976,127.699403593,104.659656148,112.456453832,123.467298015,141.919065622,143.265516426,157.327920671,175.275072623,227.363285443,282.223901103,280.351490389,312.746574972,265.00460143,271.289410665,316.920238928,0.168199813444,0.241516120181
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284576470588,2.63797086537,2.83812473135,2.85594669084,5.92510538437,8.59461185889,10.7630491256,12.3286784442,12.7353547295,0.0329862026293,0.00970526045858
Other S. & Cent. America,1.30905176471,1.30905176471,1.25213647059,1.02447529412,0.910644705882,0.796814117647,0.796814117647,0.682983529412,0.569152941176,0.626068235294,0.648834352941,0.580536,2.46391482353,3.03306776471,2.973048,4.71517341176,10.3477178824,12.2512240235,15.7543603765,12.1750610118,6.30782373882,9.17283098824,9.17283098824,9.17283098824,♦,0.00699035996833
Total S. & Cent. America,114.233337446,126.011328191,115.436123949,111.607135246,125.281389976,124.147105959,141.07936221,151.669678041,136.371039918,128.325471828,105.396450501,113.212909832,126.107132838,145.128053387,146.414484426,162.503590553,188.845436665,247.922668847,313.490654103,319.505522816,360.906110755,329.478846804,338.512567256,376.653735156,0.112672826916,0.287037360171
,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182341949381,0.35184,0.35184,0.4398,0.52776,0.96756,1.40736,2.11104,4.42185835262,5.27440943549,7.1043500196,7.52407358408,7.43043411249,7.41013237994,7.59564723288,0.0250352953797,0.00578843199208
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017592,0.431004,2.81472,5.56422632594,9.50579538179,10.7730424023,12.2601809173,9.52717068081,13.2451103594,0.390245940074,0.0100937310794
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285356132151,0.125213647059,0.227661176471,1.01671411765,1.92485681869,5.35643795971,7.29431512651,7.29431512651,7.29431512651,7.29431512651,0.0027397260274,0.00555879515518
France,0.0,0.0,0.0569152941176,0.51813472361,1.51518010637,3.1049667365,4.79158636451,5.52887074617,5.25800923127,5.55437985496,6.32794588235,6.32794588235,6.76774588235,7.38864,7.74048,8.81152235294,13.3600117773,22.5199433359,40.2813505641,46.4248868287,45.563492635,37.336087055,41.471249892,38.8822324835,-0.0624292109656,0.0296310704711
Germany,0.0,0.0,0.537260128612,0.680755133808,0.860827584833,1.21797705929,1.92312058973,2.06621638729,1.48523883612,1.96017595585,3.78228,4.74984,7.74048,12.3144,17.8196611765,30.6204282353,49.9509317647,63.8678594824,54.4677286461,54.7707470988,57.9887661795,56.7283667139,57.836544351,52.5045218437,-0.0921912359594,0.0400122392011
Italy,0.0,0.0,0.19991074553,0.253304235836,0.320307938542,0.453200766247,0.715579754317,0.768824702247,0.552647008789,0.729367797524,1.40736,2.46288,3.60636,4.66188,5.45352,6.82983529412,11.7478344012,8.89061405705,12.3542972536,15.2110431486,13.4566533358,9.16249937249,5.84074281618,5.85674485129,0.0027397260274,0.00446326273815
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113830588235,0.0569152941176,0.443685549718,1.61576353586,1.53770808859,4.84001707397,7.7284193444,12.5958025392,25.13497573,23.7328512058,-0.0557838025885,0.0180861473645
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569152941176,0.113830588235,2.19382588235,2.89750588235,1.92994588235,5.57519732515,7.90002175444,8.45540280338,7.98905292296,12.6298333588,13.3403734322,0.056258863694,0.0101663284239
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017592,1.40736,3.0786,2.90268,4.05740044455,5.5284830063,5.88215753862,6.76513791925,4.17161778178,-0.383365449223,0.0031790741574
