Renewable energy - Biofuels production,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share,,,
Thousand tonnes of oil equivalent,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total,,,
US,1382.40170085,1601.7750749,1821.22610325,2134.25055309,2383.13255799,2510.17497921,1799.87117303,2381.96774361,2597.76902025,2708.6593488,2999.60202425,3288.29709719,3987.03738973,5225.82022492,6374.45903138,7478.30094927,9746.34384604,13456.466117,19148.7028725,21696.8870956,25568.0002784,28518.1927123,27269.7590307,28440.379427,0.0457847552898,0.435213333281,,,
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.184488,105.15944182,110.540884235,113.375265882,113.375265882,113.685883049,133.473608471,159.756056471,461.231195294,500.993016437,720.786535506,746.181663212,875.241168779,997.657159086,1011.01440321,0.0161650186622,0.015471205282,,,
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.380408,4.39240911781,4.46543944941,12.8835529412,11.7059256075,14.1597659279,53.2171920503,2.76863521956,0.000814364365268,,,
Total North America,1382.40170085,1601.7750749,1821.22610325,2134.25055309,2383.13255799,2510.17497921,1799.87117303,2381.96774361,2597.76902025,2756.8438368,3104.76146607,3398.83798142,4100.41265561,5339.1954908,6488.14491443,7611.77455774,9906.09990251,13922.0777203,19654.088298,22422.1390706,26327.0654946,29405.1398067,28281.5759557,29504.6110223,0.0461031457129,0.451498902928,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39240911781,8.760816,8.760816,8.760816,8.78481823562,8.760816,29.1168296471,272.407725544,632.017832116,1048.48252836,1656.20358919,2218.01058996,2283.17621491,1883.70046341,-0.172704553306,0.0288256195628,,,
Brazil,5623.62942693,6210.17336605,5701.941652,5507.01646561,6193.66311446,6142.84453371,7005.21081526,7519.13738669,6762.93397142,6359.43029893,5226.33046762,5600.33140082,6148.67144114,7067.56946797,7154.16962959,7834.9304494,8728.69861664,11322.6916151,14093.2564401,13961.5042214,15574.7794336,13197.2291512,13547.2269323,15782.6278986,0.168199813444,0.241516120181,,,
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1719082353,131.370949095,141.338611621,142.615805876,295.070248141,428.011670573,535.999846455,615.65029114,634.220665528,0.0329862026293,0.00970526045858,,,
Other S. & Cent. America,65.1907778824,65.1907778824,62.527235677,51.0188696471,45.3501063529,39.6813430588,39.7900590672,34.0125797647,28.3438164706,31.1781981176,32.400476669,28.9106928,122.702958212,151.046774682,148.463428182,234.815635906,515.316350541,610.110956372,786.71664578,606.318038386,314.129622193,456.806983214,458.058509196,456.806983214,♦,0.00699035996833,,,
Total S. & Cent. America,5688.82020482,6275.36414393,5764.46888767,5558.03533526,6239.01322081,6182.52587677,7045.00087432,7553.14996646,6791.27778789,6390.60849705,5263.12335341,5638.00290962,6280.13521535,7227.37705865,7311.41787601,8092.67880954,9404.50274592,12346.5489086,15654.6067238,15911.3750363,17973.1243156,16408.0465709,16904.1119476,18757.3560108,0.112672826916,0.287037360171,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08062907917,17.5696364712,17.521632,21.90204,26.282448,48.3165002959,70.086528,105.129792,220.20854596,263.38522164,353.796630976,374.698864487,370.035618802,370.035618802,378.263232197,0.0250352953797,0.00578843199208,,,
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8760816,21.4639992,140.173056,277.857644925,473.388610013,536.497511632,610.557009683,475.752971411,659.606495898,0.390245940074,0.0100937310794,,,
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42107353811,6.23563962353,11.3375265882,50.6323630588,95.857869571,266.750610394,363.2568933,363.2568933,363.2568933,363.2568933,0.0027397260274,0.00555879515518,,,
France,0.0,0.0,2.84214707623,25.8031092358,75.455969297,154.627343478,239.27475712,275.337763159,261.848859717,276.608116777,315.995079475,315.131704941,337.033744941,367.954272,386.532002367,438.813813176,665.328586512,1121.49317813,2011.50717935,2311.95936407,2269.06193322,1859.33713534,2070.92651378,1936.33517768,-0.0624292109656,0.0296310704711,,,
Germany,0.0,0.0,26.8288572937,33.9016056636,42.8692137247,60.6552575525,96.0337927804,102.897576087,73.9648940388,97.6167626011,188.873592066,236.542032,385.475904,613.25712,889.850411867,1524.89732612,2487.55640188,3180.61940222,2719.92437394,2727.58320552,2887.84055574,2825.07266235,2888.15103172,2614.72518781,-0.0921912359594,0.0400122392011,,,
Italy,0.0,0.0,9.9828306209,12.6145509446,15.9513353394,22.5693981591,35.7335042904,38.2874701719,27.5218210377,36.3225163167,70.2785458849,122.651424,179.596728,232.161624,272.329365304,340.125797647,585.042153178,442.752580041,616.929603239,757.509948798,670.141336122,456.29246875,291.665893594,291.665893594,0.0027397260274,0.00446326273815,,,
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68429415246,2.83438164706,22.095540376,80.4650240857,76.7876651757,241.032850284,384.875283351,627.270966454,1255.15116612,1181.89599005,-0.0557838025885,0.0180861473645,,,
