Carbon Dioxide Emissions *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes carbon dioxide,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,3783.56319892,3996.83935982,4098.34958222,4343.11855811,4544.74013886,4682.76930767,4729.79305021,4973.05965286,5187.3198911,5007.71582614,4852.23876975,5145.23195889,5298.78951924,5229.63303975,5340.04437161,5158.85593661,5013.01243563,4748.72579054,4722.94671684,4983.80146067,4974.23139139,4978.65440251,5161.29453335,5390.4309127,5478.76919394,5444.60715588,5399.64127229,5504.52073765,5625.392099,5725.59672306,5791.89946505,5993.87662266,6081.1929859,6126.86182152,6201.37328299,6377.04931895,6248.36083731,6293.36392453,6343.47692554,6473.278557,6493.99247042,6412.82264454,6521.47605582,6332.09392861,5908.21512072,6142.73749222,6001.31886921,5780.78067614,5931.36350642,0.0288599673659,0.169011503458
Canada,274.600761102,286.781941692,301.318272644,324.814594244,338.056797877,363.68920809,371.405451182,389.934356483,410.649407777,416.872081145,412.63677288,438.026989273,465.894681764,455.527365286,464.029738693,474.759652701,455.297905981,439.496207382,423.660886034,449.078844675,450.620097299,438.698375112,455.993289645,487.8678669,507.843283566,493.924473725,477.564260269,492.664174487,491.011093067,506.426114786,526.295544924,544.74383493,560.736564096,566.28739274,574.415488371,592.430004003,591.122038967,604.497131295,630.643888896,628.651712117,635.584559883,628.243675267,641.208724194,630.77217911,588.971760959,610.883328253,621.859982214,613.322263294,616.682199854,0.00823299121112,0.0175720788538
Mexico,64.0698960876,66.8291200684,68.0177677052,73.9656042736,80.8914726484,86.0552295644,91.3085598996,101.058405238,108.592482231,122.097087553,134.482956404,142.886201658,150.426460106,173.823912814,191.100908989,209.477430674,226.635218311,238.059707312,235.305274892,247.503829763,257.164210373,254.144853133,263.668089891,264.594678752,275.502883715,289.721514418,302.186525084,304.665087116,306.830788896,334.212272186,315.106163046,328.176475928,342.694704188,363.713184081,362.768286511,380.40866416,383.279915586,379.643397097,401.652715839,422.670256103,451.260322547,462.357123982,464.912833222,461.318052899,459.13910198,472.655648898,495.454617586,504.115738753,499.424183422,-0.0065922755748,0.0142308650538
Total North America,4122.23385611,4350.45042158,4467.68562257,4741.89875663,4963.68840938,5132.51374533,5192.50706129,5464.05241458,5706.56178111,5546.68499484,5399.35849903,5726.14514982,5915.11066111,5858.98431785,5995.17501929,5843.09301999,5694.94555992,5426.28170524,5381.91287777,5680.38413511,5682.01569906,5671.49763076,5880.95591288,6142.89345835,6262.11536122,6228.25314402,6179.39205764,6301.84999925,6423.23398096,6566.23511003,6633.30117302,6866.79693352,6984.62425418,7056.86239834,7138.55705787,7349.88798711,7222.76279186,7277.50445292,7375.77353028,7524.60052522,7580.83735285,7503.42344378,7627.59761324,7424.18416062,6956.32598366,7226.27646937,7118.63346901,6898.21867819,7047.4698897,0.0244351997971,0.200814440846
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,80.2579917456,83.1883414392,85.3178107212,88.0078506552,90.756823986,84.3185220444,89.7172122384,91.3384500552,93.56252427,95.7579398388,91.9601270532,96.9162054984,101.234814336,100.879355016,106.195975556,102.295288908,97.7539213764,98.779842288,101.069686944,99.175808898,94.66731612,106.463512076,111.167775436,117.631562429,113.216795356,107.03125053,108.790790911,115.792426793,117.498539419,117.646994974,122.881081126,133.550780861,128.14602818,133.953417043,133.436330496,135.544723427,128.088627152,121.396546516,132.561021341,142.759354385,152.653488671,155.855434247,168.062361998,174.273211702,169.78029216,177.916625839,182.853462134,190.198512225,194.528286375,0.0255665946752,0.00554299494252
Brazil,52.636747284,57.3412746685,59.2671727212,69.5252778925,76.4582808202,86.834140036,95.7146279373,108.551996997,131.561091417,142.001281745,148.341854329,160.78643133,168.309216301,185.575890302,197.365720172,193.923179223,186.561981414,191.768919164,190.438498295,201.700128495,213.721450883,235.223911109,241.48125987,246.024255156,248.859926066,241.259693421,247.422577583,258.180926346,268.321320218,283.726383441,296.624317314,315.670681722,333.575536122,343.795423134,351.881611761,352.004972769,357.170042781,353.648007597,349.661952757,369.652770674,377.815195145,384.200625083,406.87436485,436.185135966,419.938723294,471.759620418,485.738986336,508.427164106,541.08335609,0.0671455338597,0.0154179241508
Chile,16.1942945414,17.4907840536,17.8693021746,18.3801273624,19.5642180418,20.5782823544,22.2114680424,21.8437958268,20.9425666115,20.3438877059,17.7461847151,18.4033733134,19.2328629667,19.9521769781,21.2248180588,21.380229144,21.3337100279,19.5866860853,19.8162282326,20.8886527692,20.4700569239,20.830125492,21.5903780338,25.6928847707,31.1816225657,33.4912431528,31.947899494,33.0338327407,35.1274546411,39.1189316288,42.4644297566,48.752512245,56.2366338156,57.4039709017,61.0299155473,58.6596906115,57.0359524378,56.9891310347,58.4059336877,63.8859176225,63.9729093319,69.7028929639,77.0000673183,76.2483088952,74.8139679578,75.0587721076,84.2070768221,88.85119238,92.2252492758,0.0408180095255,0.00262791663408
