Coal: Prices,,,,,,,,, ,,,
US dollars per tonne,Northwest Europe marker price  †,US Central Appalachian coal spot price index ‡,Japan coking coal import cif price,Japan steam coal import cif price,Asian Marker price †,,,,,,,   
,,,,,,,,,,,,
1987.0,31.3,-,53.4391666667,41.2816666667,-,,,,,,,
1988.0,39.94,-,55.0641666667,42.4658333333,-,,,,,,,
1989.0,42.08,-,58.6841666667,48.8625,-,,,,,,,
1990.0,43.48,31.591918,60.5366666667,50.8141666667,-,,,,,,,
1991.0,42.8,29.0105318182,60.45,50.2958333333,-,,,,,,,   
1992.0,38.53,28.5345386364,57.8158333333,48.4541666667,-,,,,,,,   
1993.0,33.68,29.8539583333,55.2583333333,45.7116666667,-,,,,,,,   
1994.0,37.18,31.7161772727,51.765,43.6616666667,-,,,,,,,   
1995.0,44.5,27.00635,54.4683333333,47.575,-,,,,,,,   
1996.0,41.25,29.8623090909,56.6791666667,49.5358333333,-,,,,,,,   
1997.0,38.92,29.76,55.51,45.5283333333,-,,,,,,,   
1998.0,32.0,31.0031060833,50.7566666667,40.5066666667,29.4767857143,,,,,,,   
1999.0,28.79,31.294297,42.8308333333,35.7408333333,27.8174691358,,,,,,,   
2000.0,35.99,29.9044804167,39.6941666667,34.58,31.7594444444,,,,,,,   
2001.0,39.0342307692,50.15465,41.3291666667,37.9616666667,36.8945987654,,,,,,,   
2002.0,31.6496153846,33.1979844097,42.0133333333,36.8991666667,30.4066666667,,,,,,,   
2003.0,43.5978846154,38.5227057986,41.57,34.74,36.5291975309,,,,,,, 
2004.0,72.0782692308,64.9017399306,60.96,51.34,72.4166666667,,,,,,,
2005.0,60.5392307692,70.1223552083,89.33,62.91,61.84,,,,,,,
2006.0,64.1080769231,62.9567162708,93.4625,63.0358333333,56.4736135802,,,,,,,
2007.0,88.7851923077,51.1642879063,88.2425,69.8608333333,84.565,,,,,,,
2008.0,147.673653846,118.78633583,179.026666667,122.81,148.058333333,,,,,,,
2009.0,70.6588679245,68.0845929063,167.8225,110.106666667,78.8066666667,,,,,,,
2010.0,92.4996153846,71.6256168333,158.945833333,105.185,105.430833333,,,,,,,
2011.0,121.5225,87.380698875,229.123333333,136.208333333,125.736666667,,,,,,,
2012.0,92.4996153846,72.0578868403,191.464166667,133.613333333,105.504166667,,,,,,,
2013.0,81.6890384615,71.3902298542,140.446666667,111.1575,90.8966666667,,,,,,,
,,,,,,,,,,,,
"† Source: McCloskey Coal Information Service.  Prices for 1990-2000 are the average of the monthly marker, 2001-2013 the average of weekly prices.",,,,,,,,,,,,
"‡ Source: Platts.  Prices are for CAPP 12,500 Btu, 1.2 SO2 coal, fob. ",,,,,,,,,,,,
"Prices for 1990-2000 are by coal price publication date, 2001-2013 by coal price assessment date.",,,,,,,,,,,,
Note:  CAPP = Central Appalachian; cif = cost+insurance+freight (average prices); fob = free on board.,,,,,,,,,,,,
