Coal: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,291.826415856,306.000475888,300.221460264,310.727845932,312.009561467,309.06090165,292.275053104,304.33319805,326.876052916,319.099148336,319.096828563,342.312726108,350.831101513,346.88665533,378.991189083,388.648261692,400.862922885,386.097354063,400.533195976,430.172437977,440.448967823,434.954890394,453.805324513,474.919084704,480.549931181,483.142273645,478.582036706,481.87817056,499.837316607,501.71001762,506.227518914,529.239463124,540.415027837,545.715663493,544.879176239,568.99460142,552.230515524,551.971466125,562.478004822,566.138816366,574.207281949,565.659081496,573.276793071,564.153708216,496.210030199,525.007151144,495.367825928,436.691740634,455.708631019,0.0464066639543,0.11908621341
Canada,15.476,15.172,15.032,16.331,15.767,16.928,16.09,15.183,15.637,15.888,15.457,18.3,23.384,19.228,18.207,22.1746680042,22.6412056941,23.924739658,25.0314082354,27.8823206267,26.8005636763,24.8394716729,26.696856788,28.6688401643,28.6086271138,27.1369781217,26.2679373268,26.7591716824,23.7583596064,25.1908139868,25.9983519633,26.6573277921,27.8726234833,29.8359367536,28.6327027802,30.2996799465,31.3962214579,31.7936610299,31.6915066399,29.8439142066,30.8579344607,29.890393618,31.2727381294,29.5785803,24.4314512277,25.0012181141,21.8224419604,20.5248877424,20.2751482005,-0.00946125481278,0.00529832113534
Mexico,0.688306104901,0.737699436324,0.904963217732,0.947788286997,0.960829272953,1.07850864622,1.35010031528,1.49696665711,1.60972580491,1.75907614407,2.02823158498,1.56756950416,2.20996942773,2.34735358747,2.29662271902,2.32874749212,2.06014139677,2.39149230916,2.37267125251,2.44969905417,2.68811502818,3.43216776536,3.3294879144,3.56730677367,3.39531384351,3.43644310691,3.35989299704,3.3763972485,3.8354829464,4.46197573326,4.85829272953,5.61713002771,5.60301423522,5.71467469189,5.79335053024,5.90274195089,6.93417165855,6.89865985956,8.13319305914,9.16646579727,10.9812275246,11.7058371549,12.1888004204,10.1076833381,8.67842182574,12.0562719977,14.2556457915,13.2808436276,12.4421517587,-0.0605837851763,0.00325139495544
Total North America,307.990721961,321.910175324,316.158423482,328.006634219,328.73739074,327.067410296,309.715153419,321.013164707,344.122778721,336.74622448,336.582060148,362.180295612,376.425070941,368.462008918,399.494811802,413.151677189,425.564269975,412.41358603,427.937275464,460.504457658,469.937646528,463.226529832,483.831669215,507.155231642,512.553872138,513.715694874,508.20986703,512.013739491,527.43115916,531.36280734,537.084163607,561.513920944,573.890665555,581.266274938,579.30522955,605.197023317,590.560908641,590.663787014,602.302704521,605.14919637,616.046443935,607.255312269,616.73833162,603.839971854,529.319903253,562.064641256,531.44591368,470.497472004,488.425930978,0.0409494489431,0.127635926008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.875,0.893,0.911,0.93,0.949,0.968,0.938,0.89,0.904,1.062,1.124,1.064,0.996,1.099,1.115,0.945,0.921,1.023,0.719,0.707,0.885,0.982,1.037,1.105,1.108,0.956,0.82,0.814,0.738,1.04,0.927,0.883,0.82,0.835,0.877,0.779,0.637,0.538,0.652,0.753,0.949,0.255,0.381,1.137,1.158,0.976,0.936,0.711,0.7134885,0.00624931510538,0.00018644949887
Brazil,1.735,1.88,1.943,1.912,2.134,2.358,2.424,2.439,2.415,2.517,3.018,3.449,4.196,4.602,5.076,5.517,5.688,5.934,6.646,8.303,9.881,10.069,10.115,10.043,9.907,9.533,10.232,9.896,10.274,10.321,10.796,11.339,11.495,11.35,11.902,12.509,12.215,10.828,11.091,12.015,11.933,11.809,12.578,12.69,10.8,13.277,13.914,13.963,13.6767585,-0.017816439271,0.00357402348891
Chile,1.165,1.2,1.2,1.2,1.2,1.283,1.239,1.024,1.112,1.054,0.842,0.85,0.915,0.892,0.987,1.09,1.088,0.725,0.869,1.172,1.173,1.114,1.148,1.6,2.162,2.419,1.987,1.75,1.8,2.15,2.35,3.2,4.15,3.7,3.86,2.984,2.341,2.35885,2.2555,2.613,2.56035,3.1967,3.79425389311,4.05741167435,3.70930105,4.20461323543,5.3378,6.17431660227,7.366255,0.196316450834,0.00192495679948
