Coal: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,747.316076242,760.322383286,709.500989208,812.765612235,801.622980079,807.679881283,833.486976305,862.066121143,889.702153138,933.561573239,903.54133829,904.95750078,857.674447268,937.579281994,937.098208298,965.113886203,988.76963444,1013.81065371,998.294166606,973.964380136,1023.02220716,992.71679507,972.277923779,1008.87919769,1026.47767368,1054.82900993,1040.20972848,1063.04719612,975.154054895,983.722193033,993.936537558,922.115524996,892.636658867,-0.0306611023843,0.128959134221
Canada,40.088,42.907,44.807,57.402,60.853,57.048,61.207,70.643,70.527,68.332,71.1342,65.6134,69.0294,72.8233,74.9802,75.8794,78.76,75.2681,72.3577,69.1043,70.4815,66.9982,62.5796,66.2064,68.4309,67.4108,68.9543,68.3958,64.6377,67.9737,67.45,67.1005,69.5365183926,0.0391432158649,0.00948616676033
Mexico,3.03233159679,3.75121551197,4.85112878432,5.33524136351,5.52597570265,6.21679517985,6.93147147887,6.34585557287,6.77053359792,6.92981165389,6.40562258805,6.10417778373,6.61514237133,8.99913133738,8.88917137536,9.69048561248,9.42421213718,10.1074672253,10.3258029711,11.343947873,8.8570927467,7.07975859081,9.14992586493,12.2284843206,12.6570433187,14.1099241519,15.2321702663,13.7978762651,12.0736274739,14.8542497299,18.9580126829,15.7424571687,16.6454068589,0.0602544769645,0.00213213055395
Total North America,790.436407839,806.980598798,759.159117992,875.502853598,868.001955782,870.944676462,901.625447784,939.054976716,966.999686735,1008.82338489,981.081160878,976.675078564,933.318989639,1019.40171333,1020.96757967,1050.68377182,1076.95384658,1099.18622094,1080.97766958,1054.41262801,1102.36079991,1066.79475366,1044.00744964,1087.31408201,1107.565617,1136.34973408,1124.39619875,1145.24087239,1051.86538237,1066.55014276,1080.34455024,1004.95848216,978.818584118,-0.0249732751399,0.140577420592
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,5.69,6.35,6.74,7.52,7.71,7.39,6.88,7.33,6.67,4.6,5.19,4.73,4.6,5.13,5.2,4.8,5.65,5.52,5.66,6.81,5.65,5.144,4.646,5.406,6.255,5.881,5.965,6.611,5.061,5.415,5.505,6.617,7.3739848,0.117453150451,0.00071812840179
Colombia,3.99,4.42,5.05,6.64,8.97,10.74,14.59,15.81,19.9,20.47,21.2,23.5,21.71,22.67,25.74,30.07,32.3,33.75,32.75,38.24,43.91,39.48,50.03,53.65,59.064,65.6,69.9,73.5,72.807412,74.35013326,85.80322912,89.024,85.496,-0.0369986109436,0.0143175013363
Venezuela,0.05,0.05,0.04,0.05,0.04,0.06,0.24,1.07,2.11,2.15,2.4,2.48,3.96,4.44,4.35,4.18,5.29,6.46,6.59,7.88,7.69,8.1,7.03,8.107304,7.195,7.871,6.097,4.922,3.282,2.73,2.1,3.12,2.32752,-0.251956164837,0.00043774821097
