Electricity Generation *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Terawatt-hours,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,2703.222,2737.509,2854.845,3022.672,3138.316,3185.427,3223.287,3235.428,3353.535,3407.381,3516.767,3610.696,3660.811,3797.086,3875.683,3990.496,3924.082,4050.287,4075.833,4168.116,4257.36941,4266.331887,4364.994,4325.36,4146.613,4331.10173125,4302.35547216,4249.05688302,4260.35266438,0.00540543021634,0.184215456247
Canada,460.407,470.689,497.834,505.967,495.33,478.175,502.72,514.688,524.663,547.813,551.34,566.081,569.033,558.732,573.087,599.242,581.832,594.833,580.244,587.10687429,613.998809878,600.959921627,619.782209421,617.076127762,592.461631143,581.813265508,600.409533907,610.17739764,626.840702679,0.0301234964281,0.0271042697132
Mexico,93.405,97.137,104.825,109.861,118.102,122.449,126.807,130.103,135.026,145.987,152.548,162.526,175.149,181.801,192.267,204.373,209.642,214.101,216.977,231.177,241.984,249.624,257.295,261.84,261.006,270.834,288.582,296.63285,293.627959229,-0.00741802761331,0.0126963220537
Total North America,3257.034,3305.335,3457.504,3638.5,3751.748,3786.051,3852.814,3880.219,4013.224,4101.181,4220.655,4339.303,4404.993,4537.619,4641.037,4794.111,4715.556,4859.221,4873.054,4986.39987429,5113.35221988,5116.91580863,5242.07120942,5204.27612776,5000.08063114,5183.74899676,5191.34700607,5155.86713066,5180.82132629,0.00759294722229,0.224016055465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,45.217,48.988,52.576,53.083,50.87,50.94,54.054,56.262,62.53,65.622,67.169,69.759,72.463,74.17,80.745,88.978,90.138,84.492,92.056,100.248,105.75,97.755,103.96,121.927,122.348,125.594,129.892,134.575289452,138.798664724,0.0342087000608,0.00600158283487
Brazil,193.681,202.127,203.332,214.95,221.739,222.821,234.366,241.73,251.973,260.041,275.601,291.244,307.986,321.748,334.716,348.909,328.509,345.671,364.339,387.451,402.938,419.337,444.583,463.12,462.976,515.799,531.758,552.498,557.419401355,0.0116716763005,0.0241025295109
Chile,14.04,14.82,15.637,16.915,17.811,18.398,19.963,22.35,24.013,25.276,28.027,30.791,33.292,35.495,38.384,41.268,43.917,45.484,48.78,52.8542856407,54.4831309196,57.5550211251,60.1376111427,60.8582052802,61.0380447997,61.6075024203,65.0365187291,69.7288715347,72.3925144274,0.0410443842411,0.00313021522015
Colombia,26.634,29.66,31.103,33.201,34.602,35.393,36.661,35.993,40.298,43.354,45.303,44.869,45.9,46.065,44.4,42.296,43.3,45.8,47.1,48.57099,49.29479,52.34005123,53.6259,54.4326,55.986,56.89732,58.62863,59.99239,62.2250341982,0.0400571413338,0.00269057857804
Ecuador,4.806,5.301,5.353,5.603,5.736,6.348854,6.744558,7.196027,7.411305,8.143996,8.428596,9.672006,10.361749,10.890352,10.30812,10.61244,11.0498,11.88756,11.54613,12.58485,13.40402,15.11585,17.33665,18.60853,18.26462,19.50986,20.54414,22.84796,23.25864,0.0207634419203,0.001005691709
Peru,12.115,12.935,13.951,13.56,13.737,13.808,14.482,13.122,14.808,15.866,16.144,17.2798,17.9534,18.5825,19.0496,19.9225,20.7855,21.9823,22.9233,24.267,25.51,27.37,29.943,32.4434,32.6963,35.86,38.899,40.94,39.668,-0.0284152552486,0.00171522400342
Trinidad & Tobago,3.026,3.305,3.495,3.495,3.436,3.577,3.72,3.976,3.817,4.069,4.307,4.541,4.988,5.169,5.247,5.459,5.644,5.644,6.437,6.43,7.058,6.901,7.683,7.683,7.735,8.485,8.867,7.838818148,7.90385682217,0.0110594574362,0.00034175871406
Venezuela,47.29,50.112,54.132,58.245,57.62,59.321,63.337,67.44,69.382,71.221,73.446,75.588,78.066,80.904,80.585,85.211,90.117,89.3949,90.0603,96.8695,104.36079,110.64354,113.69732,119.31733,124.84439,116.7162,122.89773,127.85427,131.712604459,0.0329999998212,0.00569518562406
