Natural Gas: Proved reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Trillion cubic metres,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,5.63564777374,5.71235799789,5.70618486404,5.67036437988,5.59153032303,5.47560119629,5.42511224747,5.30122566223,4.75791025162,4.73219871521,4.7953453064,4.73066949844,4.67270517349,4.59908103943,4.63934755325,4.67641448975,4.71401929855,4.73522853851,4.64512443542,4.74041080475,5.02417373657,5.19500923157,5.29372167587,5.35313081741,5.45136165619,5.78753948212,5.97726249695,6.73165130615,6.92788743973,7.71659660339,8.62602043152,9.45972537994,8.72260951996,9.34456062317,0.0713033303618,0.0503218695521
Canada,2.492000103,2.56299996376,2.59100008011,2.61299991608,2.80900001526,2.78399991989,2.7460000515,2.6930000782,2.67100000381,2.73200011253,2.72499990463,2.71099996567,2.67199993134,2.23200011253,1.89800000191,1.92900002003,1.94200003147,1.80900001526,1.74800002575,1.71899998188,1.68299996853,1.69400000572,1.66400003433,1.60300004482,1.60000002384,1.63256001472,1.63971197605,1.63382399082,1.75423395634,1.72745001316,1.98249995708,1.92061805725,2.02271699905,2.02271699905,-,0.0108926361427
Mexico,1.82700002193,2.13400006294,2.13400006294,2.18099999428,2.17199993134,2.16700005531,2.14599990845,2.11899995804,2.07800006866,2.05999994278,2.02500009537,2.00900006294,1.98300004005,1.97300004959,1.93700003624,1.91600000858,1.80999994278,1.79700005054,0.851000010967,0.861000001431,0.834999978542,0.79699999094,0.423999994993,0.421000003815,0.418999999762,0.407999992371,0.387962400913,0.372999995947,0.358999997377,0.338842272758,0.353796392679,0.360572606325,0.35999494791,0.347521364689,-0.0346493273974,0.00187145499513
Total North America,9.95464789867,10.4093580246,10.4311850071,10.4643642902,10.5725302696,10.4266011715,10.3171122074,10.1132256985,9.5069103241,9.52419877052,9.5453453064,9.45066952705,9.32770514488,8.80408120155,8.4743475914,8.52141451836,8.4660192728,8.34122860432,7.24412447214,7.32041078806,7.54217368364,7.68600922823,7.3817217052,7.37713086605,7.47036167979,7.82809948921,8.00493687391,8.73847529292,9.04112139344,9.78288888931,10.9623167813,11.7409160435,11.1053214669,11.7147989869,0.0548815727234,0.0630859583616
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.64099997282,0.648000001907,0.691999971867,0.679000020027,0.667999982834,0.680999994278,0.671000003815,0.693000018597,0.773000001907,0.671000003815,0.660000026226,0.643000006676,0.541000008583,0.51700001955,0.535000026226,0.619000017643,0.64200001955,0.684000015259,0.686999976635,0.728999972343,0.777999997139,0.763999998569,0.663999974728,0.611999988556,0.541999995708,0.43900001049,0.446000009775,0.441974014044,0.39852899313,0.378679007292,0.358711898327,0.332510232925,0.31550770998,0.31550770998,-,0.00169905670919
Bolivia,0.122000001371,0.153999999166,0.145999997854,0.134000003338,0.125,0.128999993205,0.136999994516,0.142000004649,0.146999999881,0.115999996662,0.112999998033,0.115999996662,0.119999997318,0.118000000715,0.108000002801,0.127000004053,0.108000002801,0.118000000715,0.15000000596,0.518000006676,0.675000011921,0.774999976158,0.813000023365,0.782000005245,0.757000029087,0.756059885025,0.740000009537,0.709999978542,0.709999978542,0.281469494104,0.280999988317,0.280999988317,0.317148715258,0.317148715258,-,0.00170789367985
Brazil,0.0522050000727,0.0590999983251,0.0709199979901,0.0807700008154,0.0827400013804,0.0916050001979,0.0945599973202,0.103425003588,0.107364997268,0.114260002971,0.113274998963,0.12213999778,0.131005004048,0.134945005178,0.143810003996,0.151690006256,0.155630007386,0.224580004811,0.222609996796,0.227534994483,0.217684999108,0.216542392969,0.240878790617,0.241659894586,0.321192741394,0.301799088717,0.342684447765,0.359515160322,0.358772188425,0.361588299274,0.416657954454,0.452512264252,0.452299624681,0.451290279627,-0.00223158509471,0.00243026623502
Colombia,0.122000001371,0.122000001371,0.119999997318,0.112999998033,0.108999997377,0.107000000775,0.112999998033,0.097000002861,0.127000004053,0.108999997377,0.101000003517,0.0989999994636,0.185000002384,0.21099999547,0.21400000155,0.216999992728,0.216999992728,0.195999994874,0.195999994874,0.187999993563,0.128999993205,0.12800000608,0.119999997318,0.11400000006,0.119000002742,0.112999998033,0.123000003397,0.124956734478,0.124141067266,0.134136915207,0.153052568436,0.15469494462,0.162170603871,0.162170603871,-,0.000873313169
Peru,0.0320000015199,0.0320000015199,0.0270000007003,0.0260000005364,0.0250000003725,0.0270000007003,0.054999999702,0.340000003576,0.340000003576,0.340000003576,0.338999986649,0.342999994755,0.326000005007,0.331999987364,0.340000003576,0.201000005007,0.201000005007,0.197999998927,0.24699999392,0.24699999392,0.24699999392,0.24699999392,0.24699999392,0.24699999392,0.324999988079,0.333999991417,0.331580042839,0.334705173969,0.339858829975,0.339858829975,0.352884590626,0.359623998404,0.435399889946,0.435399889946,-,0.00234469422139
Trinidad & Tobago,0.29699999094,0.340000003576,0.333999991417,0.317000001669,0.31099998951,0.317000001669,0.308999985456,0.303000003099,0.293999999762,0.286000013351,0.252000004053,0.238000005484,0.232999995351,0.230000004172,0.286000013351,0.349000006914,0.456000000238,0.51700001955,0.560000002384,0.605000019073,0.556999981403,0.575999975204,0.588999986649,0.532000005245,0.532000005245,0.52999997139,0.479999989271,0.481301486492,0.435229986906,0.40821570158,0.381144791842,0.375396490097,0.375396490097,0.351999998093,-0.0623247474432,0.00189557310659
