Natural Gas: Trade movements 2013 by pipeline,,,,,,,,,,,,,,,,,,,,,,
Billion cubic metres,,,,,,,,,,,,From,,,,,,,,,,
To,US,Canada,Mexico,Bolivia,Other S. & Cent. America,Netherlands,Norway,United Kingdom,Other Europe,Kazakhstan,Russian Federation,Turkmenistan,Other Former Soviet Union,Iran,Qatar,Algeria,Libya,Other Africa,Indonesia,Myanmar,Other Asia Pacific,Total imports
US,0.0,78.8746090151,0.0302707147683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.9048797298
Canada,25.7969636406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7969636406
Mexico,18.6410402932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6410402932
North America,44.4380039338,78.8746090151,0.0302707147683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.342883664
Argentina,0.0,0.0,0.0,5.211689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.211689
Brazil,0.0,0.0,0.0,10.6927115,0.057524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7502355
Other S. & Cent. Americas,0.0,0.0,0.0,0.0,2.67845588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67845588235
S. & Cent. America,0.0,0.0,0.0,15.9044005,2.73597988235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6403803824
Austria,0.0,0.0,0.0,0.0,0.0,0.0,1.175958915,0.0,0.487510280792,0.0,5.14257620452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.80604540031
Belgium,0.0,0.0,0.0,0.0,0.0,5.4,9.448488186,2.51931578787,0.0,0.0,12.2517207473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6195247212
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,3.844,0.0,0.0,0.0,7.19764011799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.041640118
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.50049164208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.50049164208
France,0.0,0.0,0.0,0.0,0.0,6.5,15.5,0.0,0.427162,0.0,8.07276302852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4999250285
Germany,0.0,0.0,0.0,0.0,0.0,22.4,33.5461202208,0.0,† ,0.0,39.8328416912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8049989887
Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.627116466979,0.0,2.37542838225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00254484923
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89970501475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89970501475
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86664577777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86664577777
Italy,0.0,0.0,0.0,0.0,0.0,8.6,1.12405760995, ,0.326342256794,0.0,24.9065880039,0.0,0.0,0.0,0.0,11.4260185582,5.23092190664,0.0,0.0,0.0,0.0,51.6139283355
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,4.81986853502,1.56172481,13.0351065788,0.0,2.09439528024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.511095204
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79521,0.0,9.63618485742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4313948574
Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32940019666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32940019666
Spain,0.0,0.0,0.0,0.0,0.0,0.0,2.685552899,0.0,1.282401101,0.0,0.0,0.0,0.0,0.0,0.0,11.357848,0.0,0.0,0.0,0.0,0.0,15.325802
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1651917404,0.0,3.27655927602,8.71403837215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1557893886
United Kingdom,0.0,0.0,0.0,0.0,0.0,9.5,29.1,0.0,3.30715419658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9071541966
Other Europe,0.0,0.0,0.0,0.0,0.0,0.8,1.15595363424,0.00175972,6.79317771877,0.0,9.98917543091,0.0,0.0,0.0,0.0,2.00122,0.0,0.0,0.0,0.0,0.0,20.7412865039
Europe,0.0,0.0,0.0,0.0,0.0,53.2,102.4,8.94944609565,28.1072176763,0.0,162.394102338,0.0,3.27655927602,8.71403837215,0.0,24.7850865582,5.23092190664,0.0,0.0,0.0,0.0,397.057372223
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1219141324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1219141324
Russian Federation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5194570136,0.0,9.8792760181,6.35755656109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7562895928
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76833631485,0.0,25.1341681574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9025044723
Other Former Soviet Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18993961991,5.6115973903,1.13711779186,3.76302519457,0.694048712329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.395728709
Former Soviet Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76833631485,11.7093966335,48.8676796801,11.01639381,10.1205817557,0.694048712329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1764369064
Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66048800036,0.37122213079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03171013115
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.82616,0.0,0.0,0.0,0.0,0.0,0.0,17.82616
Other Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.068,0.0,0.0,0.17985,0.0,0.0,0.0,2.24785
Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66048800036,0.37122213079,0.0,19.89416,0.0,0.0,0.17985,0.0,0.0,0.0,25.1057201311
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8972733711,0.0,0.0,0.0,2.8972733711
Other Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22884392854,0.0,0.3102,0.0,0.0,0.0,3.53904392854
Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22884392854,0.0,3.2074733711,0.0,0.0,0.0,6.43631729964
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77008,6.77008
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655617466063,0.0,24.407069016,2.89049174563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,†,27.3633355163
China Hong Kong SAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77574249938,2.77574249938
Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,1.24
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62540769679,0.0,1.58579071694,9.21119841373
Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49948,0.0,8.49948
Asia Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655617466063,0.0,24.407069016,2.89049174563,0.0,0.0,0.0,0.0,0.0,8.86540769679,8.49948,11.1318262244,55.8602880918
Total exports,44.4380039338,78.8746090151,0.0302707147683,15.9044005,2.73597988235,53.2,102.4,8.94944609565,29.8755539911,11.7749583801,211.261782018,40.0839508263,16.6588549081,9.40808708448,19.89416,28.0139304867,5.23092190664,3.3873233711,8.86540769679,8.49948,11.1318262244,710.619398698
,,,,,,,,,,,,,,,,,,,,,,"Source: Includes data from Cedigaz, CISStat, FGE MENAgas service, IHS CERA, PIRA Energy Group."
