Natural Gas: Consumption*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Billion cubic feet per day,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,41.8622356164,45.0750767123,47.6393424658,50.907273224,54.9486027397,57.9161260274,59.7080931507,60.3864808743,60.4092136986,58.145569863,53.5276520548,54.4986229508,53.4810438356,53.7739123288,55.454139726,54.3095437158,53.1612547945,49.3179589041,46.1230520548,49.045147541,47.3450493151,44.4419068493,47.1529013699,49.2611693989,52.3808219178,52.5315068493,53.5945205479,55.2677595628,56.9589041096,58.2109589041,60.8410958904,61.7759562842,62.2931506849,60.9479452055,61.3835616438,63.7513661202,60.9287671233,63.0877287671,61.0315123288,61.2091420765,60.3135178082,59.449509589,63.2980630137,63.5983825137,62.7673369863,65.9912246575,67.0614383562,69.7635191257,71.328739726,0.0236713252962,0.222161620855
Canada,2.20101187035,2.40967476184,2.55888861727,2.84168319195,3.18444728063,3.51802839979,3.75496452181,4.21202932338,4.49157355452,4.54027231281,4.68862614602,4.71730559606,4.96146819579,5.00887692074,5.08531139568,5.03957601314,4.90341669583,5.19270667059,4.95179294579,5.48149173476,5.7655395216,5.54870749404,5.61590210523,6.16384627443,6.68157284032,6.47662201975,6.52137972621,6.89400104304,7.33471994152,7.5932039203,7.97829822047,8.35370270491,8.43411859809,8.07198366614,8.45247254732,8.94405579468,8.53293192625,8.72407616509,9.44870401322,9.17326339221,9.46261702271,9.37966142928,9.30761951784,9.27000241023,9.1851018272,9.19585102994,9.75749929196,9.67552280211,10.013012969,0.0348808206618,0.0308378431946
Mexico,0.809018228562,0.851625974166,0.732155334466,0.782238414484,0.970205635939,0.989971480561,1.02554640616,1.09424267607,1.21500888251,1.27859440813,1.29959786474,1.27345192587,1.34701740468,1.69396215542,2.057750754,2.2211002782,2.41152547962,2.63098078931,2.69875930328,2.72561377592,2.78353058935,2.47392217879,2.51254491649,2.52944793977,2.46440899948,2.66350178151,2.82459429331,2.8147352431,2.87685731765,3.05258794975,3.04185513207,3.19990911063,3.44767375282,3.79099553567,3.74238973693,3.95028190759,4.12029700284,4.49644909614,4.975584601,5.24309614766,5.90410102796,6.44507076557,6.14284110297,6.3931568281,7.01092739879,7.01182761515,7.41315203796,7.68076286113,8.00549046923,0.0422780402005,0.0246551223099
Total North America,44.8722657154,48.3363774483,50.9303864175,54.5311948305,59.1032556563,62.4241259077,64.4886040787,65.6927528738,66.1157961357,63.964436584,59.5158760656,60.4893804728,59.7895294361,60.4767514049,62.5972018757,61.5702200072,60.47619697,57.141646364,53.7736043039,57.2522530517,55.894119426,52.4645365221,55.2813483916,57.9544636131,61.5268037576,61.6716306506,62.9404945675,64.976495849,67.1704813688,68.8567507742,71.861249243,73.3295680997,74.1749430358,72.8109244073,73.5784239281,76.6457038225,73.5819960524,76.3082540284,75.455800943,75.6255016164,75.6802358589,75.2742417839,78.7485236345,79.261541752,78.9633662123,82.1989033026,84.2320896861,87.1198047889,89.3472431642,0.0265335477889,0.277654588222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.410230599652,0.444308980178,0.464627005161,0.515889969052,0.515368316229,0.582450049505,0.628783746688,0.703720232098,0.80293824654,0.849916960389,0.87077249926,0.977424947599,1.02364144913,0.995583224154,1.02364144913,1.11250835595,1.16586762401,1.32454172387,1.42419679879,1.51196929209,1.54900752368,1.67381824858,1.67478577358,1.95099036924,2.05502309825,1.96310822333,1.9989066483,2.15554524475,2.28239147306,2.34624812301,2.61134997278,2.98823796911,2.76131634765,2.95191877249,3.13091089734,3.20437142248,3.00803522244,2.92869817251,3.34570144716,3.65786572196,3.90880099668,4.04425449656,4.24936979639,4.28503868932,4.18029496774,4.18832523076,4.41998354176,4.565800047,4.64513097145,0.0173750333488,0.0143059659749
Brazil,0.00482652990296,0.00564421430552,0.00638041617145,0.00672461368557,0.00710661141009,0.00762409699352,0.0120079527648,0.0164420630006,0.018869640059,0.0363097619317,0.0394547019415,0.0453344742848,0.0567042213893,0.0746208493241,0.0817684402555,0.0953259490725,0.0857710911771,0.122557359171,0.165728808397,0.192362633024,0.241969778332,0.281900986336,0.314684603408,0.315915707594,0.324786531924,0.295700792496,0.307409118249,0.347288589412,0.407940556507,0.44551591854,0.491703937042,0.540259483726,0.588719046465,0.616983289442,0.732132027661,0.909800356804,1.15499017253,1.3646315934,1.52736174724,1.81148879943,1.89209292655,1.99011098593,2.0495098491,2.40571588597,1.94299768796,2.59241464842,2.58363864567,3.05405997949,3.64073392291,0.192096412182,0.0112126469612
Chile,0.0611475799481,0.0638566499457,0.0566002124519,0.0482440744126,0.0636631449459,0.063566392446,0.0648241749449,0.0588577707833,0.0463444474606,0.048279497459,0.0547619149535,0.0596296759739,0.0615345899477,0.0574709849512,0.0680170074422,0.0694714671541,0.0685975224417,0.0710163349397,0.0766279799349,0.0781554005484,0.0782727724335,0.0715968499392,0.069468294941,0.0973565421646,0.152288434871,0.163511724861,0.14154890738,0.161714137431,0.156352039867,0.163221467361,0.158867604865,0.159687886306,0.249546950363,0.354210902199,0.483859252089,0.622927488815,0.708034794399,0.714033449393,0.772471959344,0.836222888307,0.81114888903,0.750639930634,0.442466642564,0.256117529542,0.301761778354,0.51118691798,0.519810377693,0.521132491805,0.420171757249,-0.193733334541,0.00129403511528
Colombia,0.0899798249236,0.0938499249203,0.116102999901,0.118037168729,0.129218338779,0.125563244338,0.133733455442,0.161349626646,0.160824155419,0.163189216528,0.1570615582,0.16445868922,0.19049492206,0.242526266461,0.276604646987,0.305545804613,0.328420985832,0.346266446928,0.371637102462,0.374481226496,0.38894504967,0.398620299661,0.4051779691,0.41468462184,0.383784916341,0.399372819105,0.397007757996,0.389812121254,0.410123096874,0.40195288577,0.426356016304,0.453923135695,0.572129782847,0.600295510601,0.501070446797,0.571638677262,0.58782518839,0.594597863384,0.582880060616,0.607925331705,0.647999999976,0.679999999975,0.719902441235,0.729450405118,0.842306627557,0.878776036144,0.856064515696,0.948993051759,1.03575894548,0.0914294272661,0.0031899062451
Ecuador,0.0,0.0,0.0,0.0,0.0,0.00645016666119,0.00645016666119,0.00932718771976,0.00537513888432,0.0107502777687,0.0134378472108,0.0122218321845,0.00784770277111,0.00806270832648,0.00580514999507,0.00450278027851,0.00731018888268,0.00946024443641,0.0117178027678,0.0168318215173,0.0172004444298,0.0170929416522,0.0159104110976,0.0185471663853,0.014727880543,0.0241881249794,0.0296707666415,0.0296969080273,0.034293386082,0.0309607999737,0.0298857721968,0.0316266710038,0.0289182471977,0.0294557610861,0.0277357166431,0.0301257442443,0.0307457944183,0.0140022238042,0.0244350862457,0.0309339842088,0.033705259371,0.0430681248941,0.0450909255362,0.0393024723989,0.0528807896791,0.054903618657,0.0485162521729,0.0634815118992,0.0579508222967,-0.0871228426695,0.00017847558775
Peru,0.0367659499688,0.0383784916341,0.0359059277473,0.0398817681811,0.0407435527432,0.0399910332994,0.0477312332928,0.0457782661648,0.0449361610729,0.0462261944052,0.0570839749515,0.0617524152481,0.0614915888366,0.0642866610565,0.0594490360606,0.0636821782246,0.0733168943822,0.0769719888235,0.050741311068,0.0682921675574,0.0534288805102,0.0566539638408,0.0563314555077,0.0529612727996,0.0450436638506,0.0431086138523,0.0404210444101,0.0363438693908,0.0383784916341,0.0400985360771,0.0388085027448,0.0392385138556,0.023328102758,0.0395610221886,0.039776027744,0.0333420158718,0.0357984249696,0.0427861055192,0.0506338082903,0.0829798079896,0.146759230132,0.171756465747,0.258864386456,0.327747950535,0.336112251495,0.524209702179,0.594376622435,0.653356286925,0.635518226562,-0.0273021943867,0.00195725425147
Trinidad & Tobago,0.113092922126,0.132658427665,0.146418783209,0.153201738523,0.154481491535,0.176734566517,0.172254020824,0.177551744768,0.170987651044,0.15621410724,0.141979001683,0.159368609814,0.187843310125,0.224251441304,0.244783824792,0.266200081703,0.279937233096,0.342611352487,0.382387380231,0.397745591268,0.398405294106,0.420335860754,0.435601255186,0.488980496435,0.494942788468,0.509993177345,0.551489249532,0.530684818538,0.596962924493,0.684040174419,0.734351474376,0.826903435431,0.899798249236,0.899798249236,0.923018849216,0.94024958314,1.08025811207,1.16163131203,1.29222113619,1.42608310235,1.57838856573,2.05058606078,2.12248719936,2.05689591966,2.14463566635,2.24288152244,2.23442487204,2.14422994127,2.16841746442,0.0112802842632,0.00667824130505
Venezuela,0.655336932777,0.687157754972,0.752949454916,0.775121462229,0.799820665987,0.745961774366,0.722956179941,0.716585318608,0.88517787147,0.935489171428,0.909903510338,1.12483739719,1.23122931284,1.24240960172,1.39151595437,1.42856064788,1.44021471267,1.53675220703,1.51320909871,1.66924497467,1.67629081246,1.84550018454,1.79830646514,1.83595505403,1.89032884284,2.12522241208,2.11909475376,2.08575215044,2.2571283203,2.38742168686,2.66080125052,2.86869987363,2.98287957247,3.12854583623,2.65198602275,2.69437795141,2.8632289809,2.74927603655,2.44048505793,2.74074586738,2.65285679525,3.04605895491,3.4980210808,3.30870541068,3.12232584004,2.80948879668,2.87600344789,3.03030201919,2.95361864168,-0.0253055226058,0.00909648556262
Other S. & Cent. America,0.00408510555209,0.00440761388514,0.00462261944052,0.00471719838701,0.00483762499589,0.00526763610664,0.00569764721738,0.0103992782623,0.0118253055455,0.0123628194339,0.0162329194307,0.0200480931448,0.0230055944249,0.0247256388679,0.0289182471977,0.0299113261358,0.0341858833043,0.0355834194142,0.0387009999671,0.0338780611431,0.0374109666349,0.0427861055192,0.0512788249564,0.0519963913113,0.0645016666119,0.0703068166069,0.0729943860491,0.0826865699689,0.0855748619413,0.100366122215,0.111053883782,0.11361761228,0.110953818636,0.134318406835,0.170208464343,0.171201131834,0.224711064209,0.232053170258,0.298680331737,0.285856619726,0.316538639968,0.378367219006,0.43537647813,0.456554689023,0.488546892972,0.518163516827,0.563215115008,0.680914318972,0.75861756368,0.114116035402,0.00233637262136
Total S. & Cent. America,1.37546544485,1.47026205751,1.583607419,1.6618179932,1.71523974663,1.75360896023,1.79443857778,1.90001148805,2.1472786175,2.25873800658,2.26068792797,2.62507613466,2.84379269153,2.93393737617,3.18050375623,3.37570859102,3.48362213579,3.8657610771,4.03494728233,4.34296116832,4.44093152226,4.80830544082,4.82154505291,5.22738762181,5.4254278237,5.59451270466,5.65854263231,5.81952440921,6.26914515076,6.59982571422,7.26317841461,8.02219458104,8.21759011762,8.75508775031,8.66069770458,9.17803437187,9.69362775433,9.80170992685,10.3348706348,11.4801021231,11.9882913027,13.1548422384,13.8210887996,13.8655289522,13.4118625021,14.3203499901,14.6960333904,15.6622696483,16.3159183157,0.041733969003,0.0502493828535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,0.175874544295,0.188882380395,0.180927174846,0.192440252379,0.234141049801,0.28391483587,0.326163427501,0.351538488886,0.387440010782,0.420013352421,0.419475838533,0.476437037088,0.486880080142,0.506445585681,0.502145474573,0.48104702642,0.459789380165,0.445061499622,0.454199235725,0.504311391193,0.54181399954,0.52601109122,0.548801680089,0.524252275283,0.564604588409,0.621473557805,0.65888452444,0.645291297532,0.680492582755,0.699950585517,0.764237246573,0.811250913511,0.784017757667,0.804873296538,0.822181243746,0.782626096026,0.83174899096,0.82476131041,0.909581002005,0.915243696134,0.967632501956,0.909203869361,0.860932073401,0.917406154218,0.898284033911,0.975428013492,0.916564859109,0.87265138098,0.821208939746,-0.0589495897293,0.00252914009616
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.2766422576,1.41847980911,1.4009587001,1.37965770609,1.45352202801,1.48241099979,1.41847980911,1.1001899149,0.814314414369,0.761751086371,0.75299053169,0.550094957362,0.525320402791,0.490278184156,0.525320402791,0.506411863754,0.728377544796,0.730463391145,0.749027423637,0.803427565168,0.832159060151,0.879703501403,0.774545354177,0.883726661888,0.756648330619,0.719269468794,0.787731713021,0.82444539094,0.836887236629,0.0150911705568,0.00257742567919
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.867712080853,0.884294559012,0.998181770214,1.15260962716,1.21709134417,1.29677067487,1.3571559267,1.57175931076,1.46228258252,1.27831093439,1.15576746175,1.21376595798,1.39219814472,1.40971925461,1.43600091812,1.5193395985,1.51474161824,1.55854439164,1.53226272725,1.7289144403,1.7774539656,1.83873529705,1.82341250291,1.85641452402,1.56003556131,1.90729385598,1.77043941459,1.76723292839,1.77277567558,0.00313639873639,0.00545975286514
Belgium,0.00679402765258,0.0122616022873,0.0467308936022,0.113376109907,0.234185973576,0.367448283998,0.506684254788,0.637110315642,0.767884576411,0.899924424035,0.889183389841,0.936687258464,0.924075574714,0.916264753807,1.00112770533,0.955308263588,0.883505523874,0.736585831334,0.765448894389,0.787709999158,0.793690327022,0.712633417518,0.785856397178,0.773472304894,0.861910221693,0.878195090015,0.938983150356,0.970211981426,1.01123786553,1.03983055402,1.1407056884,1.26674687886,1.2109869003,1.34101858125,1.4335375238,1.43322972664,1.41686211443,1.438166244,1.5482549118,1.56203499859,1.58328112852,1.61282359434,1.60485794355,1.59078463212,1.62455600195,1.82323278202,1.60645945162,1.63325325649,1.62738222778,-0.00359468371607,0.00501197390258
Bulgaria,0.00591265277275,0.00881522777029,0.0267681916439,0.0409538587236,0.0426786027415,0.0384859944117,0.0265531860886,0.0179039120598,0.0180604666513,0.0393460166332,0.104492699911,0.182148183171,0.233066022024,0.248653924789,0.266069374774,0.34103200157,0.371959610795,0.411628135761,0.432483674633,0.453494299478,0.495910313468,0.492577727359,0.549339193978,0.532078536243,0.610293268926,0.572774799513,0.487525096808,0.417364848196,0.398942807994,0.395072707998,0.480429913481,0.498414893209,0.397652774662,0.336376191381,0.288752460866,0.314336947061,0.294342605306,0.258329174781,0.268756944216,0.267164963191,0.301932135026,0.311111005038,0.313532821698,0.312696915863,0.224283793817,0.247013744834,0.282802556486,0.262835026401,0.254605030834,-0.0313123986125,0.00078412663424
Czech Republic,0.0312833083068,0.0347233971927,0.0416035749647,0.0507098826603,0.0642866610565,0.0818096138194,0.0927748971434,0.102599064917,0.111372877683,0.13566850544,0.148031324874,0.172070532071,0.218123135926,0.245643847014,0.278754702541,0.354433133351,0.33594618027,0.349276524703,0.357231730252,0.399675354245,0.398727802439,0.435493752408,0.471077171822,0.476115409925,0.491502699582,0.523108516222,0.573312313402,0.559524054132,0.573312313402,0.613625855034,0.70210064107,0.80996440486,0.825513829854,0.82615884652,0.832716515959,0.805354415527,0.86475234371,0.842391765951,0.842929279839,0.879007035797,0.91837472922,0.899024229236,0.837005876789,0.838289036993,0.791822459327,0.897863199237,0.813978781809,0.79004496258,0.81513874753,0.0317624770105,0.00251044519246
