Natural Gas: Consumption*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Billion cubic metres,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,432.673426015,465.880227891,492.383581866,527.601304845,567.929539644,598.600822454,617.1219679,625.843501066,624.368504667,600.972273691,553.243090342,564.821935258,552.76136409,555.788350404,573.154593123,562.862324287,549.456136407,509.733174277,476.711734501,508.302295529,489.34187079,459.336005638,487.355896832,510.541138958,541.38985515,542.9472819,553.9342197,572.7932418,588.7073115,601.64811195,628.83228795,640.2439785,643.84021845,629.9366451,634.43902425,660.71706105,629.73842715,652.052699604,630.800365659,634.3695347,623.379425413,614.449338646,654.226640812,659.131543985,648.741242214,682.062217629,693.123572111,723.026816999,737.228906582,0.0236713252962,0.222161620855
Canada,22.7488888889,24.9055555556,26.4477777778,29.4511111111,32.9133333333,36.3611111111,38.81,43.6533333333,46.4233333333,46.9266666667,48.46,48.89,51.28,51.77,52.56,52.23,50.68,53.67,51.18,56.81,59.5906,57.3495,58.044,63.8819,69.0584,66.9401,67.4027,71.4492,75.8091,78.4807,82.4609,86.5775,87.1721,83.4292,87.3618,92.6959,88.1934,90.169,97.6585,95.0714,97.8023,96.9449,96.2003,96.074,94.934,95.0451,100.8501,100.2768,103.491,0.0348808206618,0.0308378431946
Mexico,8.3617294566,8.80210821311,7.56730146598,8.10709319236,10.027706124,10.2319989809,10.5996889696,11.3406950946,12.5579068607,13.2151046145,13.4321889961,13.1980138637,13.922300776,17.5082003758,21.2681920958,23.0194102099,24.9246839273,27.1928972538,27.8934322686,28.248171502,28.7695986327,25.5695943866,25.9687854952,26.2151152299,25.4712694925,27.5290228549,29.1940187149,29.1718234557,29.7341910555,31.5504814072,31.4395507574,33.1637527467,35.6339500865,39.1824039574,38.6800314215,40.9405917274,42.585948749,46.4737252264,51.4259022271,54.3392759785,61.0227232678,66.6139972718,63.490257184,66.258467034,72.4624935246,72.4717978461,76.6197467172,79.6031735985,82.7419495727,0.0422780402005,0.0246551223099
Total North America,463.78404436,499.587891659,526.39866111,565.159509148,610.870579101,645.193932546,666.531656869,680.837529494,683.349744861,661.114044972,615.135279338,626.909949121,617.963664866,625.06655078,646.982785219,638.111734497,625.060820335,590.596071531,555.78516677,593.360467031,577.702069422,542.255100024,571.368682327,600.638154188,635.919524642,637.416404755,650.530938415,673.414265256,694.250602555,711.679293357,742.732738707,759.985231247,766.646268537,752.548249057,760.480855672,794.353552777,760.517775899,788.69542483,779.884767886,783.780210679,782.204448681,778.008235918,813.917197996,821.464011019,816.137735739,849.579115476,870.593418828,902.906790597,923.461856154,0.0265335477889,0.277654588222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,4.24,4.59222222222,4.80222222222,5.34666666667,5.32666666667,6.02,6.49888888889,7.29333333333,8.29888888889,8.78444444444,9.0,10.13,10.58,10.29,10.58,11.53,12.05,13.69,14.72,15.67,16.01,17.3,17.31,20.22,21.24,20.29,20.66,22.34,23.59,24.25,26.99,30.97,28.54,30.51,32.36,33.21,31.09,30.27,34.58,37.91,40.4,41.8,43.92,44.41,43.20606673,43.28906472,45.683404,47.319801474,48.0104490881,0.0173750333488,0.0143059659749
Brazil,0.049885325,0.058336625,0.06594575,0.069693675,0.07345145,0.0788,0.12411,0.170405,0.19503,0.375285,0.40779,0.469845,0.586075,0.771255,0.84513,0.987955,0.8865,1.26671,1.712915,1.99364,2.500915,2.91363,3.25247,3.27414,3.35688,3.05625997,3.17727313,3.599287515,4.216330915,4.604696715,5.08207992,5.599231515,6.08479416,6.37692349,7.567060575,9.42914096583,11.9375744659,14.10435487,15.7862768253,18.77421032,19.55601073,20.56909111,21.183016985,24.932760295,20.08214454,26.79429111,26.703585415,31.65217715,37.6293524819,0.192096412182,0.0112126469612
Chile,0.632,0.66,0.585,0.5,0.658,0.657,0.67,0.61,0.479,0.499,0.566,0.618,0.636,0.594,0.703,0.72,0.709,0.734,0.792,0.81,0.809,0.74,0.718,1.009,1.574,1.69,1.463,1.676,1.616,1.687,1.642,1.655,2.57923,3.661,5.001,6.456,7.318,7.38,7.984,8.666586503,8.383751218,7.758351787,4.573180465,2.65439365,3.1189042,5.28344919681,5.37257826035,5.401,4.34274832801,-0.193733334541,0.00129403511528
