Natural Gas: Consumption*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,397.372115696,428.266796008,452.206393314,484.083857094,521.076834826,549.224761342,566.209275641,571.97997857,567.292857413,547.637188047,502.681144264,512.685375981,502.252751471,503.991522222,520.774439912,509.924989214,497.623816135,462.569013401,433.957767479,463.511250752,446.120242091,418.095339905,444.515507884,464.891683531,493.954253862,493.991524035,504.822024652,521.974746122,534.959331704,547.538027715,571.303067556,581.723319075,585.202649748,575.312017721,577.302809433,600.35414688,573.858808566,592.444151137,575.331522193,577.651420369,568.637657992,560.406796046,596.29147122,600.832334037,590.071762243,619.273383835,628.843804848,657.291177927,671.01174233,0.0236713252962,0.222161620855
Canada,20.474,22.415,23.803,26.506,29.622,32.725,34.929,39.288,41.781,42.234,43.614,44.001,46.152,46.593,47.304,47.007,45.612,48.303,46.062,51.129,53.63154,51.61455,52.2396,57.49371,62.15256,60.24609,60.66243,64.30428,68.22819,70.63263,74.21481,77.91975,78.45489,75.08628,78.62562,83.42631,79.37406,81.1521,87.89265,85.56426,88.02207,87.25041,86.58027,86.4666,85.4406,85.54059,90.76509,90.24912,93.1419,0.0348808206618,0.0308378431946
Mexico,7.52555651094,7.9218973918,6.81057131938,7.29638387313,9.02493551161,9.20879908283,9.53972007261,10.2066255852,11.3021161746,11.8935941531,12.0889700965,11.8782124773,12.5300706984,15.7573803382,19.1413728862,20.7174691889,22.4322155345,24.4736075284,25.1040890418,25.4233543518,25.8926387695,23.0126349479,23.3719069456,23.5936037069,22.9241425432,24.7761205694,26.2746168434,26.2546411102,26.7607719499,28.3954332665,28.2955956817,29.8473774721,32.0705550779,35.2641635617,34.8120282794,36.8465325547,38.3273538741,41.8263527037,46.2833120044,48.9053483806,54.9204509411,59.9525975447,57.1412314656,59.6326203306,65.2162441722,65.2246180615,68.9577720455,71.6428562387,74.4677546154,0.0422780402005,0.0246551223099
Total North America,425.371672207,458.6036934,482.819964633,517.886240968,559.723770337,591.158560424,610.677995713,621.474604155,620.375973588,601.7647822,558.384114361,568.564588458,560.934822169,566.34190256,587.219812798,577.649458403,565.66803167,535.34562093,505.123856521,540.063605104,525.64442086,492.722524853,520.12701483,545.978997238,579.030956405,579.013734604,591.759071496,612.533667232,629.948293654,646.566090981,673.813473238,689.490446547,695.728094826,685.662461283,690.740457713,720.626989435,691.56022244,715.42260384,709.507484197,712.12102875,711.580178933,707.60980359,740.012972685,746.931554367,740.728606415,770.038591896,788.566666894,819.183154166,838.621396945,0.0265335477889,0.277654588222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,3.816,4.133,4.322,4.812,4.794,5.418,5.849,6.564,7.469,7.906,8.1,9.117,9.522,9.261,9.522,10.377,10.845,12.321,13.248,14.103,14.409,15.57,15.579,18.198,19.116,18.261,18.594,20.106,21.231,21.825,24.291,27.873,25.686,27.459,29.124,29.889,27.981,27.243,31.122,34.119,36.36,37.62,39.528,39.969,38.885460057,38.960158248,41.1150636,42.5878213266,43.2094041793,0.0173750333488,0.0143059659749
Brazil,0.0448967925,0.0525029625,0.059351175,0.0627243075,0.066106305,0.07092,0.111699,0.1533645,0.175527,0.3377565,0.367011,0.4228605,0.5274675,0.6941295,0.760617,0.8891595,0.79785,1.140039,1.5416235,1.794276,2.2508235,2.622267,2.927223,2.946726,3.021192,2.750633973,2.859545817,3.2393587635,3.7946978235,4.1442270435,4.573871928,5.0393083635,5.476314744,5.739231141,6.8103545175,8.48622686924,10.7438170193,12.693919383,14.2076491428,16.896789288,17.600409657,18.512181999,19.0647152865,22.4394842655,18.073930086,24.114861999,24.0332268735,28.486959435,33.8664172337,0.192096412182,0.0112126469612
Chile,0.5688,0.594,0.5265,0.45,0.5922,0.5913,0.603,0.549,0.4311,0.4491,0.5094,0.5562,0.5724,0.5346,0.6327,0.648,0.6381,0.6606,0.7128,0.729,0.7281,0.666,0.6462,0.9081,1.4166,1.521,1.3167,1.5084,1.4544,1.5183,1.4778,1.4895,2.321307,3.2949,4.5009,5.8104,6.5862,6.642,7.1856,7.7999278527,7.5453760962,6.9825166083,4.1158624185,2.388954285,2.80701378,4.75510427713,4.83532043431,4.8609,3.90847349521,-0.193733334541,0.00129403511528
