Natural Gas: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Billion cubic feet per day,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,57.573230137,59.2051643836,59.0811612022,59.5369808219,56.7480328767,52.7024082192,52.1812896175,52.5010958904,52.3887753425,53.872369863,53.0139863388,52.5514,48.822090411,44.0944136986,47.7226010929,45.079060274,43.9973424658,45.5358383562,46.7284726776,47.4264246575,48.7936273973,48.4871287671,48.7429043716,49.5766027397,51.5644520548,50.9552849315,51.5138333333,51.7872164384,52.1193150685,51.5951616438,52.4098360656,53.7424657534,51.8575342466,52.3260273973,50.7950819672,49.4547945205,50.695890411,52.7835616438,55.0781448087,56.503709589,58.3986465753,62.7448712329,65.7311721311,66.5256082192,0.0130745219067,0.206226890364
Canada,5.48683427034,5.9986549949,6.75417041776,7.25643749384,7.10593360507,7.25837254383,7.30222310309,7.69182374347,7.42285179369,7.82727724335,7.21538376914,6.99133564406,7.33867711877,6.90232334414,7.54440835664,8.17837271505,7.67063494598,8.31477438944,9.57557072874,10.2011288546,10.5079600576,11.0596041111,12.1524121777,13.4147244384,14.5202185024,15.4594627459,15.986696831,16.3110492244,16.7804826787,17.1061612687,17.578780233,18.0418256697,18.1765728763,17.8656490426,17.7259825529,18.1037762954,18.2281806598,17.678191074,17.0357738779,15.8664908378,15.4734725079,15.4529513026,15.0569273801,14.9800928098,-0.00510293804109,0.0458185433311
Mexico,1.08821270959,1.07719231402,1.11913725965,1.22018528453,1.27965741926,1.29959786474,1.27345192587,1.35306424335,1.69396215542,2.057750754,2.48046025426,2.67762489602,2.86161825714,2.88144572559,2.82694615157,2.75409750583,2.44881560192,2.48881974056,2.51490860161,2.42044552954,2.62391972505,2.66060644731,2.56903550017,2.75838549759,2.93871224061,2.90181497025,3.15502101659,3.34394029962,3.62150431672,3.636088624,3.70379662813,3.734978069,3.8437089609,4.03319798686,4.18772166251,5.05924132504,5.54686680707,5.19165245113,5.14920147825,5.74549858891,5.56983649534,5.63635079123,5.48944220489,5.48047424051,-0.00163367495406,0.016762736363
Total North America,64.1482771169,66.2810116925,66.9544688796,68.0136036003,65.133623901,61.2603786278,60.7569646464,61.5459838772,61.5055892916,63.7573978604,62.7098303622,62.2203605401,59.0223857869,53.8781827684,58.0939556011,56.0115304949,54.1167930137,56.3394324862,58.8189520079,60.0479990417,61.9255071799,62.2073393255,63.4643520495,65.7497126757,69.0233827978,69.3165626476,70.6555511809,71.4422059624,72.521302064,72.3374115366,73.6924129267,75.5192694921,73.8778160838,74.2248744267,72.7087861826,72.617812141,74.4709378778,75.6534051689,77.2631201649,78.1156990157,79.4419555785,83.8341733267,86.2775417161,86.9861752695,0.00900525506586,0.268808170058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.582450049505,0.629428763354,0.596725595956,0.651574335558,0.701240618849,0.744241729923,0.707686967105,0.732416424378,0.755637024358,0.699520574406,0.810071613914,0.845186838171,0.947206974195,1.27132784892,1.30066024616,1.34389222386,1.50063127373,1.46580037375,1.7329271529,1.83732997344,1.72606459853,1.92827732336,1.9384469099,2.08211379823,2.15467817317,2.41978002294,2.79140214551,2.64908344775,2.86290647257,3.34473392216,3.60962164755,3.59338784695,3.49373277203,3.97072259663,4.33038811927,4.41481657125,4.46029024621,4.33741457132,4.25126783724,4.00807551789,3.87968475603,3.75244764098,3.64036243888,3.43788562396,-0.0556199587882,0.0105152159889
Bolivia,0.00387009999671,0.00387009999671,0.10292069208,0.159104110976,0.166521802636,0.164156741527,0.16874705139,0.178562113737,0.175982047073,0.192429972059,0.235323874079,0.251664002564,0.261016744223,0.250588974787,0.240362699629,0.238871172019,0.243278785904,0.254459074784,0.268237053734,0.283699830315,0.28993499142,0.288214946977,0.283077568296,0.283207479442,0.305379013688,0.305133013688,0.307293415289,0.25972230136,0.272767671223,0.218295068485,0.311689890699,0.455900739709,0.474874438339,0.615737342443,0.941886010895,1.15140723283,1.24779665749,1.33652638351,1.37905163929,1.19127282187,1.37503599995,1.54925424256,1.76361424375,2.01717352029,0.143772527575,0.00616978502865
Brazil,0.00762409699352,0.0121032539772,0.0164420630006,0.018869640059,0.0363097619317,0.0395500031539,0.0454295151113,0.0567042213893,0.0746208493241,0.0817684402555,0.0953259490725,0.0857710911771,0.122557359171,0.165728808397,0.192362633024,0.241969778332,0.281805685123,0.31477990462,0.315915707594,0.324786531924,0.295700792496,0.307409118249,0.347288589412,0.407940556507,0.44551591854,0.491703937042,0.535853771168,0.584880885436,0.612675198135,0.719391970982,0.722787978589,0.740193378244,0.894250211915,0.971480436549,1.06554516737,1.05677589439,1.07905849459,1.08650982955,1.34776096385,1.15412046857,1.41203956272,1.61945807709,1.85933577301,2.06297361366,0.109521821141,0.00630987051339
Colombia,0.125563244338,0.133733455442,0.161349626646,0.160824155419,0.163189216528,0.1570615582,0.16445868922,0.19049492206,0.242526266461,0.276604646987,0.305545804613,0.328420985832,0.346266446928,0.371637102462,0.374481226496,0.38894504967,0.398620299661,0.4051779691,0.41468462184,0.383784916341,0.399372819105,0.397007757996,0.389812121254,0.410123096874,0.40195288577,0.426356016304,0.453923135695,0.573527318957,0.605993157819,0.501285452352,0.573846254695,0.597339138547,0.60281931413,0.587502680056,0.612701206321,0.647999999976,0.679999999975,0.729577691173,0.874010928968,1.01646124896,1.08969661696,1.06021229052,1.15547769025,1.22266008748,0.0581425316632,0.00373966335914
Peru,0.0399910332994,0.0477312332928,0.0457782661648,0.0449361610729,0.0462261944052,0.0570839749515,0.0617524152481,0.0614915888366,0.0642866610565,0.0594490360606,0.0636821782246,0.0733168943822,0.0769719888235,0.050741311068,0.0682921675574,0.0534288805102,0.0566539638408,0.0563314555077,0.0529612727996,0.0450436638506,0.0431086138523,0.0404210444101,0.0363438693908,0.0383784916341,0.0400985360771,0.0388085027448,0.0392385138556,0.023328102758,0.0395610221886,0.039776027744,0.0333420158718,0.0357984249696,0.0427861055192,0.0506338082903,0.0829798079896,0.146759230132,0.171756471301,0.258864386467,0.327747950441,0.336112251495,0.700299252029,1.09304828403,1.14439904178,1.17977038831,0.0309082288295,0.00360847968994
Trinidad & Tobago,0.176734566517,0.172254020824,0.177551744768,0.170987651044,0.15621410724,0.141979001683,0.159368609814,0.187843310125,0.224251441304,0.244783824792,0.266200081703,0.279937233096,0.342611352487,0.382387380231,0.397745591268,0.398405294106,0.420335860754,0.435601255186,0.488980496435,0.494942788468,0.509993177345,0.551489249532,0.530684818538,0.596962924493,0.684040174419,0.734351474376,0.826903435431,0.899798249236,0.899798249236,1.13490682404,1.49819780176,1.60221153432,1.86324599778,2.61234489866,2.91438477592,3.19742214434,3.88251259441,4.08353913523,4.04953464574,4.22055722524,4.33057175007,4.14954785013,4.12254428494,4.14454718991,0.0053372150287,0.0126766314081
Venezuela,0.745961774366,0.722956179941,0.716585318608,0.88517787147,0.935489171428,0.909903510338,1.12483739719,1.23122931284,1.24240960172,1.39151595437,1.42856064788,1.44021471267,1.53675220703,1.51320909871,1.66924497467,1.67629081246,1.84550018454,1.79830646514,1.83595505403,1.89032884284,2.12522241208,2.11909475376,2.08585935949,2.2571283203,2.38742168686,2.66080125052,2.86869987363,2.98287957247,3.12854583623,2.65198602275,2.69437795141,2.8632289809,2.74927603655,2.44048505793,2.74074586738,2.65285679525,3.04605895491,3.49557106953,3.16114473181,3.00058527995,2.65430808275,2.67056250273,2.84418116292,2.75233771566,-0.0322916992009,0.00841837941114
Other S. & Cent. America,0.0684792693863,0.0721343638276,0.0691498399914,0.0535363832879,0.0610615777259,0.0700918110516,0.10870998101,0.117715541567,0.13427096933,0.0864322332599,0.0771905190601,0.078154519378,0.0825621332632,0.0911623554781,0.0958448944996,0.0993325665823,0.0923448860327,0.0909473499227,0.121253440357,0.171789438743,0.235538585911,0.206598838158,0.227293915916,0.22778763564,0.246880128957,0.237656390631,0.239912421601,0.25062122562,0.237882146465,0.294063098084,0.324243063674,0.341407321377,0.318998354378,0.300889229344,0.303821766716,0.329399174592,0.363172695844,0.374180500599,0.356586649012,0.410602143395,0.348986362873,0.302023260168,0.28395606252,0.245893621218,-0.134043425322,0.000752097312192
Total S. & Cent. America,1.7506741344,1.79421137066,1.88650314722,2.14501030889,2.26625245074,2.28406833083,2.54099062609,2.75645743494,2.91398486063,3.03250468219,3.28190066855,3.38266627727,3.71594520612,4.09678288006,4.33899443331,4.44113577754,4.83917093958,4.82140384801,5.23091479969,5.43170598592,5.62493599075,5.83851303244,5.83880715219,6.30364230313,6.66596651748,7.31459060825,8.06322671218,8.22384110358,8.66012975386,8.90443838659,9.76810660425,10.229467365,10.4399832306,11.5497960499,12.9924527219,13.5974370428,14.9306461147,15.7021835674,15.7471053463,15.3377869574,15.7906223834,16.1965541482,16.813870698,17.0632417605,0.0148312700912,0.0521901227114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.23195264902,1.1908000019,1.09448529586,1.03910314373,0.971902942727,0.866832354324,0.753005883554,0.689824776092,0.59540000095,0.560376471482,0.577888236216,0.550094957362,0.525320402791,0.490278184156,0.525320402791,0.493930979865,0.485585029894,0.450334226614,0.448978426474,0.436206891861,0.501895933153,0.592195348003,0.948445933866,1.42649651324,1.4291964111,1.45984199939,1.43258493758,1.50557313568,1.5634678672,0.0384536162019,0.00478206785029
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224066923383,0.108577805463,0.184152258177,0.23467856369,0.231142720963,0.297245180303,0.303480341409,0.381332309485,0.396124303294,0.43576120601,0.472149045467,0.511234184884,0.619516133331,0.760461887699,0.731950044239,0.750354144067,0.786666379779,0.810990132207,0.811018498008,0.770607636777,0.909925462679,1.01078390202,1.00759763612,0.892375173653,0.973623164978,0.815383566205,0.794822560845,0.637691891343,0.555106986956,0.468721215208,-0.155620038509,0.00143364420915
Germany,1.06900762131,1.33496949331,1.59001748358,1.7917487957,1.88065359285,1.71144422077,1.79746700356,1.82819223734,1.95504551501,1.96117317333,1.78717493435,1.85216535676,1.66177793748,1.77702091516,1.86361499003,1.68585855968,1.61479922363,1.7907812707,1.61081604011,1.52223933204,1.54083731258,1.42226174879,1.43938876236,1.43677462378,1.50632892094,1.55406015424,1.67846495334,1.65479025693,1.61651926807,1.72660211242,1.62850553406,1.64844759304,1.64414748194,1.71155172355,1.57942222717,1.5291345602,1.51060452142,1.38373877342,1.25692409806,1.1782016327,1.02825460833,0.967381805478,0.872179534386,0.795328769924,-0.0881134718656,0.00243261548309
Italy,1.16298501513,1.18504480696,1.25252301207,1.35651774569,1.35404046758,1.29057177048,1.38301293189,1.21656539784,1.21511415656,1.18556706895,1.10026403107,1.23640904255,1.26951952834,1.13834164408,1.20150883269,1.24041613233,1.39001415074,1.42460360853,1.44396445955,1.48001421909,1.50823716457,1.51697003209,1.57956593745,1.68582010641,1.77870648107,1.75731453753,1.75432683603,1.70875665133,1.68585855968,1.54997504868,1.47112264242,1.35184742941,1.29691351001,1.2314443184,1.1463864171,1.07062016298,0.973760160284,0.860824072908,0.818561874152,0.710672451151,0.745512425635,0.749354456117,0.761047910728,0.686006927648,-0.0986021831632,0.00209824054757
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.478071177233,0.507841177281,0.551620589115,0.619969102564,0.586644118583,0.62166764805,0.691714706986,0.707288694474,0.586644118583,0.394014706511,0.516597059647,0.378498035363,0.553196998176,0.442374670647,0.59643687254,0.74409058432,0.830291167765,0.822510340459,1.07630195495,1.18682257056,1.2277936049,1.26092586378,1.46023601409,1.63359238938,1.5876516143,1.54060625834,1.69032309093,1.77332120035,1.78789864403,0.00822041928768,0.00546851828845
Netherlands,2.58134689962,3.56727123491,4.74239359023,5.78194399994,6.85490468233,7.42498869256,7.91244494852,7.96029067052,7.28691702707,7.64229512782,7.36928543929,6.86156852964,5.86589222268,6.24751938049,6.30752287135,6.62248269099,6.05337387793,6.0660514411,5.33952866393,5.85272706094,5.9050626422,6.67181141433,6.69742743699,6.85051629508,6.4710833309,6.55901360874,7.40340512795,6.56941571185,6.26604812665,5.82696560245,5.60665097703,6.0399649169,5.83379198262,5.61664808022,6.60503683112,6.05117968431,5.95682935846,5.85800937892,6.42884568468,6.06726953888,6.82183027217,6.21116889327,6.16091011096,6.64510338809,0.0785911902785,0.020324904618
