Natural Gas: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Billion cubic metres,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,595.056770459,611.923872062,612.315210929,615.353410716,586.527820189,544.713658686,540.805168831,542.632964865,541.472058966,556.805973043,549.435210255,543.152890548,504.608050962,455.744437968,494.595467653,465.92140059,454.741143656,470.64249909,484.292353464,490.182937868,504.313867207,501.146004564,505.169857266,512.406426501,532.952141771,526.656003441,533.887673862,535.254556528,538.687011817,533.269545343,543.1738167,555.4633296,535.9813368,540.82351815,526.43855835,511.14745935,523.9749924,545.5524321,570.828080727,584.00258014,603.587986076,648.509044044,681.235705412,687.585419222,0.0130745219067,0.206226890364
Canada,56.71,62.0,70.0,75.0,73.4444444444,75.02,75.68,79.5,76.72,80.9,74.78,72.26,75.85,71.34,78.19,84.5288,79.281,85.9386,99.2409,105.4353,108.6066,114.3082,125.9472,138.6499,150.0759,159.7836,165.6856,168.5853,173.4372,176.8033,182.1859,186.474,187.8667,184.6531,183.7115,187.1143,188.4001,182.7156,176.5582,163.9905,159.9284,159.7163,156.0495,154.829,-0.00510293804109,0.0458185433311
Mexico,11.2473859644,11.1334830101,11.5987017399,12.6114083416,13.2260915257,13.4321889961,13.1980138637,13.9847987856,17.5082003758,21.2681920958,25.7074084689,27.6749944269,29.5766854559,29.7816152352,29.2983769094,28.4653885757,25.3101015891,25.7235703746,26.0644300075,25.0168784434,27.1199165632,27.4990976933,26.6253994034,28.5097077588,30.3735019055,29.9921446238,32.698534017,34.561797395,37.4306019978,37.581340297,38.3860264004,38.603427014,39.7272314841,41.6857237827,43.4014095358,52.2905488679,57.3304753033,53.6591039563,53.3661547138,59.383463929,57.5678819677,58.2553504665,56.8923984109,56.6442649561,-0.00163367495406,0.016762736363
Total North America,663.014156423,685.057355072,693.913912669,702.964819058,673.198356159,633.165847682,629.683182695,636.117763651,635.700259341,658.974165139,649.922618724,643.087884975,610.034736417,556.866053203,602.083844563,578.915589166,559.332245245,582.304669464,609.597683471,620.635116312,640.04038377,642.953302257,657.742456669,679.56603426,713.401543677,716.431748065,732.271807879,738.401653923,749.554813815,747.65418564,763.7457431,780.540756614,763.575268284,767.162341933,753.551467886,750.552308218,769.705567703,781.927136056,800.752435441,807.376544069,821.084268044,866.480694511,894.177603823,899.058684178,0.00900525506586,0.268808170058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,6.02,6.50555555556,6.18444444444,6.73444444444,7.24777777778,7.69222222222,7.33444444444,7.57,7.81,7.23,8.39555555556,8.73555555556,9.79,13.14,13.48,13.89,15.51,15.15,17.96,18.99,17.84,19.93,20.09,21.52,22.27,25.01,28.93,27.38,29.59,34.57,37.41,37.14,36.11,41.04,44.88,45.63,46.1,44.83,44.06,41.42606673,40.09906472,38.7839864,37.72859655,35.53278341,-0.0556199587882,0.0105152159889
Bolivia,0.04,0.04,1.06666666667,1.64444444444,1.72111111111,1.69666666667,1.74888888889,1.84555555556,1.81888888889,1.98888888889,2.43888888889,2.60111111111,2.69777777778,2.59,2.49111111111,2.46888888889,2.51444444444,2.63,2.78,2.93222222222,2.99666666667,2.97888888889,2.93380660467,2.9271334558,3.15629067928,3.15374810932,3.18477884622,2.68439886908,2.81923124937,2.25622147925,3.23034377272,4.71203059452,4.90813610751,6.36404581759,9.76167562922,11.9005424543,12.8967898354,13.8138692504,14.2924458194,12.3125792397,14.2118911772,16.01255,18.27804,20.8488,0.143772527575,0.00616978502865
Brazil,0.0788,0.125095,0.170405,0.19503,0.375285,0.408775,0.47083,0.586075,0.771255,0.84513,0.987955,0.8865,1.26671,1.712915,1.99364,2.500915,2.912645,3.253455,3.27414,3.35688,3.05625997,3.17727313,3.599287515,4.216330915,4.604696715,5.08207992,5.553570855,6.04512427,6.332396565,7.435383805,7.49095083064,7.65037987517,9.24265742668,10.0408820173,11.0432750586,10.9224660375,11.1527711997,11.2297855919,13.9681502885,11.9285855099,14.59434706,16.73815228,19.27009478,21.3221737465,0.109521821141,0.00630987051339
Colombia,1.29777777778,1.38222222222,1.67222222222,1.66222222222,1.68666666667,1.62333333333,1.70444444444,1.96888888889,2.50666666667,2.85888888889,3.16666666667,3.39444444444,3.57888888889,3.84111111111,3.88111111111,4.02,4.12,4.18777777778,4.29777777778,3.96666666667,4.12777777778,4.10333333333,4.04,4.23888888889,4.15444444444,4.40666666667,4.70444444444,5.92777777778,6.26333333333,5.18111111111,5.94732370433,6.17388841688,6.23052959502,6.07222222222,6.35001514468,6.697501362,7.02824217,7.54065984645,9.0582205132,10.5057879623,11.2627231119,10.957983426,11.9753327669,12.6369870392,0.0581425316632,0.00373966335914
Peru,0.413333333333,0.493333333333,0.474444444444,0.464444444444,0.477777777778,0.59,0.64,0.635555555556,0.664444444444,0.614444444444,0.66,0.757777777778,0.795555555556,0.524444444444,0.707777777778,0.552222222222,0.585555555556,0.582222222222,0.548888888889,0.465555555556,0.445555555556,0.417777777778,0.376666666667,0.396666666667,0.414444444444,0.401111111111,0.406666666667,0.241111111111,0.408888888889,0.411111111111,0.345555555556,0.37,0.442222222222,0.523333333333,0.86,1.51685207366,1.7752148156,2.6755317608,3.39676897559,3.47393867631,7.23804813957,11.2973647705,11.8605140187,12.1936941093,0.0309082288295,0.00360847968994
Trinidad & Tobago,1.82666666667,1.78035731346,1.84014044139,1.76726855833,1.61457437661,1.46744530429,1.65169102895,1.94148275533,2.31778446546,2.53,2.75888888889,2.89333333333,3.54111111111,3.95222222222,4.12222222222,4.11777777778,4.34444444444,4.50222222222,5.06777777778,5.11555555556,5.27111111111,5.7,5.5,6.17,7.07,7.59,8.57,9.3,9.3,11.73,15.5272727273,16.5598980459,19.2578589635,27.0002832059,30.2045879354,33.0474369867,40.1282922685,42.2060322855,41.9692438403,43.6222033418,44.7592749929,42.8882752761,42.725913339,42.8365902011,0.0053372150287,0.0126766314081
Venezuela,7.71,7.47222222222,7.42666666667,9.14888888889,9.66888888889,9.40444444444,11.6577777778,12.7255555556,12.8411111111,14.3822222222,14.8055555556,14.8855555556,15.8833333333,15.64,17.3,17.3255555556,19.0744444444,18.5866666667,19.0277777778,19.5377777778,21.9655555556,21.9022222222,21.6177777778,23.3288888889,24.6755555556,27.5011111111,29.7311111111,30.83,32.3355555556,27.41,27.9244444444,29.5933333333,28.4155555556,25.224,28.405,27.419,31.483,36.129,32.762,31.013,27.434,27.602,29.477,28.4472,-0.0322916992009,0.00841837941114
Other S. & Cent. America,0.707777777778,0.745555555556,0.716666666667,0.553333333333,0.631111111111,0.724444444444,1.12666666667,1.21666666667,1.38777777778,0.893333333333,0.8,0.807777777778,0.853333333333,0.942222222222,0.993333333333,1.02666666667,0.954444444444,0.94,1.25666666667,1.77555555556,2.43444444444,2.13533333333,2.35566666667,2.35433333333,2.55166666667,2.45633333333,2.48644444444,2.59033333333,2.45866666667,3.03933333333,3.36044444444,3.52866666667,3.2970554213,3.10988583861,3.14879879462,3.40455466135,3.75362596473,3.8673987847,3.69565229879,4.24384014618,3.60700098881,3.12160678458,2.94291128991,2.54147046771,-0.134043425322,0.000752097312192
Total S. & Cent. America,18.0943555556,18.5443412024,19.5516565525,22.1700763361,23.4231927099,23.6073314154,26.3347432512,28.4897799775,30.1179283544,31.3429077778,34.0135105556,34.9620555556,38.40671,42.342915,44.9691955556,45.9020261111,50.0159783333,49.8323438889,54.2130288889,56.1402133333,58.1373710811,60.3448286856,60.5132052308,65.1522421486,68.8970985054,75.6010502515,83.5670163679,84.9987453613,89.5080722588,92.0331608398,101.236335479,105.728196932,107.904015292,119.374652435,134.653352563,140.538353575,154.317936254,162.29227752,163.202481736,158.526001606,163.20635019,167.401918937,174.258402745,176.359698974,0.0148312700912,0.0521901227114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.7330317053,12.3076923378,11.3122172222,10.7692307956,10.0452488933,8.95927604,7.78280544889,7.14932128444,6.15384616889,5.79185521778,5.97285069333,5.70116604018,5.42952795264,5.06734383682,5.42952795264,5.11908442518,5.0188370358,4.65449706206,4.640483986,4.52083387621,5.18742082716,6.12072399686,9.80280545383,14.7841629321,14.7716742443,15.0884163265,14.8066968688,15.6037104454,16.1594570531,0.0384536162019,0.00478206785029
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232222222222,1.12222222222,1.90333333333,2.42555555556,2.39555555556,3.07222222222,3.13666666667,3.94131738,4.105419247,4.503875418,4.8799674,5.283937731,6.420644824,7.8598681,7.565179658,7.755397997,8.152984479,8.382110363,8.382403542,7.964731014,9.430437559,10.44710889,10.41417676,9.223277687,10.09059845,8.4275193602,8.215008,6.59096035642,5.75311055,4.84453854532,-0.155620038509,0.00143364420915
Germany,11.0488888889,13.7977777778,16.4788888889,18.5188888889,19.4377777778,17.6888888889,18.6288888889,18.8955555556,20.2066666667,20.27,18.5222222222,19.1433333333,17.1755555556,18.3666666667,19.3144444444,17.4244444444,16.69,18.5088888889,16.6944444444,15.7333333333,15.9255555556,14.7,14.9177777778,14.85,15.5688888889,16.0622222222,17.3955555556,17.1033333333,16.7077777778,17.8455555556,16.8777777778,17.0377777778,16.9933333333,17.69,16.36908,15.8046,15.61308,14.30184,13.02672,12.17748,10.62768,9.99852,9.03924,8.22024,-0.0881134718656,0.00243261548309
Italy,12.0202063629,12.2482086558,12.9811072896,14.0204929779,13.9948886978,13.3388984427,14.3335005255,12.5739944588,12.5589949365,12.253606573,11.4031002197,12.7790914302,13.1213098309,11.7655010987,12.4523980128,12.8205073087,14.3667001051,14.7242046432,14.9652001529,15.2969093341,15.5886118276,15.678871692,16.3705694086,17.4240470049,18.3840880864,18.1629884399,18.1817856119,17.6611111111,17.4244444444,16.02,15.2466666667,13.9722222222,13.4044444444,12.7277777778,11.8811111111,11.0655555556,10.0644444444,8.89717654468,8.48354833333,7.34526189768,7.70535568867,7.74506557198,7.8874755086,7.0903276735,-0.0986021831632,0.00209824054757
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.94117648267,5.24886879111,5.70135748,6.42533938222,6.06334843111,6.42533938222,7.14932128444,7.33031676,6.06334843111,4.0723982,5.33936652889,3.92274118606,5.71765069271,4.57222987543,6.164562911,7.71173033559,8.581599116,8.5011792063,11.1242805702,12.3001900753,12.6900452799,13.0324887196,15.0924887247,16.9304977789,16.4094118048,15.9231674597,17.470588278,18.3786425789,18.4790950678,0.00822041928768,0.00546851828845
