Natural Gas: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,545.974016023,561.446555756,559.632186276,559.102995177,534.483009317,494.919674822,490.887742644,493.029706614,491.013740525,505.906690007,501.67316122,496.406449813,461.631034779,418.136566412,453.793966609,427.888802367,416.826188454,431.81993624,443.487339979,449.736834855,461.807431812,459.363072929,463.042211042,468.308922449,487.561398598,480.858311352,487.460600293,488.720579099,494.239286267,487.385001565,495.474065497,508.174651857,489.854560024,494.750938461,480.663115436,467.603712311,479.33892811,498.604079646,521.706824228,532.705179222,549.495984379,589.814222575,620.791355901,627.189578674,0.0130745219067,0.206226890364
Canada,51.039,55.8,63.0,67.5,66.1,67.518,68.112,71.55,69.048,72.81,67.302,65.034,68.265,64.206,70.371,76.07592,71.3529,77.34474,89.31681,94.89177,97.74594,102.87738,113.35248,124.78491,135.06831,143.80524,149.11704,151.72677,156.09348,159.12297,163.96731,167.8266,169.08003,166.18779,165.34035,168.40287,169.56009,164.44404,158.90238,147.59145,143.93556,143.74467,140.44455,139.3461,-0.00510293804109,0.0458185433311
Mexico,10.1226473679,10.0201347091,10.4388315659,11.3502675074,11.9034823732,12.0889700965,11.8782124773,12.586318907,15.7573803382,19.1413728862,23.1366676221,24.9074949842,26.6190169103,26.8034537117,26.3685392185,25.6188497182,22.7790914302,23.1512133372,23.4579870068,22.515190599,24.4079249069,24.749187924,23.9628594631,25.6587369829,27.3361517149,26.9929301615,29.4286806153,31.1056176555,33.687541798,33.8232062673,34.5474237604,34.7430843126,35.7545083357,37.5171514044,39.0612685822,47.0614939811,51.597427773,48.2931935607,48.0295392424,53.4451175361,51.8110937709,52.4298154199,51.2031585698,50.9798384605,-0.00163367495406,0.016762736363
Total North America,607.135663391,627.266690465,633.071017841,637.953262685,612.48649169,574.526644919,570.877955122,577.166025521,575.819120863,597.858062893,592.111828842,586.347944797,556.51505169,509.146020123,550.533505827,529.583572085,510.958179884,532.315889577,556.262136986,567.143795454,583.961296719,586.989640853,600.357550505,618.752569432,649.965860313,651.656481514,666.006320909,671.552966754,684.020308065,680.331177832,693.988799257,710.744336169,694.68909836,698.455879865,685.064734018,683.068076292,700.496445883,711.341313207,728.638743471,733.741746758,745.24263815,785.988707995,812.43906447,817.515517135,0.00900525506586,0.268808170058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,5.418,5.855,5.566,6.061,6.523,6.923,6.601,6.813,7.029,6.507,7.556,7.862,8.811,11.826,12.132,12.501,13.959,13.635,16.164,17.091,16.056,17.937,18.081,19.368,20.043,22.509,26.037,24.642,26.631,31.113,33.669,33.426,32.499,36.936,40.392,41.067,41.49,40.347,39.654,37.283460057,36.089158248,34.90558776,33.955736895,31.979505069,-0.0556199587882,0.0105152159889
Bolivia,0.036,0.036,0.96,1.48,1.549,1.527,1.574,1.661,1.637,1.79,2.195,2.341,2.428,2.331,2.242,2.222,2.263,2.367,2.502,2.639,2.697,2.681,2.6404259442,2.63442011022,2.84066161135,2.83837329839,2.8663009616,2.41595898218,2.53730812443,2.03059933132,2.90730939545,4.24082753507,4.41732249676,5.72764123583,8.7855080663,10.7104882089,11.6071108519,12.4324823254,12.8632012374,11.0813213157,12.7907020594,14.411295,16.450236,18.76392,0.143772527575,0.00616978502865
Brazil,0.07092,0.1125855,0.1533645,0.175527,0.3377565,0.3678975,0.423747,0.5274675,0.6941295,0.760617,0.8891595,0.79785,1.140039,1.5416235,1.794276,2.2508235,2.6213805,2.9281095,2.946726,3.021192,2.750633973,2.859545817,3.2393587635,3.7946978235,4.1442270435,4.573871928,4.9982137695,5.440611843,5.6991569085,6.6918454245,6.74185574758,6.88534188765,8.31839168401,9.03679381552,9.93894755274,9.83021943372,10.0374940798,10.1068070327,12.5713352596,10.7357269589,13.134912354,15.064337052,17.343085302,19.1899563718,0.109521821141,0.00630987051339
Colombia,1.168,1.244,1.505,1.496,1.518,1.461,1.534,1.772,2.256,2.573,2.85,3.055,3.221,3.457,3.493,3.618,3.708,3.769,3.868,3.57,3.715,3.693,3.636,3.815,3.739,3.966,4.234,5.335,5.637,4.663,5.3525913339,5.55649957519,5.60747663551,5.465,5.71501363021,6.0277512258,6.325417953,6.7865938618,8.15239846188,9.45520916611,10.1364508007,9.86218508339,10.7777994902,11.3732883353,0.0581425316632,0.00373966335914
Peru,0.372,0.444,0.427,0.418,0.43,0.531,0.576,0.572,0.598,0.553,0.594,0.682,0.716,0.472,0.637,0.497,0.527,0.524,0.494,0.419,0.401,0.376,0.339,0.357,0.373,0.361,0.366,0.217,0.368,0.37,0.311,0.333,0.398,0.471,0.774,1.36516686629,1.59769333404,2.40797858472,3.05709207803,3.12654480868,6.51424332562,10.1676282934,10.6744626168,10.9743246984,0.0309082288295,0.00360847968994
