"Renewables: Consumption - Geothermal, Biomass and Other *",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,0.0780648956872,0.0866633479658,0.107254378422,0.142327012717,0.18079377291,0.18486672399,0.190976150609,0.415893560212,0.533320992919,0.63185120607,0.807240524529,0.912808393066,0.956351356078,0.780363203293,1.03182382005,1.30107415088,1.43386330347,1.2216744203,1.52641991425,2.02663534278,2.50824274407,2.69019883709,2.87249975872,2.8033166024,11.5403119619,13.7046656012,14.5318872126,15.6107044038,16.1153997566,16.0286334439,15.397166286,15.777201723,16.0444425511,16.0376921659,16.2390104039,16.2924374111,15.121976072,16.2441815155,16.1406332843,16.279520678,16.427225177,16.5368125704,16.7147698068,16.6427900429,16.5541385708,16.984582332,17.1461470121,17.4314188875,18.1998208854,0.0469419360161,0.167123183608
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159976467394,0.2418880391,0.256143367878,0.30433995565,0.294157577952,0.42947006381,0.484002353261,0.471783500023,0.528804815133,0.379463275558,0.422002986831,0.523147938634,0.562293524008,0.786758383491,0.951236533657,0.958310606584,1.07429443864,1.15980259287,1.37797938753,1.35582825008,1.40300064548,1.65071229007,1.75313152774,1.98464664172,1.96654463692,2.05848376655,2.16280847841,2.16517841193,2.10779982041,2.19402252747,2.0835050245,2.02063628547,1.70421276525,1.85020424301,2.08022522705,1.52583108448,1.52607712883,1.52190751919,-,0.0139751946554
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036430284654,0.104765352763,0.117210481061,0.131013259719,0.133954835498,0.135312485858,0.230574286102,0.207041679866,0.218129157804,0.293252477712,0.30615015613,0.322215685387,0.371317373399,0.767977553514,0.999683214916,1.04833235281,1.05783590533,1.15943340725,1.56763361542,1.79051454949,1.85907589266,1.79411113202,1.91597811563,1.68348644612,1.57894736842,1.67756756692,1.63687378377,1.7135810291,1.82739738426,1.78191609721,1.97673892384,2.05729284518,2.347151197,2.04032221569,2.21002851066,2.15549622121,2.14010951713,2.10594198307,2.05294941239,1.96303401293,2.17335651892,0.110174812376,0.0199572443962
Total North America,0.0780648956872,0.0866633479658,0.107254378422,0.142327012717,0.18079377291,0.18486672399,0.190976150609,0.415893560212,0.569751277573,0.736616558833,0.92445100559,1.20379812018,1.33219423068,1.17181905703,1.5667380618,1.8022734087,2.08146252509,1.99892925127,2.30435357041,2.8776558433,3.25902339303,3.88017937743,4.39533091227,4.41394247921,13.3849062507,15.8153355421,17.0578314346,18.4755133919,19.1342782421,19.2007239635,18.6689726517,18.8636888146,19.2741022096,19.4683912605,19.8605308294,19.9725630772,19.0078572228,20.1889060911,20.2825506201,20.4446133436,20.9683989015,20.6606398106,20.9454346029,20.5024990294,20.544452331,21.1707495421,20.724927509,20.9205300293,21.8950849235,0.0494510158896,0.201055631042
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0128976784179,0.0167443544372,0.0128976784179,0.0131239534778,0.0140290537177,0.0128976784179,0.0138027786577,0.0138027786577,0.0210435805766,0.0217224057564,0.0190071050369,0.024663981536,0.0339412589944,0.0214961306965,0.0262479069557,0.024211431416,0.024437706476,0.0273792822555,0.0269267321356,0.0242947959118,0.0226275059963,0.0231038745436,0.0242947959118,0.0271530071955,0.0264384543746,0.0833644957758,0.10718292314,0.111946608613,0.128619507768,0.161965306079,0.14767424966,0.207220318071,0.238184273645,0.285821128374,0.309639555739,0.666915966206,0.657388595261,0.662152280734,0.662152280734,0.524005402019,0.524005402019,0.547823829384,0.546327042965,-,0.00501674832776
Brazil,0.0,0.0,0.0,0.0,0.0,0.18080022175,0.207705174911,0.229704753586,0.230452634973,0.240431687559,0.256078783319,0.263864942074,0.306576110558,0.363506601575,0.500408743268,0.558032824139,0.627185788795,0.72558186066,0.908039994117,0.974983230303,0.916302297823,0.971949421867,1.12158533964,1.09179433294,1.00770769788,1.18296601349,1.25967325881,1.37959904059,1.40788342309,1.50744444947,1.53595510703,1.79685025117,2.00502330633,2.06860659818,2.31162601258,2.46549305336,2.7777526361,3.10811422365,3.49798615197,3.69914468027,4.13495044576,4.22840204553,4.9045119247,5.28103362447,5.53174639091,6.83418563606,8.3909580486,8.93469701769,11.7848653663,0.322613686323,0.108216688037
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0149341539575,0.0128976784179,0.0115400280581,0.0104086527583,0.0115400280581,0.0165180793773,0.018102004797,0.0205910304566,0.0212698556365,0.0237588812961,0.0248902565959,0.0309996832149,0.0470652124723,0.0454812870525,0.0441236366928,0.0633570167896,0.0613205412499,0.0739919446079,0.0726342942481,0.22937145552,0.246044354675,0.415155188964,0.416822478879,0.42539711273,0.447548250179,0.413964267595,0.415155188964,0.276531941702,0.240566116382,0.2241314015,0.492565077898,0.463030227966,0.430398982477,0.483752259773,0.426349849825,0.340841695586,0.642144801747,0.734322115648,1.01799958556,0.535200062881,0.811255636035,1.0713073925,1.27174968292,0.190352961421,0.0116780744866
