"Renewables: Consumption - Geothermal, Biomass and Other *",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Terawatt-hours,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,0.345,0.383,0.474,0.629,0.799,0.817,0.844,1.838,2.35695879611,2.79240322011,3.56751877411,4.03406541232,4.22649918305,3.44873714063,4.56004219032,5.74996710242,6.33681548337,5.39906793305,6.74586016905,8.95651223389,11.0849279832,11.8890647406,12.6947254337,12.3889773926,51.0012546842,60.5663991579,64.2222223474,68.9899470421,71.2203976842,70.8369426421,68.0462366842,69.7257652947,70.9068094105,70.8769767579,71.7666825789,72.0027978947,66.8300610526,71.7895357895,71.3319147368,71.9457136842,72.5984789474,73.0827894737,73.8692536842,73.5511463158,73.15936,75.0616631579,75.7756821053,77.0364126316,80.4322884211,0.0469419360161,0.167123183608
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,1.069,1.132,1.345,1.3,1.898,2.139,2.085,2.337,1.677,1.865,2.312,2.485,3.477,4.20389473684,4.23515789474,4.74773684211,5.12563157895,6.08984210526,5.99194736842,6.20042105263,7.29515789474,7.74778947368,8.77094736842,8.69094736842,9.09726315789,9.55831578947,9.56878947368,9.31521052632,9.69626315789,9.20784210526,8.93,7.53159789474,8.17679263158,9.19334736842,6.74325789474,6.74434526316,6.72591809031,-,0.0139751946554
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.463,0.518,0.579,0.592,0.598,1.019,0.915,0.964,1.296,1.353,1.424,1.641,3.394,4.418,4.633,4.675,5.124,6.928,7.913,8.216,7.92889473684,8.46747368421,7.44,6.978,7.41384210526,7.234,7.573,8.076,7.875,8.736,9.092,10.373,9.017,9.767,9.526,9.458,9.307,9.0728046331,8.67543251676,9.60493179969,0.110174812376,0.0199572443962
Total North America,0.345,0.383,0.474,0.629,0.799,0.817,0.844,1.838,2.51795879611,3.25540322011,4.08551877411,5.32006541232,5.88749918305,5.17873714063,6.92404219032,7.96496710242,9.19881548337,8.83406793305,10.1838601691,12.7175122339,14.4029279832,17.1480647406,19.4247254337,19.5069773926,59.1532546842,69.8942938947,75.3853802421,81.6506838842,84.5620292632,84.8556794842,82.5056577368,83.3661863474,85.1799673053,86.0386083368,87.7716299474,88.2667452632,84.0033242105,89.2228515789,89.6367042105,90.3529242105,92.6677421053,91.3076315789,92.5662536842,90.6087442105,90.7941526316,93.5620105263,91.5917446331,92.4561904115,96.7631383111,0.0494510158896,0.201055631042
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.074,0.057,0.058,0.062,0.057,0.061,0.061,0.093,0.096,0.084,0.109,0.15,0.095,0.116,0.107,0.108,0.121,0.119,0.107368421053,0.1,0.102105263158,0.107368421053,0.12,0.116842105263,0.368421052632,0.473684210526,0.494736842105,0.568421052632,0.715789473684,0.652631578947,0.915789473684,1.05263157895,1.26315789474,1.36842105263,2.94736842105,2.90526315789,2.92631578947,2.92631578947,2.31578947368,2.31578947368,2.42105263158,2.41443773368,-,0.00501674832776
Brazil,0.0,0.0,0.0,0.0,0.0,0.7990285,0.91793225,1.015157188,1.018462375,1.0625638,1.131714575,1.166124725,1.354882463,1.606481075,2.2115064,2.466170263,2.771784875,3.206636475,4.01299195,4.308840888,4.049506375,4.295433275,4.95673425,4.825075875,4.4534634,5.228,5.567,6.097,6.222,6.662,6.788,7.941,8.861,9.142,10.216,10.896,12.276,13.736,15.459,16.348,18.274,18.687,21.675,23.339,24.447,30.203,37.083,39.486,52.082034,0.322613686323,0.108216688037
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.057,0.051,0.046,0.051,0.073,0.08,0.091,0.094,0.105,0.11,0.137,0.208,0.201,0.195,0.28,0.271,0.327,0.321,1.01368421053,1.08736842105,1.83473684211,1.84210526316,1.88,1.97789473684,1.82947368421,1.83473684211,1.22210526316,1.06315789474,0.990526315789,2.17684210526,2.04631578947,1.90210526316,2.13789473684,1.88421052632,1.50631578947,2.83789473684,3.24526315789,4.49894736842,2.36526315789,3.58526315789,4.73453589041,5.62037054869,0.190352961421,0.0116780744866
