Renewable energy - geothemal ,,,,,,,,,,,,,,,,,,,,,
Cumulative installed geothermal power capacity*,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,2013 over,share
Megawatts,1975.0,1980.0,1985.0,1990.0,1995.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,
Austria,,,,0.0,0.0,0.0,0.433333333333,0.866666666667,1.3,1.2,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.4,1.4,0.0,0.000119566135488
Australia,,,,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.2,0.2,1.1,1.1,1.1,1.1,2.1,0.909090909091,0.000179349203233
China,,,,30.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,24.0,24.0,24.0,24.0,24.0,27.0,0.125,0.00230591832728
Costa Rica,,,,0.0,55.0,142.5,149.166666667,155.833333333,162.5,162.5,162.5,162.5,162.5,162.5,166.0,166.0,208.0,208.0,208.0,0.0,0.0177641115583
El Salvador,,,,95.0,105.0,161.0,161.0,161.0,161.0,151.0,151.0,195.0,195.0,204.4,204.4,204.4,204.4,204.4,204.4,0.0,0.0174566557813
Ethiopia,,,,0.0,0.0,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,0.0,0.00062345199219
France (Guadeloupe),,,,4.2,4.2,4.2,4.2,4.2,4.2,14.7,14.7,14.7,14.7,16.0,16.0,16.0,16.0,16.0,17.0,0.0625,0.00145187450236
Germany,,,,0.0,0.0,0.0,0.0766666666667,0.153333333333,0.23,0.2,0.2,0.2,3.2,3.2,7.5,7.5,7.5,12.1,17.3,0.429752066116,0.00147749581711
Guatemala,,,,0.0,0.0,28.0,29.6666666667,31.3333333333,33.0,33.0,33.0,33.0,52.0,52.0,52.0,52.0,52.0,52.0,48.0,-0.0769230769231,0.0040994103596
Iceland,,,,44.6,50.0,172.1,182.1,192.1,202.1,202.1,202.1,312.1,485.1,575.5,575.5,575.0,665.0,665.0,665.0,0.0,0.056793914357
Indonesia,,,,144.8,309.8,589.5,662.0,734.5,807.0,807.0,850.0,850.0,980.0,1052.0,1189.0,1193.0,1209.0,1339.0,1339.0,0.0,0.114356468156
Italy,,,,545.0,631.7,785.0,786.833333333,788.666666667,790.5,790.5,790.5,810.5,810.5,810.5,842.5,882.5,882.5,874.5,875.5,0.00114351057747,0.0747715368715
Japan,,,,214.6,413.7,535.2,535.2,535.2,535.2,535.2,534.2,534.2,532.0,532.0,500.0,502.0,502.0,502.0,503.0,0.00199203187251,0.0429584043933
Kenya,,,,45.0,45.0,45.0,57.0,57.0,57.0,167.0,167.0,167.0,170.0,174.0,174.0,209.0,211.5,216.5,252.5,0.166281755196,0.0215646065792
Mexico,,,,743.0,743.0,843.0,843.0,842.9,959.5,959.5,959.5,959.5,959.5,964.5,964.5,964.5,886.6,811.6,823.4,0.014539181863,0.0703219685437
New Zealand,,,,292.0,292.0,436.0,436.0,436.0,436.0,436.0,436.0,489.0,506.0,629.3,629.3,769.3,769.3,769.3,855.1,0.111529962303,0.0730292874687
Nicaragua,,,,35.0,70.0,70.0,72.5,75.0,77.5,77.5,77.5,77.5,87.5,87.5,87.5,87.5,87.5,159.5,159.5,0.0,0.0136219990074
Papua New Guinea,,,,0.0,0.0,0.0,1.83333333333,3.66666666667,5.5,5.5,5.5,36.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,0.00478264541954
Philippines,,,,888.0,1154.0,1931.0,1931.16666667,1931.33333333,1931.5,1931.5,1978.0,1978.0,1958.0,1958.0,1953.0,1966.0,1783.0,1848.0,1868.0,0.0108225108225,0.159535386495
Portugal (The Azores),,,,3.0,5.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,0.00247672709226
Russia (Kamchatka),,,,11.0,11.0,23.0,39.6666666667,56.3333333333,73.0,79.0,79.0,79.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,0.0,0.00700315936432
Thailand,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,2.56213147475e-05
Turkey,,,,20.6,20.4,20.4,20.4,20.4,20.4,20.4,20.4,27.8,27.8,34.6,81.6,94.2,114.201,114.201,226.201,0.980726963862,0.019318556724
US,,,,2774.6,2816.7,2746.05,2758.7,2771.35,2784.0,2784.0,2811.0,2858.0,2955.0,3081.0,3207.0,3226.0,3236.0,3368.1,3442.0,0.0219411537662,0.293961884537
Total World,1300.0,3887.0,4764.0,5891.65,6754.75,8583.5,8722.49333333,8849.38666667,9092.98,9209.35,9324.85,9636.75,10102.6,10537.0,10850.9,11116.0,11035.601,11361.301,11709.001,0.0306038894665,1.0
,,,,,,,,,,,,,,,,,,,,,"Sources: International Geothermal Association, industry news reports and national sources."
 * End of year.,,,,,,,,,,,,,,,,,,,,,
