Hydroelectricity: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Terawatt-hours,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,198.973737374,199.937373737,227.221212121,228.154545455,256.028282828,253.491919192,272.253535354,278.716161616,278.213131313,307.284848485,306.215151515,289.822222222,225.857575758,286.328282828,285.935353535,282.002020202,266.51010101,315.529292929,338.677777778,327.586868687,287.182828283,296.974747475,255.41010101,228.384848485,274.724242424,295.824242424,291.913131313,255.644444444,283.327272727,262.753535354,313.972727273,350.668686869,360.053535354,326.602020202,322.763636364,278.356565657,219.152525253,266.998989899,278.591919192,271.128282828,273.051515152,292.167676768,250.01010101,257.405439394,276.207165657,262.831382828,322.580711111,279.030528283,271.85499596,-0.0230466686189,0.0718807280064
Canada,117.1229388,128.8210906,133.1255862,136.3208124,148.226676,155.3242324,157.0301208,171.3312992,178.831021,197.9360872,195.0369608,202.8327824,198.563642,217.0013788,212.6217534,222.5123706,225.057945,257.9073452,266.069977,286.2489574,303.7762978,310.7545304,316.3494908,307.612337,290.547744444,295.794323232,307.386991919,315.285654545,322.32489798,327.966580808,334.170734343,354.703074747,348.790621212,330.980925253,345.111782828,356.871077778,331.632029293,349.385639394,336.250364646,338.509360606,362.800140404,354.630136364,369.495526263,376.409165657,366.549235354,350.927119192,376.543869697,380.161906061,391.557736364,0.0327981077135,0.103531129658
Mexico,8.860897,10.16462,11.070597,12.6439034,13.5498804,15.003863,14.4558574,15.4192866,16.2722308,16.7804618,15.1762196,17.2489182,19.202293,16.2103592,18.0134744,16.9218826,24.6204774,22.9013308,20.749083,23.6084348,26.2468166,20.0287208,18.34051,20.9788918,24.3995074,23.5509826,21.9467404,26.3086882,26.4589478,20.2717878,27.5284426,31.4484504,26.4368508,24.6204774,32.71232,33.07488,28.43533,24.86159,19.75319,25.07638,27.61139,30.30485,27.04215,38.89203,26.44496,36.738462233,35.795896242,31.248471434,27.444133132,-0.119338601828,0.00725645758212
Total North America,324.957573174,338.923084337,371.417395321,377.119261255,417.804839228,423.820014592,443.739513554,465.466747416,473.316383113,522.001397485,516.428331915,509.903922822,443.623510758,519.540020828,516.570581335,521.436273402,516.18852341,596.337968929,625.496837778,637.444260887,617.205942683,627.757998675,590.10010181,556.976077285,589.671494269,615.169548257,621.246863632,597.23878719,632.111118507,610.991903962,675.671904216,736.820212016,735.281007366,682.203422855,700.587739192,668.302523434,579.219884545,641.246219293,634.595473838,634.714023434,663.463045556,677.102663131,646.547777273,672.70663505,669.20136101,650.496964253,734.92047705,690.440905777,690.856865455,0.00334383174777,0.182668313384
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1.2109156,1.2285932,1.2551096,1.480499,1.32582,1.5158542,1.524693,1.4849184,2.960998,4.971825,5.1353428,4.9408892,5.7054454,7.6632396,10.5358496,14.9729272,14.5000514,17.4964046,18.207928,19.6486524,20.6562756,21.0275052,21.8892882,15.8037744,13.3289104,18.1681534,16.4313292,20.0050505051,23.8474747475,28.2787878788,28.6121212121,26.0181818182,33.195959596,32.5787878788,26.8070707071,34.101010101,41.9262626263,41.5050505051,39.1080808081,35.4878787879,39.6090909091,43.4212121212,37.6666666667,37.2545454545,40.725959596,40.6331313131,39.6477777778,36.9843434343,40.6948484848,0.10334096849,0.0107600567862
Brazil,23.975245,26.2247196,27.4312158,28.7084224,30.7236688,39.8099552,43.2040544,50.6949374,57.9073982,65.6855422,72.3058034,82.9344604,93.492407,102.7643082,116.6014496,128.9315756,130.792143,141.1512166,151.5058708,166.6246382,178.4023392,182.4505096,185.636897,199.1293252,204.7242856,206.7483708,217.8189678,223.378573,235.11208,242.7532226,253.9519822,265.8136518,279.0276578,291.5213016,293.0548334,304.4568854,267.926125,286.1428918,305.616,320.797,337.457,348.805,374.0153,369.556,390.988,403.251,428.333,415.342,385.351413678,-0.0696650668979,0.101890124381
Chile,3.955363,4.1630748,4.2558822,3.5708752,4.0260734,4.3044956,4.397303,5.2237308,5.3165382,6.0457392,6.1385466,6.2357734,6.5009374,6.827973,6.9428774,7.3406234,7.5925292,8.4543122,8.9316074,9.3381922,10.363493,11.3048252,12.1047366,11.468343,9.6077756,8.9669626,13.689,17.357,17.624,17.256,18.641,17.07,19.07193,16.152,14.058,20.103,24.011,25.425,24.848,21.7311945243,26.6558239185,31.1294231325,22.7952739472,25.0339128475,25.9896341544,22.2592359064,20.680812176,20.158384741,19.5475856833,-0.0276432875544,0.0051685445942
