Nuclear: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,0.87103988872,1.31477719052,1.82330061475,2.98397258023,3.31743056333,5.19336990256,9.07601174725,12.8836255457,19.8833849796,27.147290773,41.0879781252,45.5179674307,59.7563851249,65.8348477883,60.7739083419,59.8118820607,64.9466586319,67.3520816115,69.9492429313,78.0372663115,91.3891621392,98.6173402915,108.438154262,125.516681236,126.084036175,137.399456463,145.903349585,147.382712109,145.361718547,152.542736213,160.393766241,160.709836772,149.733114521,160.465221523,173.458650019,179.565456611,183.12226237,185.798977237,181.909189864,187.814968929,186.256767411,187.503185715,192.077752874,192.026066887,190.274600267,192.20715839,188.214253185,183.242604736,187.931324328,0.0283973254263,0.333690106869
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.905,1.517,3.236,3.146,2.67,3.598,6.056,7.452,7.5,8.085,8.155,8.676,11.001,11.816,13.696,16.129,17.485,18.754,17.9474232034,16.3958908449,19.083800373,18.1070066668,21.1078903304,24.2304861579,21.9858375631,20.8449348923,18.5443129932,16.0638619674,16.5135538761,16.3582577297,17.2335849353,16.9706294972,16.8284334859,20.3099730137,20.6815404806,22.012752386,21.0078529355,21.1109412328,20.3173886429,20.2980373616,21.4447650669,21.6709865354,23.0970207911,0.0687238574028,0.0410109758377
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.665,0.96,0.887,1.116,0.96,1.911,1.783,2.367,2.096,2.264,1.861,1.975,2.206,2.38803552757,2.0803582742,2.44488076323,2.45875935625,2.35795017876,2.21839532063,2.37613225777,1.33032552609,2.28293320949,1.98434149794,2.67001620424,0.349229097366,0.00474087009206
Total North America,0.87103988872,1.31477719052,1.82330061475,2.98397258023,3.31743056333,5.19336990256,9.98101174725,14.4006255457,23.1193849796,30.293290773,43.7579781252,49.1159674307,65.8123851249,73.2868477883,68.2739083419,67.8968820607,73.1016586319,76.0280816115,80.9502429313,89.8532663115,105.085162139,114.746340291,125.923154262,144.270681236,144.115459379,154.460347308,165.947149958,166.376718776,167.585608878,177.733222371,184.290603804,183.337771665,170.644427515,178.625083491,192.236203895,197.784714341,202.330847305,204.975606734,201.125658877,210.205300217,209.383188655,211.974697457,215.443555989,215.35540344,212.968121168,213.835521278,211.941951462,206.897932769,213.698361324,0.0356982946396,0.379441946745
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232,0.518,0.531,0.366,0.648,0.602,0.523,0.63,0.421,0.762,1.038,1.305,1.292,1.463,1.312,1.14,1.647,1.755,1.603,1.754,1.864,1.599,1.688,1.802,1.687,1.608,1.398,1.597,1.317,1.712,1.783,1.554,1.70380356467,1.60076504789,1.62801332879,1.80750899741,1.59383388552,1.33328053582,1.40635904374,1.36517698282,-0.0266232509166,0.00242400285788
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,0.765,0.032,0.22,0.138,0.414,0.506,0.326,0.398,0.1,0.012,0.57,0.55,0.718,0.739,0.899,1.368,3.232,3.131,3.02258225098,2.62727972123,2.22994071593,3.11218717473,2.79445173553,3.16083631262,2.93184595194,3.28619269584,3.54324116396,3.62899941168,3.31390007693,-0.0843263193965,0.00588414771482
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-
