Nuclear: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Terawatt-hours,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,3.84947368421,5.81052631579,8.05789473684,13.1873684211,14.6610526316,22.9515789474,40.1105263158,56.9378947368,87.8726315789,119.974736842,181.584210526,201.162105263,264.087368421,290.950526316,268.584210526,264.332631579,287.025263158,297.655789474,309.133684211,344.877894737,403.885263158,435.829473684,479.231578947,554.708421053,557.215789474,607.223157895,644.805263158,651.343157895,642.411578947,674.147368421,708.844210526,710.241052632,661.730526316,709.16,766.583157895,793.571578947,809.290526316,821.12,803.929473684,830.029473684,823.143157895,828.651578947,848.868421053,848.64,840.899568421,849.440315789,831.794070526,809.822367368,830.543694737,0.0283973254263,0.333690106869
Canada,0.0,0.0,0.0,0.0,0.0,0.0,3.999557,6.7042298,14.3011784,13.9034324,11.799798,15.9010012,26.7638864,32.9333688,33.1455,35.730849,36.040207,38.3427144,48.6178194,52.2196304,60.5281024,71.2805026,77.273209,82.8814276,79.3168421053,72.46,84.3389473684,80.0221052632,93.2842105263,107.084210526,97.1642105263,92.1221052632,81.9547368421,70.9926315789,72.98,72.2936842105,76.1621052632,75.0,74.3715789474,89.7578947368,91.4,97.2831578947,92.8421052632,93.2976936842,89.7906673684,89.7051463158,94.7729947368,95.7727578947,102.074973684,0.0687238574028,0.0410109758377
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3712296,2.938901,4.242624,3.9200078,4.9320504,4.242624,8.4454734,7.8797902,10.4607198,9.2630624,10.0055216,8.2245034,8.728315,9.7491964,10.5536842105,9.193935357,10.804906045,10.866241099,10.42072502,9.80397628,10.5010789,5.87924063,10.089195026,8.769598816,11.799869613,0.349229097366,0.00474087009206
Total North America,3.84947368421,5.81052631579,8.05789473684,13.1873684211,14.6610526316,22.9515789474,44.1100833158,63.6421245368,102.173809979,133.878169242,193.384008526,217.063106463,290.851254821,323.883895116,301.729710526,300.063480579,323.065470158,335.998503874,357.751503611,397.097525137,464.413365558,507.109976284,556.504787947,637.589848653,636.903861179,682.622058895,733.386834526,735.285270958,740.627839874,785.474202947,814.453894453,810.242948095,754.145982958,789.415693979,849.568679495,874.089766558,894.180946579,905.8691964,888.854736842,928.981303778,925.34806394,936.800977941,952.131251336,951.741669964,941.191314689,945.024702735,936.656260289,914.364724079,944.418538034,0.0356982946396,0.379441946745
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0253008,2.2892492,2.3467014,1.6175004,2.8637712,2.6604788,2.3113462,2.784222,1.8605674,3.3675828,4.5873372,5.767317,5.7098648,6.4655822,5.7982528,5.038116,7.2787518,7.756047,7.0842982,7.7516276,8.2377616,7.0666206,7.4599472,7.9637588,7.4555278,7.1063952,6.1783212,7.0577818,5.8203498,7.5660128,7.8797902,6.8677476,7.52978947368,7.07442105263,7.19484210526,7.98810526316,7.04378947368,5.8923,6.21526315789,6.03326315789,-0.0266232509166,0.00242400285788
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6440168,3.380841,0.1414208,0.972268,0.6098772,1.8296316,2.2362164,1.4407244,1.7589212,0.44194,0.0530328,2.519058,2.43067,3.1731292,3.2659366,3.9730406,6.0457392,14.2835008,13.8371414,13.358,11.611,9.855,13.754,12.3498,13.969,12.957,14.523,15.659,16.038,14.64545,-0.0843263193965,0.00588414771482
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-
