Oil: Crude oil prices 1861 - 2013,,
,,
US dollars per barrel,,
Year,$ money of the day,$ 2013
1861.0,0.49,12.6530664437
1862.0,1.05,24.4023424272
1863.0,3.15,59.3570491471
1864.0,8.06,119.564060768
1865.0,6.59,99.8828798726
1866.0,3.74,59.2628316088
1867.0,2.41,40.0065613942
1868.0,3.63,63.2717878647
1869.0,3.64,63.4460903106
1870.0,3.86,70.8218359164
1871.0,4.34,84.0525128046
1872.0,3.64,70.4956559007
1873.0,1.83,35.4414973347
1874.0,1.17,23.992219025
1875.0,1.35,28.5222184213
1876.0,2.56,55.7767826906
1877.0,2.42,52.7264898872
1878.0,1.19,28.6096428456
1879.0,0.86,21.4143004973
1880.0,0.95,22.8396308431
1881.0,0.86,20.6758763422
1882.0,0.78,18.7525390081
1883.0,1.0,24.9003494155
1884.0,0.84,21.6909710464
1885.0,0.88,22.7238744295
1886.0,0.71,18.3340350511
1887.0,0.67,17.3011316679
1888.0,0.88,22.7238744295
1889.0,0.94,24.2732295043
1890.0,0.87,22.4656485837
1891.0,0.67,17.3011316679
1892.0,0.56,14.4606473642
1893.0,0.64,16.5264541306
1894.0,0.84,22.5252391635
1895.0,1.36,37.9282122296
1896.0,1.18,32.9083017875
1897.0,0.79,22.0318291628
1898.0,0.91,25.3784361242
1899.0,1.29,35.9760248355
1900.0,1.19,33.1871857009
1901.0,0.96,26.7728556915
1902.0,0.8,21.4526087272
1903.0,0.94,24.2732295043
1904.0,0.86,22.2074227379
1905.0,0.62,16.010002439
1906.0,0.73,18.8504867427
1907.0,0.72,17.9282515791
1908.0,0.72,18.5922608969
1909.0,0.7,18.0758092053
1910.0,0.61,15.1892131434
1911.0,0.61,15.1892131434
1912.0,0.74,17.790870341
1913.0,0.95,22.3013230455
1914.0,0.81,18.7600738014
1915.0,0.64,14.6751728064
1916.0,1.1,23.452247104
1917.0,1.56,28.3207688556
1918.0,1.98,30.604259961
1919.0,2.01,27.0597959103
1920.0,3.07,35.6802299211
1921.0,1.73,22.5084218185
1922.0,1.61,22.3611231074
1923.0,1.34,18.2833505966
1924.0,1.43,19.4713614095
1925.0,1.68,22.3118759976
1926.0,1.88,24.7315537652
1927.0,1.3,17.428677955
1928.0,1.17,15.8984067177
1929.0,1.27,17.2572448987
1930.0,1.19,16.5943191638
1931.0,0.65,9.9378291415
1932.0,0.87,14.8295534103
1933.0,0.67,12.0369813728
1934.0,1.0,17.38791048
1935.0,0.97,16.4527511949
1936.0,1.09,18.3154753669
1937.0,1.18,19.1350413886
1938.0,1.13,18.6717132113
1939.0,1.02,17.096481273
1940.0,1.02,16.9325261364
1941.0,1.14,18.0269581224
1942.0,1.19,16.9990586556
1943.0,1.2,16.155102036
1944.0,1.21,16.010668696
1945.0,1.05,13.580461272
1946.0,1.12,13.345640616
1947.0,1.9,19.802742742
1948.0,1.99,19.2433896893
1949.0,1.78,17.3868388778
1950.0,1.71,16.5357770697
1951.0,1.71,15.3207898362
1952.0,1.71,14.9981210955
1953.0,1.93,16.7928218235
1954.0,1.93,16.7118925617
1955.0,1.93,16.7793336132
1956.0,1.93,16.5365458278
1957.0,1.9,15.708523467
1958.0,2.08,16.7509128592
1959.0,2.08,16.6055476912
1960.0,1.9,14.929515259
1961.0,1.8,14.00537484
1962.0,1.8,13.854418704
1963.0,1.8,13.69088289
1964.0,1.8,13.50218772
1965.0,1.8,13.275753516
1966.0,1.8,12.91513608
1967.0,1.8,12.550325418
1968.0,1.8,12.047138298
1969.0,1.8,11.430734076
1970.0,1.8,10.793363724
1971.0,2.24,12.8681719488
1972.0,2.48,13.8136046376
1973.0,3.29,17.2523062103
1974.0,11.58,54.7351573974
1975.0,11.53,49.9326323639
1976.0,12.8,52.391097472
1977.0,13.92,53.4731361456
1978.0,14.02,50.0929009202
1979.0,31.61,101.429349449
1980.0,36.83,104.123862985
1981.0,35.93,92.0808031903
1982.0,32.97,79.5916299482
1983.0,29.55,69.1152545181
1984.0,28.78,64.5284163619
1985.0,27.56,59.6681684015
1986.0,14.43,30.6712546533
1987.0,18.4350394,37.8043263513
1988.0,14.9238417,29.3881098132
1989.0,18.2261133,34.2411344841
1990.0,23.7258203,42.2884156054
1991.0,20.0033852,34.2138664173
1992.0,19.3208366,32.080713698
1993.0,16.9716342,27.3609756978
1994.0,15.8173152,24.8633893188
1995.0,17.0166797,26.0115134703
1996.0,20.6684884,30.6875019261
1997.0,19.0925875,27.7118498831
1998.0,12.7156615,18.1730205893
1999.0,17.9700778,25.1275835177
2000.0,28.4954492,38.5494445951
2001.0,24.4438911,32.1534474251
2002.0,25.0232558,32.4032384736
2003.0,28.8307031,36.5017070764
2004.0,38.265,47.1895161726
2005.0,54.5210895,65.0336377197
2006.0,65.1440625,75.2766139276
2007.0,72.3890784,81.3320144343
2008.0,97.2559728,105.230580417
2009.0,61.6712648,66.9663173905
2010.0,79.4955336,84.9279131088
2011.0,111.255598,115.221328197
2012.0,111.669702381,113.305394991
2013.0,108.658517787,108.658517787
,,
1861-1944 US Average.,,
1945-1983 Arabian Light posted at Ras Tanura.,,
1984-2013 Brent dated.,,
