Oil: Imports and exports 2013,,,,,,,,
,,Million tonnes,,,,Thousand barrels daily,,
,Crude,Product,Crude,Product,Crude,Product,Crude,Product
,Imports,Imports,Exports,Exports,Imports,Imports,Exports,Exports
US,384.355388813,99.193839102,5.58082612948,151.094459487,7718.69863014,2073.55888315,112.075220628,3158.49513942
Canada,27.6088476395,10.831546569,132.1946171,29.7286434386,554.446173144,226.423836497,2654.75765299,621.450820374
Mexico,† ,28.8575002923,60.3419641666,5.87760622364,‡,603.240348577,1211.79889682,122.86612462
S. & Cent. America,25.0530766817,78.003651339,151.306769263,31.9910022585,503.120690621,1630.59687594,3038.57155808,668.743417075
Europe,463.75184959,159.0175589,18.9347864107,96.5841229925,9313.15358218,3324.12047783,380.252012029,2019.0050916
Former Soviet Union,0.204332748,6.05019471472,300.117003545,124.619036921,4.10344943244,126.473933352,6027.00722188,2605.05000467
Middle East,10.758908777,41.1201675267,855.290655352,108.240764006,216.062469412,859.580488298,17176.1109691,2262.67679279
North Africa,2.692346585,19.0731945919,85.2282499764,23.6861984878,54.0682204604,398.708149963,1711.57006117,495.138888937
West Africa,† ,13.1931486289,214.912789442,6.55443677438,‡,275.791024763,4315.91985373,137.014664626
East & Southern Africa,13.4112426773,19.97131368,6.83359918272,0.698950385027,269.327147466,417.482529804,137.233649341,14.6109354459
Australasia,28.3551685144,22.1974030974,11.5270304894,2.97396046393,569.433932084,464.01694694,231.488036952,62.1679954515
China,282.594342112,59.136677492,0.924165731823,29.2825763471,5675.11377447,1236.19958702,18.5592734637,612.12618501
India,190.475920614,12.8634527178,† ,59.1291246991,3825.1739674,268.899025306,‡,1236.04170261
Japan,178.206326497,45.487627264,0.648127090729,14.7622611896,3578.77362527,950.878345272,13.0158125344,308.591925689
Singapore,44.4020492662,101.668660815,0.103324644362,81.0767055615,891.690468826,2125.29282745,2.07498532376,1694.83633818
Other Asia Pacific,226.417196017,142.111271845,34.3591609256,92.4773593401,4546.95355288,2970.70960049,690.007259137,1933.15685415
Total World,1878.30311364,858.777208576,1878.30311364,858.777208576,37720.4433506,17951.9728806,37720.4433506,17951.9728806
,,,,,,,,
† Less than 0.05.,,,,,,,,
‡  Less than 0.5.,,,,,,,,
"Note: Bunkers are not included as exports. Intra-area movements (for example, between countries in Europe) are excluded.",,,,,,,,
