Oil: Proved reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand million barrels,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,36.5330004692,36.4940004349,35.0789999962,35.6360006332,36.0889992714,36.3600001335,35.0539999008,35.4030008316,35.063000679,34.2699995041,33.8399996758,32.1459994316,31.1960010529,30.1790008545,29.6270008087,29.75,29.8400001526,30.5189995766,28.5580005646,29.670999527,30.3900003433,30.438999176,30.6710000038,29.3500008583,29.2990002632,29.9219999313,29.4440002441,30.4599990845,28.3959999084,30.8719987869,34.9899997711,39.7750005722,44.1799993515,44.1799993515,-,0.0261746775359
Canada,39.5275214911,40.175334096,40.312096715,40.491260767,40.5317667723,40.9390387535,41.1020009518,41.2012624741,41.4677596092,41.2957024574,40.2938377857,40.0983598232,39.6339900494,39.4957213402,48.1492058039,48.3665552139,48.9426259995,48.8030928373,49.8230888844,181.560446262,181.503695965,180.940955043,180.400013208,180.366031766,180.042625427,180.488854885,179.80993402,178.834030628,176.263906956,175.874104023,175.22151494,174.592532396,174.318180799,174.318180799,-,0.103275738657
Mexico,47.2239990234,56.9980010986,56.9980010986,57.0960006714,56.4099998474,55.5929985046,54.8800010681,54.1100006104,53.0120010376,51.983001709,51.2980003357,50.9249992371,51.2249984741,50.7760009766,49.7750015259,48.7960014343,48.4720001221,47.8219985962,21.6380004883,21.5189990997,20.186000824,18.7670001984,17.1959991455,16.0410003662,14.8027002811,13.6696996689,12.8496000767,12.1865998507,11.8654996157,11.8655004501,11.6912997961,11.3937003613,11.4239003658,11.0787998438,-0.0302086416632,0.00656369421631
Total North America,123.284520984,133.667335629,132.38909781,133.223262072,133.030765891,132.892037392,131.036001921,130.714263916,129.542761326,127.548703671,125.431837797,123.169358492,122.054989576,120.450723171,127.551208138,126.912556648,127.254626274,127.14409101,100.019089937,232.750444889,232.079697132,230.146954417,228.267012358,225.75703299,224.144325972,224.080554485,222.103534341,221.480629563,216.52540648,218.61160326,221.902814507,225.76123333,229.922080517,229.576979995,-0.00150094553828,0.136014103889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2.45700001717,2.17165207863,1.94959998131,2.44976902008,2.34899997711,2.24000000954,2.23300004005,2.2460000515,2.27990007401,2.16770005226,1.56998705864,1.6832665205,2.01743793488,2.21678709984,2.25263285637,2.38636684418,2.60043430328,2.62117791176,2.75341486931,3.07118868828,2.97370290756,2.87868285179,2.82050848007,2.67450928688,2.47800922394,2.18026280403,2.5867600441,2.61602044106,2.52030825615,2.51149630547,2.52415180206,2.52500009537,2.35420942307,2.35420942307,-,0.00139476393815
Brazil,1.31796693802,1.47584116459,1.71843922138,1.84983336926,2.01601004601,2.16806006432,2.35841488838,2.55075716972,2.81613707542,2.75983691216,4.51304006577,4.81834077835,4.96574258804,4.98215913773,5.37444210052,6.22304439545,6.68067836761,7.10594511032,7.35725450516,8.15331172943,8.46448802948,8.48519992828,9.80428695679,10.6015892029,11.2430362701,11.7722616196,12.1820001602,12.6238298416,12.8014202118,12.875670433,14.2463302612,15.0498895645,15.3142213821,15.5927410126,0.0181869920343,0.0092380028218
Colombia,0.550000011921,0.52999997139,0.610000014305,0.639999985695,1.10000002384,1.24000000954,1.70000004768,1.90999996662,2.04999995232,1.98000001907,1.99000000954,1.8846000433,3.23189997673,3.15639996529,3.13899993896,2.95190000534,2.79800009727,2.57719993591,2.47779989243,2.28920006752,1.97189998627,1.84220004082,1.63170003891,1.54240000248,1.47759997845,1.45319998264,1.50940001011,1.50999999046,1.36199998856,1.36000001431,1.89999997616,1.98759996891,2.20000004768,2.37700009346,0.0804545655847,0.00140826636925
Ecuador,0.973900020123,0.904100000858,0.913999974728,0.881699979305,1.13709998131,1.14800000191,1.2351000309,1.59430003166,1.5148999691,1.4415999651,1.35520005226,1.5243999958,3.24000000954,3.65980005264,3.49119997025,3.38529992104,3.45300006866,3.6740000248,4.10200023651,4.4279999733,4.56599998474,4.63000011444,5.05999994278,5.05999994278,5.05999994278,4.86582994461,4.46493005753,4.00099992752,6.51800012589,6.33298015594,6.1578001976,7.21000003815,8.38302993774,8.19088554382,-0.0229206383228,0.00485273404047
Peru,0.628445029259,0.882036983967,0.775144994259,0.696323990822,0.670445978642,0.588999986649,0.535799980164,0.480399996042,0.852999985218,0.847000002861,0.823199987412,0.821799993515,0.802600026131,0.799467027187,0.830892026424,0.808109998703,0.773521006107,0.758409976959,0.937382996082,0.890600025654,0.905619978905,0.979376018047,0.952890992165,0.929552972317,1.09730303288,1.07825803757,1.0972880125,1.1214799881,1.1214799881,1.1214799881,1.24000000954,1.20620000362,1.42270004749,1.42270004749,-,0.0008428862202
Trinidad & Tobago,0.570999979973,0.570999979973,0.633000016212,0.540000021458,0.569999992847,0.611999988556,0.56400001049,0.619499981403,0.612999975681,0.618600010872,0.602199971676,0.572600007057,0.541000008583,0.560100018978,0.560000002384,0.656599998474,0.722699999809,0.706200003624,0.74006998539,0.820969998837,0.85106998682,0.960070014,1.12506997585,0.891070008278,0.808999992907,0.80300001055,0.793799974024,0.870999991894,0.829999983311,0.829999983311,0.829999983311,0.829999983311,0.829999983311,0.829999983311,-,0.00049173791194
