Oil: Refinery capacities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand barrels daily *,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,10390.0,10660.0,11350.0,11700.0,12020.0,12860.0,13290.0,13640.0,14360.0,14960.0,15240.0,16400.0,17050.0,17440.0,17990.0,18620.0,17890.0,16860.0,16140.0,15660.0,15460.0,15570.0,15920.0,15650.0,15570.0,15680.0,15700.0,15120.0,15030.0,15434.0,15333.0,15452.0,15711.0,16261.0,16512.0,16595.0,16785.0,16757.0,16894.0,17124.87,17338.814,17443.492,17593.847,17671.55,17583.79,17736.37,17322.178,17823.659,17818.0,-0.0003174993326,0.187698379159
Canada,1089.14362841,1140.46848407,1238.52663357,1280.03938448,1344.32125028,1396.46378135,1651.58479493,1683.97732026,1846.06574313,2034.31977869,2089.3556227,2150.01455752,2152.97076857,2216.52930613,2231.54308438,2154.90174046,2160.37387581,2092.68293259,1873.35723195,1891.90588383,1879.95524342,1781.26811285,1882.59696393,1847.84575957,1885.22610482,1919.50557338,1903.05771828,1911.209313,1824.0954342,1831.68723577,1791.87273376,1806.93683049,1810.83651315,1844.45555158,1861.18644816,1860.58891614,1917.29155999,1922.63789913,1958.61561658,1915.2473715,1895.93765252,1914.21584254,1906.67435946,1951.42007309,1976.08871083,1951.42007309,2046.13833308,2063.01,1965.495,-0.0472683124244,0.0207049176097
Mexico,417.0,417.0,457.0,525.0,525.0,562.0,562.0,594.0,722.0,722.0,746.0,822.0,822.0,822.0,1078.0,1207.0,1207.0,1207.0,1235.0,1282.0,1282.0,1282.0,1438.0,1438.0,1595.0,1595.0,1447.8,1447.8,1444.0,1444.0,1444.0,1444.0,1448.75,1448.75,1448.75,1481.05,1481.05,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1605.5,1605.5,1605.5,-,0.0169126596302
Total North America,11896.1436284,12217.4684841,13045.5266336,13505.0393845,13889.3212503,14818.4637813,15503.5847949,15917.9773203,16928.0657431,17716.3197787,18075.3556227,19372.0145575,20024.9707686,20478.5293061,21299.5430844,21981.9017405,21257.3738758,20159.6829326,19248.3572319,18833.9058838,18621.9552434,18633.2681128,19240.5969639,18935.8457596,19050.2261048,19194.5055734,19050.8577183,18479.009313,18298.0954342,18709.6872358,18568.8727338,18702.9368305,18970.5865132,19554.2055516,19821.9364482,19936.6389161,20183.34156,20142.6378991,20315.6156166,20503.1173715,20697.7516525,20820.7078425,20963.5213595,21085.9700731,21022.8787108,21150.7900731,20973.8163331,21492.169,21388.995,-0.0048005389981,0.225315958261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,402.325,414.2,412.3,423.7,434.15,437.69,603.92035,602.0,624.0,721.0,684.0,703.0,655.0,686.0,686.0,686.0,686.0,686.0,686.0,679.0,681.0,683.0,685.0,688.0,687.0,681.0,685.0,685.0,679.0,654.0,639.0,642.0,644.0,642.0,637.0,620.0,613.0,613.0,614.0,617.0,621.0,617.0,628.0,628.0,630.0,633.0,640.0,645.0,663.0,0.0279069766402,0.00698417518288
Brazil,346.655,351.88,360.905,439.28,476.52,525.0,597.0,756.0,820.0,981.0,996.0,990.0,1110.0,1202.0,1202.0,1393.0,1394.0,1423.0,1435.0,1435.0,1435.0,1435.0,1435.0,1404.0,1440.0,1440.0,1445.0,1444.0,1429.0,1473.0,1481.0,1481.0,1749.81276932,1768.03766451,1795.58389067,1849.36177253,1849.36177253,1853.54449667,1915.38906081,1915.38906081,1915.98642426,1915.98956917,1934.51306181,2044.50298229,2092.63890391,2092.63890391,2010.05997866,2000.49946632,2093.11692953,0.0462971702218,0.0220493134111
Netherlands Antilles,703.0,755.25,755.25,755.25,798.0,797.0,797.0,945.0,980.0,849.0,810.0,802.0,842.0,842.0,792.0,782.0,782.0,782.0,761.0,620.0,425.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,-,0.00337094417773
Venezuela,1120.0,1135.0,1217.0,1222.0,1258.0,1289.0,1295.0,1474.0,1474.0,1474.0,1445.0,1445.0,1445.0,1445.0,1445.0,1330.0,1276.0,1253.0,1243.0,1243.0,1243.0,1243.0,1186.0,1186.0,1186.0,1186.0,1196.0,1202.0,1202.0,1205.0,1212.0,1212.0,1212.0,1215.0,1248.0,1269.0,1269.0,1269.0,1269.0,1284.0,1291.0,1294.0,1303.0,1303.0,1303.0,1303.0,1303.0,1303.0,1353.0,0.0383729860187,0.0142527734861
