Oil: Refinery throughputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand barrels daily*,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,13481.0,12470.0,11774.0,11685.0,12044.0,12002.0,12716.0,12854.0,13246.0,13401.0,13409.0,13301.0,13411.0,13613.0,13866.0,13973.0,14195.0,14662.0,14889.0,14804.0,15067.0,15128.0,14947.0,15304.0,15475.0,15220.088,15242.0,15156.0,14648.0,14336.0,14724.0,14806.0,14999.0,15315.0,0.0210680719465,0.200762972236
Canada,1892.98144147,1759.19716695,1505.7932717,1437.43560854,1443.31029177,1406.39539251,1375.03439615,1444.44874751,1516.94510615,1547.73372974,1583.68968273,1491.38846776,1457.92798379,1539.5848405,1580.04316064,1569.40857265,1640.48412105,1693.88921761,1709.43161567,1713.92722775,1765.38737184,1811.56826801,1862.18323669,1879.64814556,1957.40432964,1882.50465019,1835.1986217,1908.45008504,1838.67019741,1773.34850013,1831.82325077,1734.09494585,1794.96756124,1761.92894376,-0.0184062477201,0.0230969693512
Mexico,1129.0,1250.0,1225.0,1217.0,1271.0,1297.0,1305.0,1355.0,1360.0,1421.0,1490.0,1548.691123,1509.813801,1524.798759,1562.916732,1487.870385,1489.99455,1436.480832,1446.138772,1377.58659,1363.400161,1398.096811,1389.915863,1435.68837,1436.008105,1415.368291,1406.53149,1395.329542,1392.1929,1392.3425,1184.123,1166.430705,1199.260271,1224.07595289,0.0206924900413,0.0160463023931
S. & Cent. America,5249.0,4867.0,4752.0,4595.0,4555.0,4312.0,4322.0,4382.0,4546.0,4555.0,4301.3042476,4449.11072663,4519.69096452,4538.30780092,4602.77027277,4809.0640476,4834.06554004,4906.88300425,5106.81670479,5177.3731825,5323.63744195,5317.91934952,4918.21219363,5009.19671167,5400.64914636,5379.8,5334.1,5455.7,5369.0,4900.0,4849.6,5052.7,4657.4,4786.4,0.0276978574693,0.0627444908023
Europe & Eurasia,24399.1347748,23236.1711192,22408.3462501,21982.3185507,21850.8866797,21676.394339,22660.7037257,22702.9797101,23027.7805691,23116.7373015,22691.7526822,22640.8404011,20939.6207191,19832.6484949,19062.7513942,18963.6319955,19047.5067279,19363.4858999,19580.9571258,18948.3088521,19203.5390456,19371.2939689,19430.9177902,19920.0963282,20370.9431443,20736.0465776,20783.3652659,20716.266063,20635.0368834,19508.520236,19626.6527703,19491.000267,19537.9382066,19142.2673532,-0.0202514138073,0.250934273005
Middle East,2427.0,2301.0,2602.0,3023.0,3213.0,3568.0,3868.0,4079.0,4297.0,4446.0,4469.98221233,3907.17487671,4441.04255708,4500.75442487,4776.47821567,5156.62748638,5482.53940058,5489.24834975,5640.35078972,5635.84516378,5431.88768329,5407.20245437,5483.69721185,5602.11608186,5795.928049,6008.31682227,6300.30267554,6397.36328576,6396.23457997,6241.4,6337.5,6516.5,6387.8,6353.3,-0.00540092028677,0.0832848474383
Africa,1439.0,1579.0,1737.0,1716.0,1799.0,1809.0,1890.0,1940.0,2063.0,2158.0,2171.4,2242.32706479,2147.07893487,2262.44827854,2294.3856621,2371.71739726,2389.22707599,2338.71815525,2386.18160959,2343.30061594,2187.6281128,2442.95408875,2377.36381338,2300.79354176,2303.82747804,2491.2,2371.8,2372.2,2457.0,2292.0,2449.3,2168.7,2206.4,2176.9,-0.0133701954037,0.0285367891192
Australasia,608.802005683,633.350903562,627.05744589,608.868195178,631.689917022,604.099143315,600.946957534,649.698461425,685.147876721,704.484831397,715.733649753,737.998133918,743.859989508,786.56263537,786.17449063,806.707172466,841.689634126,871.621752247,866.098308219,879.941681644,851.32864123,847.335106301,854.993331342,823.140112082,820.209586038,757.321231997,748.794351072,766.824804608,756.344661786,761.809541741,756.22937675,788.598987038,779.006558882,734.754839287,-0.0568053238094,0.00963183585554
