Oil: Regional consumption - by product group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand barrels daily,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light distillates,5584.23158858,5874.50745171,6098.86153418,6495.43483638,6728.66093129,6974.68882204,7258.48304133,7677.67502723,8044.73011001,7775.35424707,7895.84778074,8278.76754051,8538.89882177,8800.52638434,8548.44013734,8148.35948085,8011.73912322,7866.98515096,7906.99542473,8035.7465852,8088.23663014,8301.65021922,8580.08767163,8777.55879732,8900.01380816,8781.53361699,8666.17208114,8818.56909877,8960.67041068,9085.46238436,9228.48227102,9382.44325949,9552.68395613,9841.14067436,9990.23656828,10097.8537642,10202.4113406,10513.6536439,10665.5569859,10977.9889257,11018.6387161,11130.5185826,11199.8765883,10859.0764171,10838.7496028,10942.8379143,10696.9762592,10574.0976835,10709.2936026,0.0127855750121,0.459790716531
Middle distillates,3165.68191727,3316.02849349,3523.04402759,3795.34458944,3973.69863059,4099.04479421,4249.67608266,4578.69926226,4803.35460274,4748.05852045,4653.71580848,5007.2553286,5367.39230145,5602.90249221,5600.45375255,5116.06819722,4919.96569807,4608.59147923,4588.11473952,4839.81038217,4931.15137004,5087.28175311,5208.92885,5442.53729403,5524.99454784,5496.30857575,5366.77060395,5446.84958925,5597.56783578,5893.08348068,5933.60626936,6192.57697286,6396.91171134,6449.10718197,6626.69585661,6816.93323698,6811.35271752,6654.16283246,6859.70219735,7133.02066895,7249.2156768,7296.92710064,7318.24339187,6933.92516181,6281.45935088,6567.21777504,6693.6841393,6407.66020434,6530.97820644,0.019245402871,0.280399740695
Fuel oil,1773.04860266,1892.95808159,1987.17276727,2044.24172145,2213.20580782,2464.47758866,2579.36071258,2825.24300554,3115.63509501,2941.26167123,2782.97693137,3132.99016336,3400.65904132,3374.4560826,3192.94649338,2908.2040161,2477.77928699,2093.07210915,1852.82917781,1812.04347062,1662.84128799,1876.33120468,1763.35851995,1900.02103775,1938.24756203,1796.1741371,1677.93049249,1596.62169351,1549.11391721,1546.08189074,1316.02225042,1326.18285662,1326.90926194,1480.74038742,1390.5547348,1493.38237853,1386.40551386,1187.43533473,1252.8298136,1340.08430965,1395.94860291,1055.39022787,1081.44577527,940.715862405,801.403723898,809.898384562,745.296882757,660.497614673,577.940941845,-0.12499162903,0.0248132033376
Others,2403.70106895,2493.45788995,2534.63191778,2753.15991839,3000.13745233,3054.82328767,3081.15649301,3368.76142036,3551.30169896,3467.18010919,3346.37252079,3560.64808723,3703.23961616,3701.11241118,3978.107027,3835.44557898,3610.72736971,3562.4064789,3607.22891885,3857.05392825,3944.61150719,3945.77961656,4160.59483496,4279.70945351,4235.33925962,4241.92227448,4322.11109555,4542.97737739,4513.37649352,4741.30216526,4785.07143205,5017.7586057,5083.16084486,5016.93297713,5459.59089573,5301.09577283,5281.04573627,5441.95527559,5392.35501393,5571.73883558,5455.48135179,5518.97734158,5509.33034033,5125.92790892,5035.03437044,5190.28264229,5192.96480987,5305.71737252,5473.45662384,0.03161481088,0.234996315945
Total North America,12926.6631775,13576.9519167,14143.7102468,15088.1810657,15915.702822,16593.0344926,17168.6763296,18450.3787154,19515.0215067,18931.8545479,18678.9130414,19979.6611197,21010.1897807,21478.9973703,21319.9474103,20008.0772732,19020.211478,18131.0552182,17955.1682609,18544.6543662,18626.8407954,19211.0427936,19712.9698765,20399.8265826,20598.5951776,20315.9386043,20032.9842731,20405.0177589,20620.7286572,21265.929921,21263.1822228,21918.9616947,22359.6657743,22787.9212209,23467.0780554,23709.2651526,23681.2153082,23797.2070867,24170.4440107,25022.8327398,25119.2843476,25001.8132527,25108.8960958,23859.6453503,22956.647048,23510.2367162,23328.9220911,22947.972875,23291.6693747,0.0149772052446,0.999999976508
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which: US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light distillates,5107.887342,5369.094575,5562.113315,5921.403279,6125.533808,6336.279233,6587.496329,6968.706448,7264.990247,6974.044932,7073.435178,7422.641311,7654.396493,7854.529809,7509.843562,7077.490765,6916.901315,6834.35474,6928.402685,7047.592077,7091.948,7298.662411,7549.313973,7729.59377,7791.315452,7650.97348,7528.503451,7669.928525,7792.13726,7880.355946,8024.827672,8167.248579,8323.930959,8578.783452,8715.563287,8813.13754,8889.713699,9167.44663,9274.899014,9518.294536,9547.723232,9599.3260274,9597.4109589,9253.01639344,9256.84383562,9263.30684932,9021.84657534,8932.11748634,9055.68219178,0.0138337528174,0.479471572216
