Oil: Trade movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand barrels daily,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2013.0,2013.0,2012.0,of total
Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,6735.0,5950.0,5040.0,4990.0,5380.0,5065.0,6045.0,6245.0,7240.0,8019.0,8026.0,7791.0,7888.0,8620.0,8929.03287671,8830.43287671,9400.0,9907.0,10382.0,10550.0,11092.0,11618.0,11357.0,12254.0,12897.9016393,13525.2356164,13612.432137,13632.2878967,12872.2349731,11453.2240822,11689.2829315,11337.5526027,10587.3612842,9792.25751328,-0.0750993330188,0.175890650634
Europe #,12244.0,10653.0,9750.0,9038.0,8970.0,8768.0,9282.0,8283.0,9487.0,9752.0,9801.0,10171.0,10319.0,11083.0,10739.5671233,10435.9506849,10472.0,10421.0,11017.0,10670.0,11070.0,11531.0,11895.0,11993.0,12538.0928962,13260.9315068,13461.3051341,13952.5267384,13750.9157791,12485.5135068,12093.9289315,12207.9054247,12488.0319945,12637.27406,0.0119508074243,0.226993454128
Japan,4985.0,4460.0,4155.0,4145.0,4305.0,4045.0,4140.0,4125.0,4412.0,4549.0,4802.0,4925.0,5306.0,5307.0,5611.96712329,5581.23287671,5685.0,5735.0,5259.0,5346.0,5329.0,5202.0,5070.0,5314.0,5203.12568306,5224.50958904,5200.79775068,5031.89513068,4924.77570229,4262.61649315,4566.61432877,4494.17515068,4743.0813388,4529.65197054,-0.0449980409384,0.0813625898995
Rest of World,8360.0,7970.0,6987.0,6523.0,6438.0,6610.0,7180.0,6270.0,7062.0,8270.0,8812.0,9451.0,9884.0,10717.2217965,11305.9972603,12405.1945205,13835.4114754,14827.3726027,14438.4986301,15050.169863,15879.5683584,16435.7424658,16290.7835616,17191.3452055,18650.5030092,19171.5890411,20286.7833038,22937.2783195,23078.4057874,24131.6225205,25159.8935068,26120.0306757,26929.7956477,28713.2326874,0.066225420461,0.515753305338
Total World,32324.0,29033.0,25932.0,24696.0,25093.0,24488.0,26647.0,24923.0,28201.0,30590.0,31441.0,32338.0,33397.0,35727.2217965,36586.5643836,37252.8109589,39392.4114754,40890.3726027,41096.4986301,41616.169863,43370.5683584,44786.7424658,44612.7835616,46752.3452055,49289.6232278,51182.2657534,52561.3183256,55553.9880852,54626.332242,52332.9766027,53509.7196986,54159.6638538,54748.2702652,55672.4162313,0.0168799116679,1.0
Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,555.0,605.0,815.0,740.0,720.0,780.0,765.0,745.0,845.0,817.0,889.0,1000.0,918.0,959.0,942.682191781,949.282191781,978.0,976.0,1011.0,956.0,890.0,910.0,904.0,921.0,990.759562842,1129.35068493,1316.52661711,1439.3684126,1967.0688987,1946.55906849,2154.30975342,2495.05269188,2682.11242168,3270.57036005,0.219400922053,0.058746693272
Canada,445.0,455.0,485.0,545.0,655.0,685.0,675.0,630.0,890.0,944.0,955.0,1111.0,1101.0,1215.0,1322.95616438,1401.44109589,1484.0,1492.0,1603.0,1520.0,1703.0,1804.0,1959.0,2096.0,2147.96721311,2200.8630137,2329.50854995,2457.43894904,2497.88542225,2517.84460274,2598.70810959,2798.44194223,3056.23858143,3276.20847336,0.0719740576767,0.0588479662846
Mexico,875.0,1165.0,1535.0,1620.0,1635.0,1580.0,1405.0,1440.0,1427.0,1361.0,1387.0,1468.0,1469.0,1434.0,1421.3369863,1422.24109589,1656.0,1767.0,1770.0,1739.0,1814.0,1882.0,1966.0,2115.0,2069.52459016,2064.70684932,2101.75074648,1975.09220904,1608.79437441,1449.34591781,1539.32917808,1487.25276712,1366.00193989,1334.66502144,-0.0229406105005,0.0239735422278
South & Central America,3010.0,3215.0,2600.0,2445.0,2465.0,1985.0,2195.0,1595.0,1819.0,2150.0,2367.0,1953.0,2374.0,2391.0,2694.8109589,2796.9260274,3011.0,3219.0,3240.0,3145.0,3079.0,3143.0,2965.0,2942.0,3233.46721311,3528.41917808,3681.31598501,3570.46620904,3615.88050863,3748.49016438,3567.91471233,3754.54461797,3830.03372709,3707.31497515,-0.0320411674385,0.0665915946552
Europe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1358.0,1633.98082192,1474.45205479,1540.0,1463.0,1344.0,1851.0,1967.0,1947.0,2234.0,2066.0,1993.12021858,2148.98356164,2172.8055992,2272.90096027,2022.78147012,2034.04071233,1888.04969863,2053.04210856,2174.28616871,2399.25710362,0.103468870914,0.0430959758179
