Oil: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand barrels daily,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,11522.187698,12100.347314,12566.880466,13404.548552,14152.985096,14709.910246,15222.758083,16380.813852,17317.932767,16630.648,16333.560877,17460.744535,18443.366767,18755.940658,18438.21115,17062.354836,16059.695341,15294.962684,15234.540302,15725.3589345,15726.1309871,16280.8936155,16664.6691231,17283.2501345,17325.233205,16988.1823577,16713.4430676,17032.7827043,17236.230986,17718.6475101,17724.819782,18309.3581975,18620.5741078,18917.1879188,19518.9017816,19701.3681968,19648.6197277,19760.9048479,20033.0400808,20731.5437159,20802.1603828,20687.4191781,20680.3835616,19490.4137318,18771.3972603,19180.1287671,18882.0739726,18490.215847,18886.7972603,0.0199506785721,0.198569461703
Canada,1108.11630137,1167.46879452,1245.55706849,1322.15734973,1380.19032877,1471.57975342,1512.12824658,1588.90923497,1682.37917808,1712.65408219,1682.41991781,1788.92907104,1811.69323288,1849.04473973,1931.12758904,1898.03245902,1788.17109589,1608.54536986,1518.12473973,1539.78781421,1556.13153425,1559.47906849,1627.21315068,1709.77377049,1770.71934247,1747.30635616,1659.16849315,1688.91371585,1697.29578082,1726.13536986,1848.24882443,1889.21827863,1968.88437883,2002.26771306,2061.21295878,2042.70638206,2093.8701559,2172.31314287,2228.23817656,2308.59091161,2287.54126943,2295.25059568,2361.17894438,2315.0152315,2189.8636104,2316.46061297,2404.46393994,2394.38411919,2384.91826701,-0.00492202956229,0.0247286465019
Mexico,296.359178082,309.135808219,331.272712329,361.475163934,382.52739726,411.544493151,433.79,480.655628415,514.709561644,588.552465753,662.932246575,729.987513661,755.129780822,874.011972603,950.608671233,1047.68997814,1172.3450411,1227.54716438,1202.50321918,1279.50761749,1344.57827397,1370.67010959,1421.08760274,1406.8026776,1502.64263014,1580.44989041,1660.37271233,1683.3213388,1687.20189041,1821.1470411,1690.11361644,1720.38521858,1770.20728767,1868.46558904,1886.96331507,1965.19057377,1938.72542466,1863.98909589,1909.16575342,1982.69811234,2029.58269545,2019.1434789,2067.33358981,2054.216387,1995.38617736,2013.64733615,2042.38417856,2063.37290882,2019.95384742,-0.0255994293839,0.0214295908809
Total North America,12926.6631775,13576.9519167,14143.7102468,15088.1810657,15915.702822,16593.0344926,17168.6763296,18450.3787154,19515.0215067,18931.8545479,18678.9130414,19979.6611197,21010.1897807,21478.9973703,21319.9474103,20008.0772732,19020.211478,18131.0552182,17955.1682609,18544.6543662,18626.8407954,19211.0427936,19712.9698765,20399.8265826,20598.5951776,20315.9386043,20032.9842731,20405.0177589,20620.7286572,21265.929921,21263.1822228,21918.9616947,22359.6657743,22787.9212209,23467.0780554,23709.2651526,23681.2153082,23797.2070867,24170.4440107,25022.8327398,25119.2843476,25001.8132527,25108.8960958,23859.6453503,22956.647048,23510.2367162,23328.9220911,22947.972875,23291.6693747,0.0132439229637,0.244727700949
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,433.205945205,447.823780822,460.176657534,468.91989071,491.422821918,447.121068493,478.597643836,478.294672131,481.208520548,481.421232877,455.184931507,470.786748634,494.76969863,495.62769863,527.104219178,488.342377049,457.346410959,439.464082192,448.405068493,424.97010929,388.084356164,447.775342466,475.921452055,474.641939891,434.581232877,412.051068493,425.082684932,448.183333333,445.659863014,431.934383562,430.43539726,446.096420765,449.027945205,458.226712329,430.010520548,430.686202186,425.268136986,393.711616438,405.022410959,424.996939891,449.043787671,470.800826585,522.762955253,535.401400673,525.383850102,571.337656599,585.466994368,613.370274717,636.374753242,0.035569768399,0.00702386768535
Brazil,306.786136986,336.255178082,346.63769863,415.316530055,461.109561644,522.600212727,582.027880017,668.205590838,822.517340716,887.479785775,918.044499681,983.748003609,1016.99862545,1127.42614968,1200.27951931,1162.99769307,1124.00978041,1167.74901676,1152.87039539,1191.60838113,1240.97316796,1402.49278557,1447.57516786,1482.5893386,1517.59049516,1478.19596258,1504.10270888,1552.09324097,1613.60830352,1721.44408945,1799.24066175,1896.9386812,2016.45206169,2085.27204882,2138.49008437,2056.32351807,2041.62135021,2031.3122424,1972.97943356,2050.1412806,2096.6823882,2133.89520132,2285.54111292,2438.50012097,2466.83420087,2669.12371891,2730.4361847,2807.01389522,2972.53182441,0.0576643124223,0.0317174084485
Chile,68.0604931507,75.541369863,79.9647671233,84.7741530055,91.4424109589,96.49,107.969287671,112.208114754,106.605178082,103.692191781,91.0631232877,94.3539344262,98.4306849315,104.353808219,108.457835616,107.237704918,108.22290411,105.66,101.892109589,100.69647541,97.9395342466,103.271041096,108.275315068,119.574836066,133.692739726,140.784465753,145.726054795,156.552923497,171.116684932,187.291150685,205.576575342,224.840054645,238.420136986,243.869917808,246.126794521,232.844781421,226.801452055,225.282164384,227.815041096,244.189463457,250.081561178,277.642349439,357.702457312,371.577665007,366.642438164,329.050887541,355.187963481,367.912487189,376.763389948,0.019588297233,0.00419423449785
