Oil: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,552.107774062,579.665153919,601.878161802,643.678663151,679.409800708,706.648744772,730.635822742,789.924854619,834.234694976,800.791432103,784.539696941,842.391822312,889.418987936,870.644437249,852.343192775,789.143788872,735.271710904,695.040048866,689.906865428,714.03491199,710.963952708,740.944560393,755.908572528,787.727989031,787.002686531,772.496919616,755.441198626,772.234118915,778.504138021,799.111559112,796.697363047,824.837001499,836.202849166,851.81274989,875.648001751,884.126184281,884.107076873,884.881273692,900.747963854,936.543320542,939.778498544,930.66121524,928.770033135,875.359214926,833.162333956,850.066181123,834.912753637,817.005465679,831.028489119,0.0199506785721,0.198569461703
Canada,53.835,56.711,60.566,64.477,67.135,71.614,73.523,77.395,81.651,83.008,81.128,85.436,86.309,87.957,91.501,90.104,84.228,75.363,70.49,71.215,71.198,71.388,74.148,77.968,80.989,79.812,75.284,76.783,77.114,78.448,81.1385838352,83.4638715483,86.6970427259,88.5500966151,90.0426639928,90.0870646055,91.3470671954,93.8315523857,97.3243699381,100.841731443,99.9110188514,99.3582967899,102.311774782,101.184511765,94.9920312049,101.319990376,105.0006268,104.288138845,103.491291761,-0.00492202956229,0.0247286465019
Mexico,14.229,14.761,15.783,17.294,18.211,19.601,20.709,23.186,24.657,28.412,31.951,35.445,36.574,41.550670461,44.6558699488,49.3960837792,54.0211804212,55.7538044963,54.3980332954,58.0291364826,60.5100808196,60.770172453,63.7308403529,63.5561656232,67.8449146272,71.0075253273,74.0211360273,74.822756403,74.548587934,81.4111360273,74.7503955606,76.8423204326,79.8897558338,84.1502367672,84.0868474673,88.1366300512,86.607726037,82.7906568683,84.9579323044,88.4661380778,90.8363739905,89.6657198753,92.0268573733,91.6345914486,88.495757792,88.5342676872,90.2676007358,92.2928447543,89.6844897462,-0.0255994293839,0.0214295908809
Total North America,620.171774062,651.137153919,678.227161802,725.449663151,764.755800708,797.863744772,824.867822742,890.505854619,940.542694976,912.211432103,897.618696941,963.272822312,1012.30198794,1000.15210771,988.500062724,928.643872651,873.520891326,826.156853362,814.794898723,843.279048473,842.672033527,873.102732846,893.787412881,929.252154655,935.836601158,923.316444943,904.746334653,923.839875318,930.166725955,958.97069514,952.586342443,985.14319348,1002.78964773,1024.51308327,1049.77751321,1062.34987894,1062.06187011,1061.50348295,1083.0302661,1125.85119006,1130.52589139,1119.6852319,1123.10866529,1068.17831814,1016.65012295,1039.92043919,1030.18098117,1013.58644928,1024.20427063,0.0132439229637,0.244727700949
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,22.102,22.791,23.317,23.794,24.679,22.079,23.547,23.59,23.604,23.781,22.315,23.229,24.414,24.365,25.877,24.171,22.364,21.437,21.866,20.61,18.677,21.507,22.962,22.976,20.831,19.666,20.16,21.292,21.085,20.289,20.253,21.045,21.039,21.555,20.058,20.286,19.5,18.012,18.534,19.433,20.688875,21.663548345,24.018242211,24.7288274311,24.0670054825,26.8959225733,26.9069473877,28.4635203621,29.3954258024,0.035569768399,0.00702386768535
Brazil,14.878,16.218,16.759,20.139,22.109,25.1971676873,27.9744597422,32.1062313355,39.617689214,42.7637927206,44.1608758986,47.6169176207,49.0240660444,53.9988284612,57.1778857585,55.3886154691,52.8391840074,53.9564714381,52.2967081775,53.6344081914,55.1655574095,61.6451571214,63.3913314181,64.9496487433,65.992171165,64.2054080986,65.2280902939,68.8766147051,71.2679629368,75.9594885109,79.2203859193,84.3695784761,89.6680292587,92.9840619709,94.0867369488,92.0609223256,92.3955358373,91.5454279551,88.7486295413,92.0119490613,94.2389648381,95.7818481327,101.754678324,108.57808898,109.06461953,118.130109072,121.925619976,125.846602507,132.739789531,0.0576643124223,0.0317174084485
Chile,3.338,3.696,3.871,4.096,4.373,4.597,5.177,5.376,5.059,4.925,4.306,4.474,4.648,4.941,5.158,5.064,5.059,4.941,4.79,4.736,4.599,4.84,5.059,5.612,6.286,6.627,6.838,7.351,8.01,8.81,9.673,10.616,11.192,11.408,11.46,10.816,10.523,10.442,10.621,11.475077423,11.7661934506,13.2428103005,17.0433657836,17.780465084,17.4423952705,15.3919537566,16.8490330182,17.26313002,17.5531943986,0.019588297233,0.00419423449785
