Oil: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Thousand barrels daily,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,9014.0,9579.0,10219.0,10600.0,10828.0,11297.0,11156.0,11185.0,10946.0,10461.0,10008.0,9736.0,9863.0,10274.0,10136.0,10170.0,10181.0,10199.0,10247.0,10509.0,10580.0,10231.0,9944.0,9765.0,9159.0,8914.0,9076.0,8868.0,8583.0,8389.0,8322.0,8295.0,8269.0,8011.0,7731.0,7733.604,7670.401,7626.078,7362.07,7244.146,6902.743,6827.554,6861.947,6783.371,7262.877,7551.715,7868.0,8892.0,10003.0,0.13529625535,0.108041130006
Canada,920.0,1012.0,1106.0,1194.0,1306.0,1473.0,1582.0,1829.0,2114.0,1993.0,1735.0,1598.0,1608.0,1597.0,1835.0,1764.0,1610.0,1590.0,1661.0,1775.0,1812.79521099,1805.11746164,1908.76994822,2002.41851399,1961.45622827,1967.7356711,1983.50534326,2065.57905983,2189.0103028,2281.3347888,2402.1278129,2479.9174236,2587.59028284,2672.38133911,2604.39959498,2703.40190237,2727.98225111,2858.16410115,3003.49319405,3079.88660152,3040.89947399,3208.39282601,3290.1948304,3207.0318605,3202.41492095,3332.09013966,3514.82206604,3740.17237331,3948.47315152,0.0599996224046,0.0467320717871
Mexico,362.0,370.0,411.0,439.0,461.0,487.0,486.0,506.0,525.0,653.0,806.0,894.0,1085.0,1327.0,1607.0,2129.0,2553.0,3001.0,2930.0,2942.0,2912.0,2758.0,2879.0,2877.0,2897.0,2940.77692877,3099.63142192,3098.27303279,3115.34489948,3135.95561931,3054.76808599,3270.057022,3408.6261214,3498.55562351,3351.69031377,3455.86509756,3568.03642243,3592.59901431,3794.69596894,3830.0983054,3765.64865495,3689.07867946,3478.60982096,3165.37597544,2978.48120903,2959.34705882,2940.31299157,2911.09822533,2874.75262614,-0.011282238178,0.0343435816467
Total North America,10296.0,10961.0,11736.0,12233.0,12595.0,13257.0,13224.0,13520.0,13585.0,13107.0,12549.0,12228.0,12556.0,13198.0,13578.0,14063.0,14344.0,14790.0,14838.0,15226.0,15304.795211,14794.1174616,14731.7699482,14644.418514,14017.4562283,13822.5125999,14159.1367652,14031.8520926,13887.3552023,13806.2904081,13778.8958989,14044.9744456,14265.2164042,14181.9369626,13687.0899087,13892.8709999,13966.4196735,14076.8411155,14160.259163,14154.1309069,13709.2911289,13725.0255055,13630.7516514,13155.7788359,13443.77313,13843.1521985,14323.1350576,15543.2705986,16826.2257777,0.0869534388184,0.189116790891
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,275.673972603,292.864109589,318.631232877,348.158469945,361.532054795,399.464657534,431.538082192,444.115846995,433.635616438,423.38739726,406.090958904,408.021857923,441.715068493,466.204931507,487.282739726,505.710382514,518.925479452,517.082191781,520.17260274,509.006557377,490.794520548,465.367671233,459.404931507,481.202185792,492.286575342,517.410958904,525.611506849,586.871038251,629.865205479,695.492054795,757.916164384,822.798907104,877.430136986,889.947945205,847.436164384,831.082,910.434,898.957,900.149,868.056,838.696846235,837.618998106,813.243226278,771.602452004,743.013648978,722.128192346,686.669278359,665.113364953,656.136594956,-0.0149380182847,0.00739294756204
Brazil,96.0,117.0,147.0,161.0,176.0,167.0,175.0,171.0,174.0,181.0,178.0,173.0,167.0,166.0,172.0,188.0,220.0,268.0,340.0,473.0,560.0,591.0,589.0,573.0,613.0,650.0,643.0,652.0,664.0,693.0,718.0,807.0,868.0,1003.0,1133.0,1271.8329,1337.1819,1496.9914,1548.2983,1537.3588,1699.31896051,1804.11911292,1832.65131854,1894.63726852,2024.03684314,2137.41364469,2192.90727159,2149.01093264,2114.11416545,-0.0173353794962,0.0266187936068
Colombia,203.0,199.0,192.0,176.0,214.0,226.0,224.0,203.0,192.0,175.0,164.0,153.0,144.0,137.0,129.0,131.0,140.0,147.0,158.0,173.0,183.0,307.0,388.0,380.0,407.0,446.0,430.0,442.0,458.0,460.0,591.0,635.0,667.0,775.0,838.0,687.0,604.0,578.0,541.0,528.29,526.161819178,529.313671233,531.439035008,588.35,670.6,785.868,915.263,944.1201,1003.988,0.0634113177657,0.012803176418
Ecuador,8.0,7.0,6.0,5.0,4.0,4.0,4.0,78.0,209.0,177.0,161.0,188.0,184.0,204.0,216.0,206.0,213.0,213.0,240.0,261.0,286.0,298.0,176.0,309.0,286.0,292.0,307.0,328.0,353.0,388.0,395.0,393.0,397.0,385.0,383.0,403.0,410.0,394.0,420.0,528.0,534.0,537.679617452,513.088074521,506.718579235,488.065753425,488.087010137,500.608001014,504.592998243,527.356256993,0.0451490655541,0.00683816010132
