Oil: Production *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,427.687072161,454.526860158,484.209081964,502.893164471,511.367956875,533.497368072,525.898904369,527.893082375,514.654627003,491.396094967,469.783497929,457.997859687,462.825587656,484.18369955,477.014533557,480.212069927,478.817962912,480.746453537,482.979180601,496.139028601,498.686312161,482.322410629,467.261384901,459.077490975,429.029255454,416.601963684,422.919364595,413.0256246,397.023176665,387.520326818,383.571730915,382.081570464,379.970380543,368.13785691,352.603158314,347.635077402,344.564990493,341.98439672,332.287295588,325.079858046,309.098702948,304.656372548,305.213146086,302.255071904,322.422123787,332.941662456,345.704990799,394.129146352,446.230793728,0.13529625535,0.108041130006
Canada,43.874177666,48.2121541514,52.7011399909,57.1193361694,62.2180433011,70.0678891195,75.1637731868,86.7131472854,100.314611768,94.3865477857,81.5758003987,75.3046258779,75.5743214548,75.1898749864,86.2745674427,83.2694849154,75.3616028998,74.5641401176,78.5604930113,83.8156694179,85.6852274145,85.7360209382,90.2943862744,95.0949675551,92.6204809026,92.7578503183,93.2145082867,97.1597782461,102.281144873,106.692146256,111.906322765,115.453527347,120.704141799,125.087903928,120.996749266,124.597355044,125.721007634,132.588185677,140.215961934,144.751589078,142.281402561,150.591515851,155.286364116,152.875795173,152.806491706,160.2937871,169.80147062,182.586206249,193.012508225,0.0599996224046,0.0467320717871
Mexico,18.0538940574,18.4895418904,20.4637609359,21.9006656077,22.9650089504,24.179006883,24.107319164,25.0976174268,25.8593891032,32.4161926733,40.154693291,44.7737508509,54.3657022918,66.6923089529,80.6599110002,107.187902579,127.995339485,151.01307894,147.124549328,148.311250284,145.853863803,136.881763861,143.035220483,142.690908403,143.065220735,145.168698846,152.817296102,153.031688593,153.276788072,154.172974466,150.213314683,162.359682254,169.619477104,173.474183143,165.492191352,170.319035277,175.864137364,177.819817144,188.200738595,190.04025363,186.49205869,182.543135037,172.233836714,156.897759423,146.663992323,145.599509366,144.518511036,143.857290622,141.845640254,-0.011282238178,0.0343435816467
Total North America,489.615143884,521.2285562,557.373982891,581.913166249,596.551009126,627.744264074,625.16999672,639.703847087,640.828627873,618.198835426,591.513991619,578.076236416,592.765611403,626.065883489,643.949012,670.669457422,682.174905297,706.323672594,708.66422294,728.265948303,730.225403378,704.940195428,700.590991658,696.863366934,664.714957091,654.528512848,668.951168983,663.21709144,652.58110961,648.38544754,645.691368363,659.894780065,670.293999447,666.699943981,639.092098932,642.551467723,646.150135491,652.392399541,660.703996117,659.871700754,637.872164199,637.791023435,632.733346916,612.0286265,621.892607816,638.834958921,660.024972455,720.572643224,781.088942207,0.0869534388184,0.189116790891
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,13.7647586207,14.6439655172,15.9622758621,17.4875862069,18.1067586207,20.0005172414,21.570862069,22.2180344828,21.6011724138,21.1447586207,20.2605517241,20.414137931,22.0619655172,23.209862069,24.2781034483,25.2670344828,25.7363793103,25.5713103448,25.6673103448,25.1417586207,24.1586206897,22.8686551724,22.5725862069,23.7197586207,24.2299655172,25.4365517241,25.882,29.0404482759,31.0678275862,34.511,37.4569310345,40.816,43.3855862069,44.0280689655,41.8192068966,40.7404527206,43.6819990607,43.1013227773,42.7652355854,40.9450677124,39.3955244413,39.1318681507,37.9831232832,36.5400329397,34.901154872,34.0106838566,32.1735495933,31.0822678877,30.5343047861,-0.0149380182847,0.00739294756204
Brazil,5.03329731355,6.14739615076,7.7389659182,8.50493600642,9.27748336006,8.80001242983,9.20284422614,9.01526680032,9.14979190056,9.52115817963,9.32386206897,9.08341852446,8.74028648757,8.68723416199,9.00554811548,9.88138364074,11.530472935,14.0553977546,17.8370260626,24.9178934242,29.4221904571,30.9639129912,30.7764955894,30.09118749,32.1526509623,34.0940002005,33.7010471131,34.1704291901,34.7784556937,36.2406948677,37.5670030072,42.4478112269,45.5032650361,52.6221553729,59.4793696872,66.8912460618,70.03387085,78.4223033563,81.0580670691,80.5639392412,88.7198627328,93.6706003115,95.1879611283,98.7690105775,105.606943543,111.377763712,114.2122522,112.18677785,109.940769883,-0.0173353794962,0.0266187936068
Colombia,10.6545456038,10.4438673931,10.0751805245,9.25776211375,11.2339106832,11.7599251381,11.6757900682,10.5774254963,9.94795631189,9.07377795193,8.49944735533,7.94178113151,7.46726033736,7.09857346868,6.67721704732,6.80113849828,7.25658212669,7.6464730308,8.20463407474,9.01932031647,9.52137289148,16.0523974225,20.3610392596,19.9943121063,21.3617607603,23.3734652436,22.5781949545,23.2687709807,24.0317383938,24.1209079465,31.0155848634,33.3605822063,34.837703513,40.4088599542,43.705837737,36.2831168831,31.8124098124,30.443001443,28.4942279942,27.901030303,27.7127076479,27.8787142857,27.990656245,31.073030303,35.3202020202,41.3913160173,48.206492785,49.86262,52.8795988456,0.0634113177657,0.012803176418
