Oil: Spot crude prices,,,,
,Dubai,Brent,Nigerian,West Texas
,,,Forcados,Intermdiate
US dollars per barrel,$/bbl *,$/bbl †,$/bbl,$/bbl  ‡
,,,,
1972.0,1.9,-,-,-
1973.0,2.83333333333,-,-,-
1974.0,10.4125,-,-,-
1975.0,10.7025,-,-,-
1976.0,11.625,12.8,12.87,12.23
1977.0,12.375,13.92,14.21,14.22
1978.0,13.0258333333,14.02,13.65,14.55
1979.0,29.7541666667,31.61,29.25,25.08
1980.0,35.6916666667,36.83,36.98,37.96
1981.0,34.3208333333,35.93,36.18,36.08
1982.0,31.8,32.97,33.29,33.65
1983.0,28.7791666667,29.55,29.54,30.3
1984.0,28.06,28.78,28.14,29.39
1985.0,27.53,27.56,27.7536398,27.9826628
1986.0,13.1,14.43,14.4571154,15.0977969
1987.0,16.95,18.4350394,18.3938697,19.1786538
1988.0,13.2666667,14.9238417,14.9971042,15.9685328
1989.0,15.6205882,18.2261133,18.3005469,19.6762151
1990.0,20.4519608,23.7258203,23.8532227,24.4979447
1991.0,16.6317308,20.0033852,20.1149222,21.5372727
1992.0,17.1726415,19.3208366,19.6141634,20.5691667
1993.0,14.9269231,16.9716342,17.4127821,18.4499203
1994.0,14.7394231,15.8173152,16.2506031,17.2056151
1995.0,16.1,17.0166797,17.259668,18.42254
1996.0,18.5173077,20.6684884,21.1614729,22.1575498
1997.0,18.2317308,19.0925875,19.3299027,20.6061706
1998.0,12.209434,12.7156615,12.6230545,14.3854382
1999.0,17.2471154,17.9700778,17.9973541,19.31406
2000.0,26.2,28.4954492,28.4175195,30.3665863
2001.0,22.8125,24.4438911,24.2269455,25.9317944
2002.0,23.742549,25.0232558,25.041124,26.1623
2003.0,26.7826415,28.8307031,28.6611133,31.0685141
2004.0,33.6361538,38.265,38.1301544,41.4876908
2005.0,49.3544231,54.5210895,55.6888716,56.5908964
2006.0,61.5044231,65.1440625,67.0655859,66.0218145
2007.0,68.1894231,72.3890784,74.4831961,72.2033133
2008.0,94.3371154,97.2559728,101.430875,100.0624104
2009.0,61.3890566,61.6712648,63.3479447,61.9226693
2010.0,78.0561538,79.4955336,81.0543478,79.4494422
2011.0,106.181538,111.255598,113.649542,95.0359363
2012.0,109.079038462,111.669702381,114.212083333,94.1266135458
2013.0,105.474230769,108.658517787,111.945296443,97.9922709163
,,,,
"*  1972 - 1985 Arabian Light, 1986 - 2013 Dubai dated.",,,,
"†  1976 -1983 Forties, 1984 -2013 Brent dated.",,,,
"‡ 1976 -1983 Posted WTI prices, 1984 -2013 Spot WTI (Cushing) prices.",,,,
