Renewables: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,0.0780648956872,0.0866633479658,0.107254378422,0.142327012717,0.18079377291,0.18486672399,0.190976150609,0.415893560212,0.533320992919,0.63185120607,0.807240524529,0.912808393066,0.956351356078,0.780363203293,1.03182382005,1.30107415088,1.43386330347,1.2216744203,1.52770853929,2.02931818789,2.51198931052,2.694363441,2.87570829336,2.80559420944,12.0803194495,14.4259315256,15.3141854632,16.3620205704,16.9081119169,16.9277296236,16.2339438,16.6355096518,16.9127909215,16.8440928245,17.3779464906,17.6836029928,16.7859173813,18.737575198,18.8196995957,19.6436813598,20.623791693,22.73008507,24.7284999032,29.4941654982,33.6452906217,38.8954199017,45.0292444023,50.6066289234,58.6360908576,0.161838650703,0.209943696856
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159976467394,0.2418880391,0.256143367878,0.30433995565,0.294157577952,0.42947006381,0.484002353261,0.471783500023,0.528804815133,0.379689550618,0.422229261891,0.523374213694,0.562519799068,0.786984658551,0.951670798923,0.95874487185,1.07541029596,1.16721529657,1.39103753969,1.36950844799,1.41779670071,1.66574652945,1.76888031999,2.02430432328,2.02999692742,2.13735848877,2.259594658,2.32646489283,2.32485714898,2.54938155453,2.64255924238,2.70085381917,2.56090146793,3.36290619351,4.07119445227,3.90805631456,4.17652633511,4.30515978198,0.033623252064,0.01541441679
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036430284654,0.104765352763,0.117210481061,0.131013259719,0.133954835498,0.135312485858,0.230574286102,0.207041679866,0.218129157804,0.293252477712,0.30615015613,0.322215685387,0.371317373399,0.767977553514,0.999683214916,1.04833235281,1.05783590533,1.15987910055,1.56831929742,1.79142879215,1.86021869599,1.79639673868,1.91872084363,1.68622917412,1.58306146042,1.68259590159,1.64235923977,1.71952360643,1.83333996159,1.78854435654,1.98291006183,2.06392110451,2.35355089566,2.05609290168,2.27196845131,2.21903608653,2.27907440244,2.39621402969,2.37841980167,2.25262037755,2.47885427788,0.103446319699,0.00887541845441
Total North America,0.0780648956872,0.0866633479658,0.107254378422,0.142327012717,0.18079377291,0.18486672399,0.190976150609,0.415893560212,0.569751277573,0.736616558833,0.92445100559,1.20379812018,1.33219423068,1.17181905703,1.5667380618,1.8022734087,2.08146252509,1.99892925127,2.30564219544,2.88033868841,3.26299623454,3.8845702564,4.39876572197,4.41644636132,13.9251400134,16.5374814251,17.8412496325,19.2288596585,19.9355459094,20.115163902,19.5221730916,19.7395355267,20.1615989113,20.2955690461,21.0446100536,21.4331235267,20.7566158316,22.7857142125,23.1290745504,24.0324596133,25.5267241432,27.4287372141,29.7013221737,34.2741030526,39.2872712177,45.3628283836,51.3157205185,57.035775636,65.4201049175,0.150143697858,0.234233528376
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0128976784179,0.0167443544372,0.0128976784179,0.0131239534778,0.0140290537177,0.0128976784179,0.0138027786577,0.0138027786577,0.0210435805766,0.0217224057564,0.0190071050369,0.024663981536,0.0339412589944,0.0214961306965,0.0262479069557,0.024211431416,0.024437706476,0.0273792822555,0.0269267321356,0.0242947959118,0.0226275059963,0.0231038745436,0.0242947959118,0.0271530071955,0.0264384543746,0.0855408093025,0.110484728815,0.119313672015,0.136495463781,0.169838320515,0.158853142722,0.223840673776,0.255838027548,0.302229464347,0.326714724314,0.682693899863,0.6713501285,0.671677284128,0.670503640647,0.529761386995,0.526999546752,0.629259994904,0.651830646681,0.0387065596879,0.00233384827152
Brazil,0.0,0.0,0.0,0.0,0.0,0.18080022175,0.207705174911,0.229704753586,0.230452634973,0.240431687559,0.256078783319,0.263864942074,0.306576110558,0.363506601575,0.500408743268,0.558032824139,0.627185788795,0.72558186066,0.908039994117,0.974983230303,0.916302297823,0.971949421867,1.12158533964,1.09179433294,1.00770769788,1.18296601349,1.25967325881,1.37959904059,1.40788342309,1.50744444947,1.53595510703,1.79730280129,2.00592840657,2.06973797348,2.3120785627,2.46571932842,2.7856496357,3.12191700231,3.51178893062,3.71294745893,4.15597139883,4.28202923474,5.03099968321,5.54871702041,5.85894012762,7.3267864416,9.0030320858,10.0477395122,13.2480481513,0.32212266326,0.0474339984357
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0149341539575,0.0128976784179,0.0115400280581,0.0104086527583,0.0115400280581,0.0165180793773,0.018102004797,0.0205910304566,0.0212698556365,0.0237588812961,0.0248902565959,0.0309996832149,0.0470652124723,0.0454812870525,0.0441236366928,0.0633570167896,0.0613205412499,0.0739919446079,0.0726342942481,0.22937145552,0.246044354675,0.415155188964,0.416822478879,0.42539711273,0.447548250179,0.413964267595,0.415155188964,0.276531941702,0.240566116382,0.2241314015,0.494165002565,0.464630152633,0.431998907143,0.484883635073,0.427933775245,0.342425621006,0.644679082419,0.742694292867,1.03569584908,0.610354112525,0.886295914127,1.15972717573,1.39770930346,0.208507195115,0.00500443065539
