Renewables: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Terawatt-hours,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,0.345,0.383,0.474,0.629,0.799,0.817,0.844,1.838,2.35695879611,2.79240322011,3.56751877411,4.03406541232,4.22649918305,3.44873714063,4.56004219032,5.74996710242,6.33681548337,5.39906793305,6.75155511855,8.96836879955,11.1014855589,11.9074697911,12.7089052317,12.3990430492,53.3877637751,63.7539617842,67.6795112363,72.3103137088,74.7237098054,74.8104082987,71.7442912297,73.5189713553,74.7443881984,74.4407838286,76.8000967204,78.1509150665,74.1836832749,82.8088398299,83.1717803934,86.8132854014,91.144785008,100.453337959,109.285132472,130.346515003,148.691997374,171.894418713,199.002242711,223.650935864,259.136339936,0.161838650703,0.209943696856
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,1.069,1.132,1.345,1.3,1.898,2.139,2.085,2.337,1.678,1.866,2.313,2.486,3.478,4.20581392876,4.23707708666,4.75266826198,5.15839128165,6.14755130292,6.05240563504,6.26581073913,7.36160021223,7.81738968618,8.94621052632,8.97136842105,9.44584210526,9.98605263158,10.2815789474,10.2744736842,11.2667368421,11.6785263158,11.9361533684,11.3176479474,14.8620276316,17.9922367624,17.2712640766,18.4577404854,19.0262231405,0.033623252064,0.01541441679
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.463,0.518,0.579,0.592,0.598,1.019,0.915,0.964,1.296,1.353,1.424,1.641,3.394,4.418,4.633,4.675,5.12596969697,6.93103030303,7.91704040404,8.22105050505,7.93899574694,8.47959489633,7.45212121212,6.99618181818,7.43606432749,7.25824242424,7.59926262626,8.10226262626,7.90429292929,8.76327272727,9.12129292929,10.4012828283,9.0866969697,10.0407373737,9.80680808081,10.0721414141,10.5898282828,10.5111884715,9.95523049655,10.9550485957,0.103446319699,0.00887541845441
Total North America,0.345,0.383,0.474,0.629,0.799,0.817,0.844,1.838,2.51795879611,3.25540322011,4.08551877411,5.32006541232,5.88749918305,5.17873714063,6.92404219032,7.96496710242,9.19881548337,8.83406793305,10.1895551185,12.7293687996,14.4204855589,17.1674697911,19.4399052317,19.5180430492,61.5407637751,73.0857454099,78.8476186259,84.9800223748,88.1031515921,88.8969553485,86.276291761,87.2369033066,89.1021702288,89.6942378423,93.0045496709,94.7215461138,91.7317880064,100.699185391,102.216632068,106.209052015,112.812804678,121.218561244,131.262023214,151.470971031,173.626166419,200.476483759,226.784695259,252.063906846,289.117611672,0.150143697858,0.234233528376
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.074,0.057,0.058,0.062,0.057,0.061,0.061,0.093,0.096,0.084,0.109,0.15,0.095,0.116,0.107,0.108,0.121,0.119,0.107368421053,0.1,0.102105263158,0.107368421053,0.12,0.116842105263,0.378039052632,0.488276210526,0.527294842105,0.603228052632,0.750583473684,0.702035578947,0.989241473684,1.13065057895,1.33567289474,1.44388305263,3.01709742105,2.96696475789,2.96841058947,2.96322378947,2.34122747368,2.32902179692,2.78095162148,2.88070035994,0.0387065596879,0.00233384827152
Brazil,0.0,0.0,0.0,0.0,0.0,0.7990285,0.91793225,1.015157188,1.018462375,1.0625638,1.131714575,1.166124725,1.354882463,1.606481075,2.2115064,2.466170263,2.771784875,3.206636475,4.01299195,4.308840888,4.049506375,4.295433275,4.95673425,4.825075875,4.4534634,5.228,5.567,6.097,6.222,6.662,6.788,7.943,8.865,9.147,10.218,10.897,12.3109,13.797,15.52,16.409,18.3669,18.924,22.234,24.522,25.893,32.38,39.788,44.40498,58.548424,0.32212266326,0.0474339984357
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.057,0.051,0.046,0.051,0.073,0.08,0.091,0.094,0.105,0.11,0.137,0.208,0.201,0.195,0.28,0.271,0.327,0.321,1.01368421053,1.08736842105,1.83473684211,1.84210526316,1.88,1.97789473684,1.82947368421,1.83473684211,1.22210526316,1.06315789474,0.990526315789,2.18391281233,2.05338649654,1.90917597023,2.14289473684,1.89121052632,1.51331578947,2.84909473684,3.28226315789,4.57715423542,2.69739896489,3.91689616289,5.12529828041,6.17703649569,0.208507195115,0.00500443065539
