Primary Energy: Consumption *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,1287.27820475,1360.57470758,1407.65106377,1493.24234922,1573.92723639,1627.67154361,1659.99132442,1742.60406653,1811.77300425,1764.83780798,1717.50174019,1809.40024094,1854.3215139,1852.92677516,1878.6145932,1812.64002002,1760.44356095,1683.67658204,1672.50911483,1761.90992357,1756.41662576,1762.50447322,1823.3362034,1907.538828,1961.83447163,1968.39375348,1966.11545632,1997.67773027,2039.68051242,2077.28464225,2121.89985725,2192.49270827,2209.9375675,2224.05163716,2261.69994511,2313.70914077,2259.69333151,2294.24865584,2302.32478355,2349.14177602,2351.28874555,2333.07062215,2371.7156008,2320.1099208,2205.86281026,2284.9214813,2265.35985175,2207.97526742,2265.83028317,0.0290142614394,0.177985370159
Canada,116.287,123.447,129.524,138.16,146.064,156.413,160.979,172.151,182.77,189.064,187.001,197.390976467,207.072888039,210.588143368,212.927339956,218.013825582,211.990675758,215.108742011,213.261191735,227.342125442,234.442793227,234.709250935,242.674831002,253.052069963,256.228303272,251.473507992,251.8109226,258.370149033,264.309740851,274.103625423,280.321594761,290.564140441,292.157234461,286.197784364,293.929034326,302.952333732,296.528349391,305.064794075,312.14849638,315.480961681,324.114568872,321.398367407,327.481112027,326.073541295,311.485327478,315.637085241,328.143466836,326.930817548,332.910270809,0.0210794936866,0.0261507481337
Mexico,24.4478626158,25.7205968281,26.0035345371,28.3991721601,31.2627647846,33.2833077291,34.8698203879,38.3785922423,41.2872722642,45.9664356499,49.6194121625,52.9247952412,55.7929949616,63.4587168725,70.4004398401,76.47834214,84.3026665103,88.0941568116,86.8759437458,91.566405574,95.4011519906,92.5149527198,95.5819184278,96.5124084566,100.827206919,106.373968104,111.149965165,113.085223554,114.108061526,121.611941766,117.963004815,122.892057106,127.495386607,134.478670922,136.000567686,141.950448619,142.111797532,141.135771556,148.215037209,156.356391023,167.784253043,172.696238584,172.105772002,174.612622945,173.02946536,177.854695047,186.242090153,188.524256244,187.953189472,-0.00029771513073,0.014764088206
Total North America,1428.01306737,1509.74230441,1563.17859831,1659.80152138,1751.25400117,1817.36785133,1855.84014481,1953.13365877,2035.83027651,1999.86824363,1954.12215235,2059.71601264,2117.1873969,2126.9736354,2161.94237299,2107.13218774,2056.73690321,1986.87948086,1972.64625031,2080.81845459,2086.26057098,2089.72867687,2161.59295283,2257.10330642,2318.88998182,2326.24122957,2329.07634409,2369.13310286,2418.0983148,2473.00020944,2520.18445683,2605.94890582,2629.59018856,2644.72809244,2691.62954712,2758.61192312,2698.33347843,2740.44922147,2762.68831714,2820.97912872,2843.18756747,2827.16522814,2871.30248483,2820.79608504,2690.3776031,2778.41326159,2779.74540874,2723.43034121,2786.69374345,0.0260326750577,0.218900203705
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,27.067,28.095,28.834,29.871,30.722,28.808,30.6918976784,31.3967443544,32.6598976784,34.1191239535,33.2330290537,35.0718976784,36.6028027787,37.1208027787,39.5210435806,39.4257224058,38.060007105,39.1856639815,40.748941259,40.9254961307,39.976247907,44.1332114314,46.0184377065,47.1943792823,45.2379267321,44.6652947959,45.069627506,48.3647478771,50.2283835744,51.4439374301,53.5706478973,57.4618064603,56.9689024769,59.0270808528,57.8692669955,60.2380464259,59.3607207325,56.7253984656,61.1250213574,64.420251365,68.8411391448,71.7501831859,74.722384646,76.5642925507,75.8037471272,78.1499403182,79.7895943643,82.1665952556,84.5435553922,0.0317475274205,0.00664106057957
Brazil,22.0828967925,24.0845029625,24.968351175,28.6097243075,31.261106305,36.814887909,40.4938639171,46.3993005891,55.5416688489,60.7219809081,64.1629656819,70.5186430628,75.209109655,82.9114645628,89.8989115017,91.5268077933,89.5472197962,93.6950922987,95.6743716716,102.781667422,109.346683207,116.624373543,119.780139758,124.227169076,126.666070863,124.960008085,129.19230937,134.334572509,140.044544183,146.873160004,154.159212954,163.242189641,172.500272409,178.846031085,182.321170029,185.780868523,181.997002492,186.06726434,189.734928591,199.85232594,206.51638952,212.423118832,225.853179464,236.038432638,235.20016884,257.380594414,269.340195358,275.954836821,284.04032773,0.0321200527251,0.0223119203001
Chile,5.9668,6.432,6.5605,6.554,7.0762,7.4453,8.02893415396,8.14389767842,7.81664002806,7.80650865276,7.05794002806,7.30771807938,7.6245020048,7.93319103046,8.36996985564,8.4867588813,8.5279902566,8.27059968321,8.43986521247,8.79548128705,8.88922363669,9.24135701679,9.65352054125,10.7890919446,12.1112342942,12.8253714555,13.4852236505,14.9520114047,15.6690941357,16.8082995474,18.1663416429,19.5819795412,22.3939642933,22.3342267102,23.2424409093,24.3833389319,25.3774554673,25.6605235522,26.1165815971,27.2901162548,28.3314014776,30.8082646157,30.7561631569,30.6340754669,30.8752119763,29.9987353212,32.5880013818,34.0194135141,34.6487633199,0.0212901346385,0.00272172759287
