Renewables: Consumption - Solar *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00067882517989,0.00119948637847,0.00242959988627,0.00320716327414,0.00239920131761,0.00207853070233,0.0572775316179,0.0839016494309,0.107826922892,0.0913419848117,0.105698337404,0.111222648716,0.113553738955,0.11912696225,0.11683289884,0.114845563843,0.113156271956,0.112766118898,0.124052444616,0.126812543227,0.122051624541,0.131457810215,0.125775563482,0.116041621812,0.139831815919,0.197548412578,0.203688466326,0.277057125996,0.415453809489,0.988907722288,2.11467871456,1.14425706863,0.0748784020543
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046445942888,0.00046445942888,0.00046445942888,0.00086937253926,0.00133383196814,0.00157201611078,0.00228656899127,0.00300112184793,0.00371567466886,0.0044302274898,0.00514478031074,0.00515668952442,0.00322739690789,0.00418013400247,0.00513287109705,0.00655006752524,0.00801490080816,0.0248902565959,0.036642846074,0.0998592980536,0.116536684216,0.173885439863,0.496197015047,0.00615708855912
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002171326333,0.00045712133326,0.00068568199989,0.00091424266652,0.00114280333315,0.00114280333315,0.00137136399978,0.00137136399978,0.0015999246664,0.0015999246664,0.0015999246664,0.00182848533303,0.00182848533303,0.00182848533303,0.00205704599966,0.00205704599966,0.00228560666629,0.00205704599966,0.00205704599966,0.00274272799955,0.0070853806655,0.0093709873318,0.00822818399865,0.0128886274155,0.570691525936,0.00045637186849
Total North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00067882517989,0.00119948637847,0.00242959988627,0.00320716327414,0.00239920131761,0.00207853070233,0.0572775316179,0.0841187820642,0.108284044226,0.0924921262405,0.107077039499,0.112829911478,0.115565914828,0.121832158218,0.11977627895,0.118732057501,0.11775731847,0.118081718233,0.130311157439,0.13378580887,0.129036799398,0.136742253123,0.132012743484,0.123460099575,0.148438929444,0.207620359385,0.231321450921,0.320785352735,0.524684094875,1.1136725905,2.30145278183,1.07220518589,0.0814918652177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84667602e-06,5.88315156e-06,8.14590216e-06,9.72982758e-06,1.063492782e-05,1.47078789e-05,1.58392542e-05,1.832827986e-05,2.03647554e-05,2.464135403e-05,3.251572612e-05,1.719690456e-05,1.945965516e-05,0.00031998493328,0.0018513413997,0.00342840999944,0.856925427914,0.00012139615865
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022174955876,0.00031452233335,0.422253280878,1.113688359e-05
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.702176766e-05,0.00152884101914,18.9038486481,5.41345471e-05
