Renewables: Consumption - Solar *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Terawatt-hours,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.00530101010101,0.0107373737374,0.0141737373737,0.010603030303,0.00918585858586,0.253132323232,0.370794949495,0.47653030303,0.403676767677,0.467123232323,0.491537373737,0.501839393939,0.52646969697,0.516331313131,0.507548484848,0.500082828283,0.498358585859,0.548237373737,0.560435353535,0.539394949495,0.580964646465,0.555852525253,0.512834343434,0.617972727273,0.873045454545,0.900180808081,1.22442626263,1.83605656566,4.37037878788,9.34561111111,1.14425706863,0.0748784020543
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002052632,0.002052632,0.002052632,0.003842105,0.005894737,0.006947368,0.010105263,0.0132631578947,0.0164210526316,0.0195789473684,0.0227368421053,0.0227894736842,0.0142631578947,0.0184736842105,0.0226842105263,0.0289473684211,0.0354210526316,0.11,0.161939393939,0.441318181818,0.515022222222,0.768469312928,0.496197015047,0.00615708855912
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009595959596,0.0020202020202,0.0030303030303,0.0040404040404,0.0050505050505,0.0050505050505,0.00606060606061,0.00606060606061,0.00707070707071,0.00707070707071,0.00707070707071,0.00808080808081,0.00808080808081,0.00808080808081,0.00909090909091,0.00909090909091,0.010101010101,0.00909090909091,0.00909090909091,0.0121212121212,0.0313131313131,0.0414141414141,0.0363636363636,0.05696,0.570691525936,0.00045637186849
Total North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.00530101010101,0.0107373737374,0.0141737373737,0.010603030303,0.00918585858586,0.253132323232,0.371754545455,0.478550505051,0.408759702707,0.473216268364,0.498640510788,0.51073200399,0.53842504003,0.529339287192,0.524724454919,0.520416693248,0.521850345561,0.575897129187,0.591253003721,0.57026523126,0.60431871345,0.583417118554,0.545619564062,0.656011004785,0.917557416268,1.0223020202,1.41767878788,2.31878888889,4.92176464646,10.171040424,1.07220518589,0.0814918652177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-05,2.6e-05,3.6e-05,4.3e-05,4.7e-05,6.5e-05,7e-05,8.1e-05,9e-05,0.0001089,0.0001437,7.6e-05,8.6e-05,0.00141414141414,0.00818181818182,0.0151515151515,0.856925427914,0.00012139615865
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00098,0.00139,0.422253280878,1.113688359e-05
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034039,0.00675656,18.9038486481,5.41345471e-05
