Renewable energy - solar,,,,,,,,,,,,,,,,,,,,
Cumulative installed photovoltaic (PV) power* ,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,2013 over,share
Megawatts,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,
US,0.0,0.0,0.0,0.0,0.0,0.0,28.0,73.0,131.0,172.0,275.0,427.0,738.0,1172.0,2022.0,3910.0,7271.0,12022.0,0.653417686701,0.086094722266
Canada,2.6,3.4,4.5,5.8,7.2,8.8,10.0,11.5,13.9,16.8,20.5,25.8,32.7,94.6,281.1,558.3,766.0,1210.0,0.579634464752,0.00866533138761
Mexico,10.0,11.0,12.0,12.9,13.9,15.0,16.2,17.1,18.2,18.7,19.7,20.8,21.8,25.0,30.6,37.1,55.0,100.0,0.818181818182,0.000716143089885
Total North America,12.6,14.4,16.5,18.7,21.1,23.8,54.2,101.6,163.1,207.5,315.2,473.6,792.5,1291.6,2333.7,4505.4,8092.0,13332.0,0.647553138903,0.0954761967435
,,,,,,,,,,,,,,,,,,,,
Austria,0.0,0.0,2.9,3.7,4.9,6.5,10.3,16.8,21.1,24.0,25.6,28.7,32.4,52.6,95.5,187.2,360.0,580.0,0.611111111111,0.00415362992134
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,23.7,107.1,635.7,1054.9,2056.9,2768.0,2983.0,0.0776734104046,0.0213625483713
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,7.0,36.0,141.0,908.0,918.0,0.011013215859,0.00657419356515
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,64.0,462.0,1953.0,1959.0,2072.0,2160.0,0.042471042471,0.0154686907415
Denmark,0.0,0.0,0.0,0.0,1.5,1.5,1.6,1.9,2.3,2.7,2.9,3.1,3.3,4.6,7.1,16.7,379.0,532.0,0.403693931398,0.00380988123819
