Renewables: Consumption - Wind *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Million tonnes oil equivalent,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00060979985857,0.00148335872642,0.00131696656112,0.00095744063251,0.00080933332053,0.00019907634063,0.482729956029,0.637364274962,0.67447132775,0.659974181787,0.687013822892,0.787873530983,0.723223775063,0.739180966565,0.7515154715,0.691555094777,1.02577981471,1.27839946279,1.53988886466,2.36658113927,2.55701468685,3.23270287159,4.07079095247,6.07723087781,7.87389828045,12.6538270427,16.8874635846,21.6337804437,27.4676435807,32.1863023135,38.3215912576,0.193879976869,0.269581347704
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022627505996,0.00022627505996,0.00022627505996,0.00022627505996,0.00022627505996,0.0004342652666,0.0004342652666,0.00065139789989,0.00694824426553,0.0125936927313,0.0128108253646,0.0134622232645,0.0134622232645,0.0134622232645,0.036656559714,0.0597366158302,0.0744444947278,0.091641399285,0.156129791374,0.213829931665,0.351178893062,0.553921346789,0.673667466172,0.848673801874,1.4878116939,1.95432637915,2.28236593203,2.53391252206,2.60936682292,0.0325990952551,0.0183561444282
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022856066663,0.00022856066663,0.00022856066663,0.00022856066663,0.00114280333315,0.0015999246664,0.00137136399978,0.00274272799955,0.00342840999944,0.0038855313327,0.00434265266595,0.00411409199933,0.00479977399921,0.00434265266595,0.00457121333258,0.00434265266595,0.0134850793311,0.0598828946568,0.0614828193232,0.136222157311,0.283186665954,0.316099401948,0.281358180621,0.292609131547,0.0428372807801,0.00205842102878
Total North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00060979985857,0.00148335872642,0.00154324162108,0.00118371569247,0.0010356083805,0.0004253514006,0.482956231089,0.638027100895,0.675134153683,0.660854140354,0.694190627824,0.801610027048,0.737634525094,0.754014553829,0.767720422764,0.708445728041,1.06632190576,1.34247873129,1.61844745139,2.46302231255,2.71748713089,3.45110401659,4.4263124982,6.64463730393,8.60744864128,13.5639836639,18.5114974358,23.8712934888,30.0661089146,35.0015730162,41.2235672121,0.180990025401,0.28999593854
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00217631352672,0.00330180567498,0.00736321672625,0.00787007286057,0.00786486853419,0.0111691632348,0.0166097207766,0.0176390460243,0.016392496719,0.0170568402951,0.0157575689008,0.0139368918858,0.00949248766801,0.00833416300855,0.00573652532018,0.00267415979956,0.0795848241203,0.102075193717,0.286110162735,0.00071806961205
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045255011993,0.00090510023985,0.00113137529981,0.00045255011993,0.00022627505996,0.0078969995927,0.0138027786577,0.0138027786577,0.0138027786577,0.0210209530705,0.0536271892112,0.126487758519,0.267683395936,0.327193736706,0.492600805539,0.6120740372,1.1128207449,1.46286826266,0.318160295486,0.0102908574045
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015999246664,0.0015999246664,0.0015999246664,0.00113137529981,0.00158392541974,0.00158392541974,0.00253428067158,0.00837217721863,0.0176962635199,0.0751540496448,0.075040278092,0.0883427614608,0.124430779518,0.412358909845,0.00087533472106
