Renewables: Consumption - Wind *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 over,share
Terawatt-hours,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00269494949495,0.00655555555556,0.0058202020202,0.00423131313131,0.00357676767677,0.0008797979798,2.13337676768,2.81676767677,2.98075858586,2.91668989899,3.03618888889,3.48192828283,3.19621515152,3.26673636364,3.32124747475,3.05625858586,4.53333131313,5.64975858586,6.80538484848,10.4588686869,11.3004707071,14.2866070707,17.9904535354,26.8577141414,34.7979060606,55.9223232323,74.6324565657,95.6083292929,121.39050404,142.244144444,169.358440404,0.193879976869,0.269581347704
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.00191919191919,0.00191919191919,0.00287878787879,0.0307070707071,0.0556565656566,0.0566161616162,0.059494949495,0.059494949495,0.059494949495,0.162,0.264,0.329,0.405,0.69,0.945,1.552,2.448,2.977206,3.750629,6.575235,8.63695,10.086688,11.198373,11.5318357372,0.0325990952551,0.0183561444282
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010101010101,0.0010101010101,0.0010101010101,0.0010101010101,0.0050505050505,0.00707070707071,0.00606060606061,0.0121212121212,0.0151515151515,0.0171717171717,0.0191919191919,0.0181818181818,0.0212121212121,0.0191919191919,0.020202020202,0.0191919191919,0.059595959596,0.264646464646,0.271717171717,0.60202020202,1.25151515152,1.39696969697,1.24343434343,1.29315679596,0.0428372807801,0.00205842102878
Total North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00269494949495,0.00655555555556,0.0068202020202,0.00523131313131,0.00457676767677,0.0018797979798,2.13437676768,2.8196969697,2.98368787879,2.92057878788,3.06790606061,3.54263535354,3.2599020202,3.33229191919,3.39286363636,3.13090505051,4.7125030303,5.93295050505,7.15256666667,10.8850808081,12.0096626263,15.2518090909,19.5616454545,29.365310101,38.0397585253,59.944669404,81.8097117677,105.496794444,132.874161737,154.685951788,182.183432937,0.180990025401,0.28999593854
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009618,0.014592,0.032541,0.034781,0.034758,0.049361,0.073405,0.077954,0.072445,0.075381,0.069639,0.0615927,0.0419511,0.036832,0.025352,0.0118181818182,0.351717171717,0.451111111111,0.286110162735,0.00071806961205
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.005,0.002,0.001,0.0349,0.061,0.061,0.061,0.0929,0.237,0.559,1.183,1.446,2.177,2.705,4.918,6.465,0.318160295486,0.0102908574045
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00707070707071,0.00707070707071,0.00707070707071,0.005,0.007,0.007,0.0112,0.037,0.078206867,0.332135807,0.331633005,0.390422,0.549909387,0.412358909845,0.00087533472106
