Renewable energy – wind,,,,,,,,,,,,,,,,,,,,,
Cumulative installed wind turbine capacity* ,,,,,,,,,,,,,,,,,,,,Change,2013.0
,,,,,,,,,,,,,,,,,,,,2013 over,share
Megawatts,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2012.0,of total
,,,,,,,,,,,,,,,,,,,,,
US,,,1611.0,2141.0,2445.0,2610.0,4245.0,4674.0,6361.0,6750.0,9181.0,11635.0,16879.0,25237.0,35159.0,40274.0,47084.0,60208.0,61292.0,0.0180042519267,0.191592914465
Canada,,,26.0,83.0,126.0,139.0,214.0,270.0,351.0,444.0,683.0,1459.0,1845.0,2371.0,3321.0,4011.0,5278.0,6214.0,7813.0,0.257322175732,0.0244226887802
Mexico,,,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,86.0,86.0,332.0,453.0,769.0,1123.0,1512.0,1988.0,0.314814814815,0.00621429736274
Total North America,,,1639.0,2226.0,2573.0,2752.0,4462.0,4947.0,6715.0,7197.0,9867.0,13180.0,18810.0,27940.0,38933.0,45054.0,53485.0,67934.0,71093.0,0.0465010156917,0.222229900608
,,,,,,,,,,,,,,,,,,,,,
Argentina,,,0.0,14.0,15.0,16.0,27.0,28.0,30.0,30.0,31.0,31.0,31.0,33.0,33.0,33.0,112.0,166.0,242.0,0.457831325301,0.000756468793654
Brazil,,,0.0,19.0,22.0,22.0,22.0,22.0,29.0,29.0,29.0,237.0,247.0,341.0,606.0,931.0,1430.5,2507.1,3445.3,0.374217223086,0.0107696774164
Costa Rica,,,0.0,27.0,51.0,51.0,71.0,79.0,79.0,79.0,79.0,79.0,79.0,104.0,129.0,179.0,192.0,207.0,249.0,0.202898550725,0.000778350122396
Other S. & Cent. America,,,0.0,6.0,7.0,7.0,9.0,9.0,50.0,54.0,54.0,56.0,79.0,153.0,321.0,463.0,930.0,1154.0,1509.5,0.308058925477,0.00471855224802
Total S. & Cent. America,,,42.0,66.0,95.0,96.0,129.0,138.0,188.0,192.0,193.0,403.0,436.0,631.0,1089.0,1606.0,2664.5,4034.1,5445.8,0.34994174661,0.0170230485805
,,,,,,,,,,,,,,,,,,,,,
Austria,,,20.0,30.0,42.0,77.0,94.0,139.0,415.0,607.0,820.0,966.0,983.0,997.0,997.0,1013.0,1082.0,1378.0,1661.0,0.205370101597,0.00519212672008
Belgium,,,9.0,10.0,11.0,19.0,34.0,45.0,78.0,106.0,177.0,222.0,297.0,385.0,605.0,955.0,1147.0,1444.0,1720.0,0.191135734072,0.00537655506233
Bulgaria,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,112.6,335.0,488.0,582.0,643.0,650.0,0.0108864696734,0.0020318376689
Denmark,,,1116.0,1420.0,1738.0,2341.0,2456.0,2880.0,3076.0,3083.0,3087.0,3101.0,3088.0,3159.0,3408.0,3805.0,3927.0,4137.0,4747.0,0.147449842881,0.0148386667912
Finland,,,12.0,18.0,39.0,39.0,40.0,44.0,53.0,83.0,85.0,89.0,113.0,113.0,117.0,169.0,178.0,268.0,428.0,0.597014925373,0.00133788695737
France,,,13.0,21.0,25.0,63.0,115.0,183.0,274.0,386.0,775.0,1585.0,2471.0,3671.0,4775.0,5940.0,6770.0,7585.0,8120.0,0.0705339485827,0.0253823413408
