Country	Emissions 1850 to 2011
Afghanistan	99.8852
Albania	243.6052
Algeria	2755.7368
Angola	415.3354
Antigua & Barbuda	18.857500000000005
Argentina	6632.649700000001
Armenia	525.2339999999998
Australia	14589.8597
Austria	4825.700499999999
Azerbaijan	2277.1751000000013
Bahamas	145.46820000000002
Bahrain	571.1949
Bangladesh	879.7223999999999
Barbados	43.96629999999999
Belarus	4839.181500000001
Belgium	11389.373200000007
Belize	14.217700000000002
Benin	59.6226
Bhutan	7.9644
Bolivia	315.5342
Bosnia & Herzegovina	771.5882000000001
Botswana	105.451
Brazil	11297.0153
Brunei	205.06609999999992
Bulgaria	3350.8444999999992
Burkina Faso	31.86020000000001
Burundi	9.499800000000002
Cambodia	59.151500000000006
Cameroon	212.66269999999997
Canada	27776.532399999996
Cape Verde	6.9297
Central African Republic	9.9929
Chad	10.1789
Chile	2062.5189
China	140860.32759999996
Colombia	2521.4800999999998
Comoros	3.0975999999999995
Congo	92.7311
Congo, Dem. Republic	172.00820000000002
Cook Islands	1.3949
Costa Rica	175.368
Cote d'Ivoire	195.52459999999996
Croatia	949.1672999999998
Cuba	1415.4108999999996
Cyprus	223.19209999999998
Czech Republic	10866.094299999997
Denmark	3738.185300000001
Djibouti	17.2749
Dominica	3.0799000000000003
Dominican Republic	504.2590999999999
Ecuador	770.5082000000001
Egypt	4313.5649
El Salvador	179.09189999999998
Equatorial Guinea	67.3
Eritrea	12.544600000000003
Estonia	1252.0164
Ethiopia	134.12240000000003
Fiji	39.15109999999999
Finland	2758.7010000000005
France	34119.34190000001
Gabon	160.44809999999995
Gambia	9.493999999999998
Georgia	878.8178000000001
Germany	84123.61650000003
Ghana	219.1027
Greece	3261.496100000001
Grenada	5.7761
Guatemala	284.0896000000001
Guinea	54.82650000000001
Guinea-Bissau	8.4585
Guyana	77.4698
Haiti	53.190999999999995
Honduras	170.85309999999998
Hungary	4467.161499999999
Iceland	103.3942
India	35581.287599999996
Indonesia	9135.0599
Iran	11777.081100000001
Iraq	2867.2374
Ireland	1848.8878
Israel	1818.6773000000003
Italy	21061.622499999998
Jamaica	369.5688
Japan	49858.12470000001
Jordan	478.48539999999997
Kazakhstan	11407.845000000003
Kenya	319.4252999999999
Kiribati	1.5030000000000001
Korea (North)	4322.171800000001
Korea (South)	12606.579099999999
Kuwait	1903.3296000000003
Kyrgyzstan	648.1075999999998
Laos	29.3539
Latvia	676.2178999999999
Lebanon	511.48850000000004
Lesotho	6.388300000000001
Liberia	42.207
Libya	1382.3304999999998
Lithuania	1148.2503999999994
Luxembourg	676.1432
Macedonia, FYR	441.85
Madagascar	66.09479999999999
Malawi	37.919799999999995
Malaysia	3505.2327000000005
Maldives	13.4259
Mali	21.180899999999998
Malta	83.7982
Mauritania	67.3265
Mauritius	80.23369999999998
Mexico	14523.607099999994
Moldova	927.8733
Mongolia	399.4163000000001
Montenegro	14.43
Morocco	1184.8654
Mozambique	117.96300000000001
Myanmar	364.3719
Namibia	44.4365
Nauru	5.082300000000001
Nepal	68.54010000000001
Netherlands	10354.034500000003
New Zealand	1495.1594
Nicaragua	130.0996
Niger	34.0811
Nigeria	2647.9456
Niue	0.18709999999999996
Norway	2045.4057999999998
Oman	707.8299999999999
Pakistan	3270.3104000000008
Panama	210.15489999999994
Papua New Guinea	106.40939999999998
Paraguay	113.2855
Peru	1437.8108000000002
Philippines	2347.7657
Poland	24009.5017
Portugal	2130.2852000000007
Qatar	939.4642999999998
Romania	7529.994300000002
Russian Federation	101116.7467
Rwanda	22.666600000000003
Saint Kitts & Nevis	4.171600000000001
Saint Lucia	9.5703
Saint Vincent & Grenadines	4.6763
Samoa	5.1405
Sao Tome & Principe	2.313400000000001
Saudi Arabia	8588.4125
Senegal	150.086
Serbia	2506.6561
Seychelles	13.0252
Sierra Leone	29.774800000000003
Singapore	1383.0524000000003
Slovakia	3264.5442999999996
Slovenia	667.0858000000004
Solomon Islands	6.204999999999999
South Africa	14479.563600000001
Spain	12184.828200000005
Sri Lanka	342.5115
Sudan	291.3838
Suriname	98.33190000000002
Swaziland	27.9039
Sweden	4542.6835999999985
Switzerland	2701.1889
Syria	1383.3578
Taiwan	6574.1014000000005
Tajikistan	322.1359
Tanzania	138.67729999999995
Thailand	4874.157999999999
Togo	35.813500000000005
Tonga	3.9172000000000002
Trinidad & Tobago	1068.8477999999998
Tunisia	658.2871
Turkey	6956.7147
Turkmenistan	2028.1755999999991
Uganda	66.49229999999997
Ukraine	26594.401799999996
United Arab Emirates	2768.6456000000003
United Kingdom	70042.31319999999
United States of America	361299.98259999993
Uruguay	313.7181
Uzbekistan	6454.1143999999995
Vanuatu	3.4322999999999997
Venezuela	5656.809499999999
Vietnam	2203.0774
Yemen	463.5313999999999
Zambia	190.82310000000004
Zimbabwe	666.1325999999998
World	1304687.3218
European Union (15)	267057.2104
European Union (28)	325545.07910000003
