,Fossil fuel and cement production emissions by fuel type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cite as: Boden, TA, Marland, G and Andres, RJ 2013. Global, Regional, and National Fossil-Fuel CO2 Emissions, Carbon Dioxide Information Analysis Center, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tenn., USA doi 10.3334/CDIAC/00001_V2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Methods: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1959-2010 estimates for fossil fuel combustion are from the Carbon Dioxide Information Analysis Center (CDIAC) at Oak Ridge National Laboratory.  http://cdiac.ornl.gov/trends/emis/meth_reg.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2011, 2012 and 2013 estimates are based on energy statistics published by BP (data in red) http://www.bp.com/en/global/corporate/about-bp/energy-economics/statistical-review-of-world-energy.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions from cement production were estimated by CDIAC based on cement production data from the US Geological Survey. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The uncertainty around the estimate is about ±5 % for a ± 1 sigma confidence level. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MtC/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Total,Coal,Oil,Gas,Cement,Flaring,Per Capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959.0,2454.0,1382.0,789.0,206.0,40.0,36.0,0.826152524332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960.0,2569.0,1410.0,849.0,227.0,43.0,39.0,0.848974719867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961.0,2580.0,1349.0,904.0,240.0,45.0,42.0,0.836893301735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962.0,2686.0,1351.0,980.0,263.0,49.0,44.0,0.855122200654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963.0,2833.0,1396.0,1052.0,286.0,51.0,47.0,0.884986637687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964.0,2995.0,1435.0,1137.0,316.0,57.0,51.0,0.917659210546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965.0,3130.0,1460.0,1219.0,337.0,59.0,55.0,0.940187698033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966.0,3288.0,1478.0,1323.0,364.0,63.0,60.0,0.967777470315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967.0,3393.0,1448.0,1423.0,392.0,65.0,66.0,0.978226538563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968.0,3566.0,1448.0,1551.0,424.0,70.0,73.0,1.00686825012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
