,Historical CO2 budget,,,
,"All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide (CO2) per year, multiply the numbers below by 3.664.",,,
,1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2,,,
,,,,
,Please note: The methods used to estimate the historical fluxes presented below differ from the carbon budget presented for 1959-2012. The atmospheric growth and ocean sink do not account for year-to-year variability. ,,,
,Uncertainties: see the original papers for uncertainties,,,
,,,,
,Cite as:,,,
,"Fossil fuel combustion and cement production emissions:  Boden, TA, Marland, G and Andres, RJ 2013. Global, Regional, and National Fossil-Fuel CO2 Emissions, Carbon Dioxide Information Analysis Center, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tenn., U.S.A.",,,
,"Land-use change emissions:  Houghton, RA, van der Werf, GR, DeFries, RS, Hansen, MC, House, JI, Le Quéré, C, Pongratz, J and Ramankutty, N 2012. Chapter G2 Carbon emissions from land use and land-cover change, Biogeosciences, 9, 5125-514.",,,
,"Atmospheric CO2 growth rate: Joos, F and Spahni, R 2008. Rates of change in natural and anthropogenic radiative forcing over the past 20,000 years, Proceedings of the National Academy of Science, 105, 1425-1430.",,,
,"Ocean CO2 sink: Khatiwala, S, Tanhua, T, Mikaloff Fletcher, SE, Gerber, M, Doney, SC, Graven, HD, Gruber, N, McKinley, GA, Murata, A, Rios, AF and Sabine, CL 2013 Global ocean storage of anthropogenic carbon, Biogeosciences, 10, 2169-2191.",,,
,,,,
,,,,
Year,fossil fuel and cement emissions,land-use change emissions,atmospheric growth,ocean sink
1750.0,,,-0.077592,
1751.0,0.003,,-0.073988,
1752.0,0.003,,-0.070596,
1753.0,0.003,,-0.067628,
1754.0,0.003,,-0.064024,
1755.0,0.003,,-0.058088,
1756.0,0.003,,-0.050244,
1757.0,0.003,,-0.04028,
1758.0,0.003,,-0.028408,
1759.0,0.003,,-0.014204,
1760.0,0.003,,0.001908,
1761.0,0.003,,0.02014,
1762.0,0.003,,0.040492,
1763.0,0.003,,0.062752,
1764.0,0.003,,0.087344,
1765.0,0.003,,0.11236,0.00708
1766.0,0.003,,0.135256,0.01765
1767.0,0.003,,0.156032,0.02636
1768.0,0.003,,0.174476,0.03481
1769.0,0.003,,0.190588,0.04278
1770.0,0.003,,0.20458,0.05073
1771.0,0.004,,0.216452,0.05783
1772.0,0.004,,0.225992,0.06431
1773.0,0.004,,0.2332,0.07128
1774.0,0.004,,0.238288,0.07788
1775.0,0.004,,0.242528,0.0843
1776.0,0.004,,0.248464,0.09078
1777.0,0.004,,0.256308,0.09623
1778.0,0.004,,0.26606,0.10231
1779.0,0.004,,0.27772,0.10794
1780.0,0.004,,0.2915,0.11325
1781.0,0.005,,0.31482,0.11866
1782.0,0.005,,0.348316,0.12431
1783.0,0.005,,0.378844,0.12904
1784.0,0.005,,0.40598,0.13414
1785.0,0.005,,0.429512,0.13841
1786.0,0.005,,0.44944,0.14346
1787.0,0.005,,0.465764,0.14786
1788.0,0.005,,0.478696,0.15221
1789.0,0.005,,0.488024,0.15602
1790.0,0.005,,0.493748,0.16038
