Country Name,Alpha-3,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,"CO2 emissions per capita (tonnes, 2008)"
Burundi,BDI,,,0.014449371,0.015383439,0.015112187,0.011413493,0.014553964,0.01426645,0.016146361,0.021164785,0.017742712,0.020659946,0.020502143,0.020359758,0.025225051,0.020923535,0.023516133,0.025924592,0.026259014,0.02740528,0.035515764,0.037037768,0.03587279,0.045207153,0.046861971,0.047627333,0.048325137,0.051813805,0.048239953,0.054997492,0.05433349,0.060219461,0.054674399,0.056859488,0.056676716,0.054823501,0.053748556,0.051017125,0.048315783,0.046686152,0.047172518,0.033286854,0.033055537,0.02412936,0.022920267,0.02275622,0.02649296,0.022620457
Afghanistan,AFG,0.042846555,0.049835861,0.068552416,0.0689712,0.080167139,0.094263096,0.099999414,0.114966817,0.107332893,0.080707357,0.139754713,0.154471066,0.121712242,0.126913331,0.145028088,0.157480513,0.143530481,0.168398599,0.148372084,0.150115017,0.11501916,0.126699686,0.131154204,0.153909474,0.168788765,0.20449726,0.179392611,0.174707479,0.157082147,0.148958102,0.14071464,0.126777368,0.070145338,0.065402881,0.060727374,0.056451371,0.051839219,0.046827027,0.043105014,0.033012123,0.030098129,0.024174312,0.013084257,0.020634867,0.024220736,0.023420762,0.022656662,0.02503483
Mali,MLI,0.023059039,0.022081441,0.025893596,0.032293207,0.031874074,0.035377806,0.033596561,0.038849502,0.033882325,0.027180525,0.033424638,0.037037821,0.039315895,0.042058302,0.046943428,0.051638041,0.050705078,0.060505048,0.056783889,0.060374898,0.054152742,0.053556519,0.048554501,0.054203417,0.055471819,0.050817976,0.04685677,0.043514076,0.045954174,0.049103894,0.048623477,0.049244462,0.04888654,0.048824863,0.048309373,0.047776021,0.048322891,0.050560593,0.048492021,0.0491397,0.048047847,0.046940935,0.046135828,0.043541557,0.044214401,0.0431358,0.041815164,0.041082601
"Congo, Dem. Rep.",COD,0.151046371,0.14954175,0.134386246,0.138182708,0.11581985,0.140883148,0.133283829,0.123358282,0.176160109,0.185449649,0.133891488,0.142140749,0.140990171,0.144964598,0.148726207,0.138868298,0.142181121,0.140956434,0.138806809,0.143016122,0.129613427,0.135956383,0.107629089,0.137225274,0.131400232,0.117295228,0.105660484,0.117046137,0.118326953,0.125095173,0.111804228,0.09919133,0.091759092,0.083012725,0.058121398,0.067319721,0.071728871,0.063107784,0.053487544,0.046414963,0.033177696,0.030708505,0.029410705,0.031384031,0.040908954,0.041254972,0.041641953,0.045078199
Chad,TCD,0.01861996,0.017014177,0.027356316,0.029097577,0.030755214,0.032337382,0.025116648,0.034232157,0.035625533,0.045128861,0.034103184,0.04017202,0.031557873,0.041062356,0.037369075,0.044566313,0.043643612,0.046203944,0.044468215,0.045230263,0.045896995,0.044891278,0.043094461,0.042055224,0.043173529,0.034880834,0.035256358,0.036199335,0.011691359,0.01762081,0.02440102,0.011241631,0.013777393,0.015039923,0.015130915,0.014671966,0.014730822,0.015261556,0.01478276,0.01522729,0.021407079,0.020233639,0.019100691,0.041661837,0.039863777,0.040844779,0.040364289,0.046466685
Niger,NER,0.009026559,0.016445888,0.01916634,0.024809009,0.026086747,0.024345183,0.034969626,0.033021079,0.0391688,0.04492656,0.049475218,0.051280816,0.054524238,0.069045825,0.058840782,0.065802322,0.063879477,0.068145399,0.075428469,0.08419212,0.097436395,0.11356459,0.12049816,0.151126403,0.151495962,0.147908927,0.130104309,0.140394246,0.134946198,0.137838605,0.106880821,0.102211691,0.094548251,0.10259086,0.098374921,0.100278856,0.106923216,0.102897281,0.105483097,0.10046843,0.07285372,0.067125929,0.06954223,0.072623916,0.070142971,0.063497181,0.060752795,0.058874989
Central African Republic,CAF,0.058535067,0.057550269,0.047113541,0.046248709,0.045368952,0.053375771,0.050117061,0.053344079,0.104457578,0.104353605,0.114298666,0.098323434,0.08874623,0.083280256,0.057529283,0.05089617,0.062259091,0.060878025,0.067953118,0.046386434,0.046772342,0.057988451,0.059312551,0.059023307,0.058779627,0.061427574,0.059975095,0.094685533,0.082279234,0.086928602,0.067472929,0.068283441,0.070131587,0.070655798,0.072268262,0.070525376,0.068895164,0.070518684,0.070051612,0.072688089,0.07231751,0.065220219,0.064161329,0.060329942,0.059380393,0.058410903,0.061004019,0.061434496
Rwanda,RWA,0.038345474,0.048755958,0.028659068,0.027810119,0.011733217,0.014801119,0.013257296,0.011791376,0.015599441,0.016139845,0.015651409,0.016122846,0.01654744,0.016925523,0.017257035,0.040098241,0.059014029,0.057089181,0.059758275,0.059271458,0.095588333,0.112553524,0.110625819,0.122901226,0.108271338,0.101309887,0.094037031,0.092332816,0.100110653,0.096759099,0.095936192,0.091792516,0.098882512,0.107232094,0.109718383,0.109940099,0.108673755,0.103644597,0.092412771,0.088497073,0.084675213,0.081518104,0.079273923,0.077000774,0.076517469,0.074920284,0.073018362,0.070377601
Somalia,SOM,0.029916155,0.030510132,0.036023222,0.033975152,0.043838565,0.041631268,0.042811054,0.067910957,0.044740064,0.045728181,0.060077929,0.051282522,0.0638862,0.070876719,0.085479383,0.121996731,0.106253979,0.158530709,0.099468948,0.080034429,0.126495648,0.041684861,0.108765204,0.143392257,0.111386306,0.134837552,0.145014679,0.154632035,0.15503326,0.145670686,0.002778346,0.000556865,0.001681241,0.001692876,0.001696578,0.001686055,,,,,0.069880348,0.0661293,0.073422327,0.072127568,0.070459689,0.069305714,0.067355274,0.072746031
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057547512,0.09245968,0.106761659,0.158327779,0.17221165,0.175068682,0.165973929,0.165436975,0.152254432,0.17514558,0.178325344,0.170837387,0.120764245,0.083753257
Malawi,MWI,,,,,0.08510725,0.087646005,0.105294714,0.087761327,0.090656673,0.086581883,0.100348687,0.107624453,0.113497033,0.115120116,0.10717862,0.109279742,0.106375685,0.112528326,0.114438722,0.105376243,0.114007953,0.094405449,0.09045598,0.085402423,0.07999899,0.076687437,0.072277303,0.067219506,0.062984921,0.062391334,0.065280466,0.06887322,0.067797092,0.071290896,0.073548909,0.07383458,0.070641039,0.073559435,0.078092201,0.091320253,0.080663343,0.078560372,0.074684305,0.07880538,0.078203969,0.071494933,0.072254356,0.087714037
Ethiopia,ETH,0.015608856,0.01477322,0.016748889,0.017401196,0.016381878,0.025329156,0.031577666,0.040104189,0.06285932,0.059171414,0.057108159,0.062188056,0.045952801,0.055639607,0.053830135,0.036715656,0.035151911,0.030933631,0.039991159,0.053148534,0.051444828,0.05144354,0.039697071,0.047908085,0.041863174,0.044188771,0.052215442,0.058936573,0.059089831,0.060479175,0.062440252,0.059700139,0.057347506,0.096503227,0.054327347,0.037735731,0.063451782,0.070694429,0.080860861,0.079461764,0.088909987,0.064019111,0.064904846,0.069885598,0.071644577,0.073918847,0.078895598,0.089452062
Madagascar,MDG,0.078317056,0.068051331,0.073962394,0.084212426,0.086080409,0.096696238,0.098034923,0.139163019,0.146874913,0.133359898,0.148383963,0.152662948,0.186285563,0.15132669,0.16280557,0.22582406,0.128825407,0.106777175,0.12497231,0.133852487,0.187418602,0.116229854,0.111715372,0.071446225,0.100811557,0.110558381,0.117072153,0.128383705,0.124763013,0.088380298,0.087444002,0.092458228,0.08727508,0.086747223,0.103428732,0.099989588,0.104212502,0.121694224,0.120448301,0.129274293,0.121960676,0.109919204,0.075633847,0.104289439,0.111544285,0.095334795,0.092138328,0.097742732
