Alpha-3,Country name,CO2 emissions (% change 1990-2008)
YEM,"Yemen, Rep.",-879.5843521
AFG,Afghanistan,-69.5890411
PRK,"Korea, Dem. Rep.",-67.99017479
GAB,Gabon,-48.97804693
ALB,Albania,-44.22135162
ZWE,Zimbabwe,-41.46168401
BDI,Burundi,-40.96385542
ROU,Romania,-40.41364665
BGR,Bulgaria,-34.98136529
BMU,Bermuda,-34.96932515
SGP,Singapore,-31.20068745
COD,"Congo, Dem. Rep.",-30.81081081
MRT,Mauritania,-25.0343879
ZMB,Zambia,-22.7886057
POL,Poland,-13.82523495
HUN,Hungary,-13.26114798
PLW,Palau,-9.375
DNK,Denmark,-8.72
GBR,United Kingdom,-8.306109325
CHE,Switzerland,-5.9912947
CUB,Cuba,-5.763308403
FRA,France,-5.524003823
SWE,Sweden,-5.141479328
BEL,Belgium,-3.309668695
PNG,Papua New Guinea,-1.54109589
NER,Niger,2.202643172
RWA,Rwanda,3.225806452
GRL,Greenland,3.289473684
ITA,Italy,4.93533663
NLD,Netherlands,5.862639081
LUX,Luxembourg,6.152705708
ISL,Iceland,7.610619469
MNG,Mongolia,8.470244615
JPN,Japan,10.36415223
BHS,"Bahamas, The",10.52631579
FIN,Finland,10.93435071
AUT,Austria,11.09841193
GNB,Guinea-Bissau,11.5942029
USA,United States,11.92032574
ISR,Israel,12.3127392
FRO,Faeroe Islands,13.52941176
MLT,Malta,17.50841751
COL,Colombia,18.07367613
CAN,Canada,20.88856661
CIV,Cote d'Ivoire,20.99936749
SLB,Solomon Islands,22.72727273
ABW,Aruba,24.30278884
LBR,Liberia,25.75757576
BRB,Barbados,25.93856655
PRT,Portugal,28.78228782
MAC,"Macao SAR, China",29.07801418
WSM,Samoa,29.41176471
ZAF,South Africa,30.69268829
DJI,Djibouti,31.19266055
CAF,Central African Republic,31.48148148
VUT,Vanuatu,31.57894737
GIN,Guinea,31.94444444
KIR,Kiribati,33.33333333
GUY,Guyana,33.76205788
GRC,Greece,34.49979831
SUR,Suriname,34.61538462
BLZ,Belize,36.47058824
NZL,New Zealand,37.76522668
VEN,"Venezuela, RB",38.77649036
AUS,Australia,38.94022155
HKG,"Hong Kong SAR, China",39.45379822
MLI,Mali,40.86956522
DZA,Algeria,41.07831745
PYF,French Polynesia,41.27906977
WLD,World,42.23703463
IRL,Ireland,43.35141652
LBY,Libya,44.67485221
ESP,Spain,44.68218803
MEX,Mexico,46.1387722
ATG,Antigua and Barbuda,48.7804878
JAM,Jamaica,53.2228361
FJI,Fiji,53.3632287
SEN,Senegal,56.33640553
ECU,Ecuador,59.33347854
NOR,Norway,59.56226592
COM,Comoros,61.9047619
COG,"Congo, Rep.",62.96296296
NIC,Nicaragua,63.80027739
BRN,Brunei Darussalam,64.99143347
KWT,Kuwait,68.95131993
ARG,Argentina,70.83034842
KEN,Kenya,78.46347607
PRY,Paraguay,82.00972447
TGO,Togo,83.41232227
CYP,Cyprus,83.84554768
PHL,Philippines,86.73418972
LBN,Lebanon,87.9484079
BRA,Brazil,88.2452075
TUR,Turkey,88.32713212
TUN,Tunisia,88.52957435
BHR,Bahrain,89.13915458
SYR,Syrian Arab Republic,91.17791051
PER,Peru,91.47756799
MDG,Madagascar,93.6802974
NCL,New Caledonia,93.90519187
STP,Sao Tome and Principe,94.44444444
IRQ,Iraq,95.86240581
MWI,Malawi,100.5988024
SAU,Saudi Arabia,101.6028374
GRD,Grenada,103.030303
MAR,Morocco,103.4890966
JOR,Jordan,105.5340148
MHL,Marshall Islands,107.6923077
URY,Uruguay,108.5399449
KOR,"Korea, Rep.",108.8345441
CHL,Chile,109.4662744
NGA,Nigeria,111.0311944
GMB,"Gambia, The",115.3846154
GHA,Ghana,118.5634328
DMA,Dominica,118.75
CYM,Cayman Islands,120.2898551
PAN,Panama,120.4678363
BWA,Botswana,122.2222222
DOM,Dominican Republic,125.862069
TON,Tonga,128.5714286
MOZ,Mozambique,131.1355311
BOL,Bolivia,133.1778814
SLV,El Salvador,133.4733894
GTM,Guatemala,134.2465753
ETH,Ethiopia,135.4799514
IRN,"Iran, Islamic Rep.",136.9887336
PAK,Pakistan,137.9880201
LCA,St. Lucia,140
HTI,Haiti,145.0184502
VCT,St. Vincent and the Grenadines,150
IND,India,152.353947
SDN,Sudan,152.7704485
SWZ,Swaziland,156.8965517
MUS,Mauritius,170.1754386
CRI,Costa Rica,171.2158809
IDN,Indonesia,171.4713021
TZA,Tanzania,172.488408
EGY,"Egypt, Arab Rep.",176.9435056
CHN,China,185.7638242
TTO,Trinidad and Tobago,193.4702703
ARE,United Arab Emirates,198.152718
THA,Thailand,198.1556593
MMR,Myanmar,198.7993139
BGD,Bangladesh,199.5278565
