Country Name,Country Code,Year,Value
Aruba,ABW,2011,36016.4837574639
Andorra,AND,,
Afghanistan,AFG,2013,1989.61329242518
Angola,AGO,2013,7538.1911705644
Albania,ALB,2013,10488.8225273186
Andean Region,ANR,,
Arab World,ARB,2013,15990.8536433576
United Arab Emirates,ARE,2012,58041.8795805189
Argentina,ARG,,
Armenia,ARM,2013,7774.38478396039
American Samoa,ASM,,
Antigua and Barbuda,ATG,2013,20976.5059543774
Australia,AUS,2013,43550.0818923038
Austria,AUT,2013,44167.5163003374
Azerbaijan,AZE,2013,17139.2877347695
Burundi,BDI,2013,770.617759560868
Belgium,BEL,2013,40338.1460668302
Benin,BEN,2013,1790.96197491178
Burkina Faso,BFA,2013,1634.02018861703
Bangladesh,BGD,2013,2557.40593373509
Bulgaria,BGR,2013,15940.5437767067
Bahrain,BHR,2013,43823.506400795
"Bahamas, The",BHS,2012,23102.1712190556
Bosnia and Herzegovina,BIH,2013,9632.38354163581
Belarus,BLR,2013,17615.4617199328
Belize,BLZ,2013,8441.7739449999
Bermuda,BMU,2012,53029.822716864
Bolivia,BOL,2013,6129.56267776835
Brazil,BRA,2013,15033.7808938686
Barbados,BRB,2012,15566.1807005546
Brunei Darussalam,BRN,2013,71759.0990174481
Bhutan,BTN,2013,7669.24272310753
Botswana,BWA,2013,15675.2287474286
Sub-Saharan Africa (IFC classification),CAA,,
Central African Republic,CAF,2013,603.595347967724
Canada,CAN,2013,43207.4571608527
East Asia and the Pacific (IFC classification),CEA,,
Central Europe and the Baltics,CEB,2013,22474.8292753607
Europe and Central Asia (IFC classification),CEU,,
Switzerland,CHE,2013,53705.2777959295
Channel Islands,CHI,,
Chile,CHL,2013,21911.3009745228
China,CHN,2013,11903.5963385802
Cote d'Ivoire,CIV,2013,3011.92748487257
Latin America and the Caribbean (IFC classification),CLA,,
Middle East and North Africa (IFC classification),CME,,
Cameroon,CMR,2013,2711.04050923754
"Congo, Rep.",COG,2013,5867.04573973378
Colombia,COL,2013,12370.9430870672
Comoros,COM,2013,1558.78346337287
Cabo Verde,CPV,2013,6412.37601979362
Costa Rica,CRI,2013,13872.4637832663
South Asia (IFC classification),CSA,,
Caribbean small states,CSS,2013,14744.4831973674
Cuba,CUB,2011,18796.1925231461
Curacao,CUW,,
Cayman Islands,CYM,,
Cyprus,CYP,2012,30488.936325098
Czech Republic,CZE,2013,27344.2703641341
Germany,DEU,2013,43331.6961569095
Djibouti,DJI,2013,2998.00741016262
Dominica,DMA,2013,10029.5186951405
Denmark,DNK,2013,42789.6184223607
Dominican Republic,DOM,2013,11695.7828348624
Algeria,DZA,2013,13304.0120425689
East Asia & Pacific (developing only),EAP,2013,10791.2152501861
East Asia & Pacific (all income levels),EAS,2013,13752.1730019027
Europe & Central Asia (developing only),ECA,2013,13996.4398004219
Europe & Central Asia (all income levels),ECS,2013,27547.7525368383
Ecuador,ECU,2013,10468.7324863514
"Egypt, Arab Rep.",EGY,2013,11084.7485964548
Euro area,EMU,2013,37005.3439090074
Eritrea,ERI,2013,1195.38442088589
Spain,ESP,2013,32103.4833830297
Estonia,EST,2013,25048.6865082576
Ethiopia,ETH,2013,1353.79274120773
European Union,EUU,2013,34340.8681983637
Fragile and conflict affected situations,FCS,2013,3504.7182321141
Finland,FIN,2013,38250.6596962464
Fiji,FJI,2013,7948.26443802925
France,FRA,2013,36907.2703444179
Faeroe Islands,FRO,,
"Micronesia, Fed. Sts.",FSM,2013,3558.08914749464
Gabon,GAB,2013,19259.6259158549
United Kingdom,GBR,2013,36209.3533972024
Georgia,GEO,2013,7164.58133512128
Ghana,GHA,2013,3974.49529865596
Guinea,GIN,2013,1255.22782515398
"Gambia, The",GMB,2013,1666.37523527145
Guinea-Bissau,GNB,2013,1242.4515266245
Equatorial Guinea,GNQ,2013,33720.2207834462
Greece,GRC,2013,25650.9603475335
Grenada,GRD,2013,11497.981844052
Greenland,GRL,,
Guatemala,GTM,2013,7294.80086328858
Guam,GUM,,
Guyana,GUY,2013,6550.97147465391
High income,HIC,2013,40188.4316384884
"Hong Kong SAR, China",HKG,2013,53202.9263700728
Honduras,HND,2013,4591.4705354994
Heavily indebted poor countries (HIPC),HPC,2013,1897.50651733249
Croatia,HRV,2013,20904.0930552729
Haiti,HTI,2013,1702.61296811223
Hungary,HUN,2012,22189.7797462044
Indonesia,IDN,2013,9558.78870913169
Isle of Man,IMN,,
India,IND,2013,5410.29199645222
Not classified,INX,,
Ireland,IRL,2013,43304.2533376186
"Iran, Islamic Rep.",IRN,2013,15586.3402583748
Iraq,IRQ,2013,15187.8668979004
Iceland,ISL,2013,39996.0692879195
Israel,ISR,2013,32760.4112142528
Italy,ITA,2013,34302.6271840858
Jamaica,JAM,2013,8889.71752400759
Jordan,JOR,2013,11781.6233151705
Japan,JPN,2013,36315.4508957567
Kazakhstan,KAZ,2013,23205.6376685036
Kenya,KEN,2013,2264.69984543833
Kyrgyz Republic,KGZ,2013,3212.15340238369
Cambodia,KHM,2013,3041.84877463905
Kiribati,KIR,2013,1855.37500483335
St. Kitts and Nevis,KNA,2013,20929.4940487465
"Korea, Rep.",KOR,2013,33139.5820334768
Kosovo,KSV,2013,8739.60345148295
Kuwait,KWT,2012,85659.5481463282
Latin America & Caribbean (developing only),LAC,2013,14509.5993644694
Lao PDR,LAO,2013,4812.00826134972
Lebanon,LBN,2013,17169.6433264589
Liberia,LBR,2013,877.780815000467
Libya,LBY,2013,21397.2563158012
St. Lucia,LCA,2013,10560.2879385193
Latin America & Caribbean (all income levels),LCN,2013,14977.8099258796
Latin America and the Caribbean,LCR,,
Least developed countries: UN classification,LDC,2013,2003.18215687881
Low income,LIC,2013,1753.98689319694
Liechtenstein,LIE,,
Sri Lanka,LKA,2013,9735.73825770562
Lower middle income,LMC,2013,6016.53453320035
Low & middle income,LMY,2013,8514.62718979498
Lesotho,LSO,2013,2585.65080231069
Lithuania,LTU,2012,23876.2678188538
Luxembourg,LUX,2013,90789.6466182457
Latvia,LVA,2012,21380.5974450215
"Macao SAR, China",MAC,2013,142564.375590854
St. Martin (French part),MAF,,
Morocco,MAR,2013,7200.41236848714
Mexico and Central America,MCA,,
Monaco,MCO,,
Moldova,MDA,2013,4669.23442276151
Madagascar,MDG,2013,1394.64816068263
Maldives,MDV,2013,11653.8928266447
Middle East & North Africa (all income levels),MEA,2013,17944.6261399565
Mexico,MEX,2013,16463.392673388
Marshall Islands,MHL,2013,3710.34862570951
Middle income,MIC,2013,9671.30684829546
"Macedonia, FYR",MKD,2013,11802.3717546351
Mali,MLI,2013,1641.4331017926
Malta,MLT,2012,28385.1767636384
Myanmar,MMR,,
Middle East & North Africa (developing only),MNA,2013,11871.6693622747
Montenegro,MNE,2013,14318.3630314046
Mongolia,MNG,2013,9432.65597296666
Northern Mariana Islands,MNP,,
Mozambique,MOZ,2013,1045.38143330802
Mauritania,MRT,2013,3042.49451782993
Mauritius,MUS,2013,17199.9523400188
Malawi,MWI,2013,779.811956614749
Malaysia,MYS,2013,23297.6255555944
North America,NAC,2013,52148.9796288187
Namibia,NAM,2013,9684.98951636891
New Caledonia,NCL,,
Niger,NER,2013,912.574314313373
Nigeria,NGA,2013,5863.03760696587
Nicaragua,NIC,2013,4570.83286318717
Netherlands,NLD,2013,43403.7168189211
High income: nonOECD,NOC,2013,35757.9639338741
Norway,NOR,2013,65461.1653874422
Nepal,NPL,2013,2244.25078728889
New Zealand,NZL,2013,34227.1177524294
High income: OECD,OEC,2013,41386.8583284674
OECD members,OED,2013,37494.6665260424
Oman,OMN,2013,44051.8670632367
Other small states,OSS,2013,9100.22930624996
Pakistan,PAK,2013,4698.88875560444
Panama,PAN,2013,19411.4848553484
Peru,PER,2013,11775.3677700981
Philippines,PHL,2013,6532.58432434013
Palau,PLW,2013,15092.3039206849
Papua New Guinea,PNG,2013,2538.46091278789
Poland,POL,2013,23274.8028638442
Puerto Rico,PRI,2012,34673.5291340133
"Korea, Dem. Rep.",PRK,,
Portugal,PRT,2013,25892.4372046098
Paraguay,PRY,2013,8043.02464261835
Pacific island small states,PSS,2013,5063.71916949501
French Polynesia,PYF,,
Qatar,QAT,2013,131757.562355382
Romania,ROU,2013,18634.7987108697
Russian Federation,RUS,2013,24120.2932152324
Rwanda,RWA,2013,1451.75036967892
South Asia,SAS,2013,5005.46736187839
Saudi Arabia,SAU,2013,53780.417220246
Southern Cone Extended,SCE,,
Sudan,SDN,2013,3372.14898641569
Senegal,SEN,2013,2268.57571047308
Singapore,SGP,2013,78744.1277308431
Solomon Islands,SLB,2013,2068.45521267054
Sierra Leone,SLE,2013,1926.52045964444
El Salvador,SLV,2013,7762.24445449624
San Marino,SMR,,
Somalia,SOM,,
Serbia,SRB,2013,12373.9881850575
Sub-Saharan Africa (developing only),SSA,2013,3352.4835799038
South Sudan,SSD,2013,2330.01169585373
Sub-Saharan Africa (all income levels),SSF,2013,3377.17919653971
Small states,SST,2013,10132.1576373629
Sao Tome and Principe,STP,2013,2970.34067022299
Suriname,SUR,2013,16226.1841884732
Slovak Republic,SVK,2012,25333.2345548333
Slovenia,SVN,2012,27915.4235076236
Sweden,SWE,2013,43454.7801679166
Swaziland,SWZ,2013,6683.49827018616
Sint Maarten (Dutch part),SXM,,
Seychelles,SYC,2013,24188.6491069447
Syrian Arab Republic,SYR,,
Turks and Caicos Islands,TCA,,
Chad,TCD,2013,2080.73990948724
Togo,TGO,2013,1390.17973654735
Thailand,THA,2013,14390.0115646258
Tajikistan,TJK,2013,2511.63333566564
Turkmenistan,TKM,2013,14000.7361167046
Timor-Leste,TLS,2013,2241.88768017345
Tonga,TON,2013,5302.90983968377
Trinidad and Tobago,TTO,2013,30438.5636578048
Tunisia,TUN,2013,11092.1478060064
Turkey,TUR,2013,18975.4557573468
Tuvalu,TUV,2013,3637.1367831889
Tanzania,TZA,2013,1774.62459002388
Uganda,UGA,2013,1410.02888909737
Ukraine,UKR,2013,8787.83289835477
Upper middle income,UMC,2013,13580.2140266636
Uruguay,URY,2013,19589.5788382217
United States,USA,2013,53142.8896305155
Uzbekistan,UZB,2013,5167.0224170882
St. Vincent and the Grenadines,VCT,2013,10663.2993516928
"Venezuela, RB",VEN,2013,18193.920616068
Virgin Islands (U.S.),VIR,,
Vietnam,VNM,2013,5293.18078462465
Vanuatu,VUT,2013,2991.02572297791
West Bank and Gaza,PSE,2012,4575.96023577833
World,WLD,2013,14300.8535639982
Samoa,WSM,2013,5053.73375759586
"Yemen, Rep.",YEM,2013,3958.32385754213
South Africa,ZAF,2013,12503.6916446945
"Congo, Dem. Rep.",COD,2013,746.755080468597
Zambia,ZMB,2013,3180.60105305752
Zimbabwe,ZWE,2013,1700.01668726632
