Country Name,Year,Value
US,2012,993.936537558
Canada,2012,67.45
Mexico,2012,18.9580126829
Total North America,2012,1080.34455024
Brazil,2012,5.505
Colombia,2012,85.80322912
Venezuela,2012,2.1
Other S. & Cent. America,2012,0.641622512468
Total S. & Cent. America,2012,94.0498516325
Bulgaria,2012,37.128
Czech Republic,2012,57.904
France,2012,0.149
Germany,2012,188.559
Greece,2012,58.666
Hungary,2012,9.555
Kazakhstan,2012,111.383
Poland,2012,139.289
Romania,2012,35.477
Russian Federation,2012,335.9
Spain,2012,6.583
Turkey,2012,76.116
Ukraine,2012,84.601
United Kingdom,2012,18.6269782107
Other Europe & Eurasia,2012,95.4794168237
Total Europe & Eurasia,2012,1255.41639503
Total Middle East,2012,1.036
South Africa,2012,251.609
Zimbabwe,2012,2.562054
Other Africa,2012,1.824
Total Africa,2012,255.995054
Australia,2012,421.144237
China,2012,3516.0
India,2012,570.117
Indonesia,2012,353.270937
Japan,2012,1.271521
New Zealand,2012,4.944783
Pakistan,2012,3.54066666667
South Korea,2012,2.084
Thailand,2012,21.327106
Vietnam,2012,44.4938
Other Asia Pacific,2012,82.9499100168
Total Asia Pacific,2012,5021.14396068
