Country Name,Value
US,237295.0
Canada,6582.0
Mexico,1211.0
Total North America,245088.0
,
Brazil,6630.0
Colombia,6746.0
Venezuela,479.0
Other S. & Cent. America,786.0
Total S. & Cent. America,14641.0
,
Bulgaria,2366.0
Czech Republic,1052.0
Germany,40548.0
Greece,3020.0
Hungary,1660.0
Kazakhstan,33600.0
Poland,5465.0
Romania,291.0
Russian Federation,157010.0
Spain,530.0
Turkey,8702.0
Ukraine,33873.0
United Kingdom,228.0
Other Europe & Eurasia,22193.0
Total Europe & Eurasia,310538.0
,
South Africa,30156.0
Zimbabwe,502.0
Other Africa,1156.0
Middle East,1122.0
Total Middle East & Africa,32936.0
,
Australia,76400.0
China,114500.0
India,60600.0
Indonesia,28017.0
Japan,347.0
New Zealand,571.0
North Korea,600.0
Pakistan,2070.0
South Korea,126.0
Thailand,1239.0
Vietnam,150.0
Other Asia Pacific,3708.0
Total Asia Pacific,288328.0
