Country Name,Value
US,44.1799993515
Canada,174.318180799
Mexico,11.0787998438
Total North America,229.576979995
,
Argentina,2.35420942307
Brazil,15.5927410126
Colombia,2.37700009346
Ecuador,8.19088554382
Peru,1.42270004749
Trinidad & Tobago,0.829999983311
Venezuela,298.349990845
Other S. & Cent. America,0.512010006933
Total S. & Cent. America,329.629536955
,
Azerbaijan,7.0
Denmark,0.666719913483
Italy,1.37838220596
Kazakhstan,30.0
Norway,8.67814654112
Romania,0.600000023842
Russian Federation,93.0275497437
Turkmenistan,0.600000023842
United Kingdom,3.03749990463
Uzbekistan,0.59399998188
Other Europe & Eurasia,2.19075951423
Total Europe & Eurasia,147.773057853
,
Iran,157.0
Iraq,150.0
Kuwait,101.5
Oman,5.5
Qatar,25.063000679
Saudi Arabia,265.850006104
Syria,2.5
United Arab Emirates,97.8000030518
Yemen,3.0
Other Middle East,0.258199998061
Total Middle East,808.471209832
,
Algeria,12.1999998093
Angola,12.6669998169
Chad,1.5
Rep. of Congo (Brazzaville),1.60000002384
Egypt,3.90000009537
Equatorial Guinea,1.70500004292
Gabon,2.0
Libya,48.4720001221
Nigeria,37.1399993896
South Sudan,3.5
Sudan,1.5
Tunisia,0.425000011921
Other Africa,3.68411203747
Total Africa,130.293111349
,
Australia,3.95749872923
Brunei,1.10000002384
China,18.0837059021
India,5.70977306366
Indonesia,3.74132990837
Malaysia,3.66799998283
Thailand,0.427110001445
Vietnam,4.40000009537
Other Asia Pacific,1.05961145675
Total Asia Pacific,42.1470291636
